"cont","iso3","for2000","for2010","for2019","andef","pdef","for2035","for2050","for2055","for2085","for2100","yrdis"
"Asia","BTN",2346275,2149365,2023805,13951,0.7,1800589,1591324,1521569,1103039,893774,2164
"Asia","FJI",1084087,1042789,998795,4888,0.5,920587,847267,822827,676187,602867,2223
"Asia","IDN",136873580,124287252,116004118,920348,0.8,101278550,87473330,82871590,55261150,41455930,2145
"Asia","IND-AND",631668,608070,591135,1882,0.3,561023,532793,523383,466923,438693,2333
"Asia","IND-WEST",3349713,2841444,2405957,48387,1.8,1631765,905960,664025,0,0,2068
"Asia","IND-EAST",8836742,7186672,6489996,77408,1.1,5251468,4090348,3703308,1381068,219948,2102
"Asia","KHM",4960895,4035171,3064956,107802,3,1340124,0,0,0,0,2047
"Asia","LAO",12937718,10664494,9152364,168014,1.7,6464140,3943930,3103860,0,0,2073
"Asia","LKA",2102072,1714574,1550295,18253,1.1,1258247,984452,893187,345597,71802,2103
"Asia","MMR",21612266,17980675,15852886,236421,1.4,12070150,8523835,7341730,249100,0,2086
"Asia","MYS",22186509,20913092,19774836,126473,0.6,17751268,15854173,15221808,11427618,9530523,2175
"Asia","NCL",984363,918957,891141,3091,0.3,841685,795320,779865,687135,640770,2307
"Asia","PHL",15382922,13972738,12971337,111267,0.8,11191065,9522060,8965725,5627715,3958710,2135
"Asia","PNG",40925243,40090932,39419166,74641,0.2,38224910,37105295,36732090,34492860,33373245,2547
"Asia","SGP",22421,17668,15363,256,1.5,11267,7427,6147,0,0,2079
"Asia","SLB",2799945,2795258,2780611,1627,0.1,2754579,2730174,2722039,2673229,2648824,3728
"Asia","THA",7438325,6538239,6026288,56883,0.9,5116160,4262915,3978500,2272010,1418765,2124
"Asia","TLS",135847,89258,76459,1422,1.7,53707,32377,25267,0,0,2072
"Asia","VNM",12153879,9627307,8270380,150770,1.7,5858060,3596510,2842660,0,0,2073
"Asia","VUT",1200902,1199993,1193556,715,0.1,1182116,1171391,1167816,1146366,1135641,3688
"Brazil","BRA-AC",13531994,12890325,12479553,45641,0.4,11749297,11064682,10836477,9467247,8782632,2292
"Brazil","BRA-AL",116724,98101,85500,1400,1.5,63100,42100,35100,0,0,2080
"Brazil","BRA-AM",149262556,147857768,146385645,163569,0.1,143768541,141315006,140497161,135590091,133136556,2913
"Brazil","BRA-AP",11777399,11576405,11444719,14632,0.1,11210607,10991127,10917967,10479007,10259527,2801
"Brazil","BRA-BA",2697758,2188193,1978178,23335,1.1,1604818,1254793,1138118,438068,88043,2103
"Brazil","BRA-CE",61544,50904,39368,1282,2.8,18856,0,0,0,0,2049
"Brazil","BRA-ES",567862,466620,416764,5540,1.2,328124,245024,217324,51124,0,2094
"Brazil","BRA-GO",700677,498946,352559,16265,3.8,92319,0,0,0,0,2040
"Brazil","BRA-MA",5666817,4037223,3134438,100309,2.8,1529494,24859,0,0,0,2050
"Brazil","BRA-MG",1975498,1383794,999486,42701,3.6,316270,0,0,0,0,2042
"Brazil","BRA-MS",983459,816091,722560,10392,1.3,556288,400408,348448,36688,0,2088
"Brazil","BRA-MT",42140779,34695151,31683559,334621,1,26329623,21310308,19637203,9598573,4579258,2113
"Brazil","BRA-PA",101000845,92769686,88545197,469388,0.5,81034989,73994169,71647229,57565589,50524769,2207
"Brazil","BRA-PB",47161,40148,36222,436,1.1,29246,22706,20526,7446,906,2102
"Brazil","BRA-PE",147344,119044,105323,1525,1.4,80923,58048,50423,4673,0,2088
"Brazil","BRA-PI",108197,76640,49899,2971,4.7,2363,0,0,0,0,2035
"Brazil","BRA-PR",3683179,3169256,2931926,26370,0.9,2510006,2114456,1982606,1191506,795956,2130
"Brazil","BRA-RJ",975507,863225,791440,7976,1,663824,544184,504304,265024,145384,2118
"Brazil","BRA-RN",30960,23657,20024,404,1.8,13560,7500,5480,0,0,2068
"Brazil","BRA-RO",17123735,14315344,13073614,137970,1,10866094,8796544,8106694,3967594,1898044,2113
"Brazil","BRA-RR",16763442,16257584,15788208,52153,0.3,14953760,14171465,13910700,12346110,11563815,2321
"Brazil","BRA-RS",3302650,2822494,2633774,20969,0.8,2298270,1983735,1878890,1249820,935285,2144
"Brazil","BRA-SC",3513277,3058395,2885997,19155,0.6,2579517,2292192,2196417,1621767,1334442,2169
"Brazil","BRA-SE",76466,63142,55334,868,1.5,41446,28426,24086,0,0,2082
"Brazil","BRA-SP",3548452,3260215,3088363,19095,0.6,2782843,2496418,2400943,1828093,1541668,2180
"Brazil","BRA-TO",1788126,1372432,931886,48950,4.2,148686,0,0,0,0,2038
