"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Africa","AGO",-0.747,NA,-0.285,-0.0688,-4.73,-4.12,NA,-0.126,-0.109,2.87
"Africa","BDI",-1.24,-1.2,-0.475,NA,-1.48,-4.11,-0.0959,-0.0686,-0.0126,5.08
"Africa","BEN",1.91,-0.173,NA,-0.109,-0.385,-1.66,NA,NA,-0.11,5.93
"Africa","CAF",-0.822,NA,NA,-0.0216,-3.5,-4.97,-0.0745,-0.122,-0.292,4.42
"Africa","CIV",-0.318,NA,NA,-0.114,-1.86,-1.84,NA,NA,NA,2.51
"Africa","CMR",-0.585,-0.651,NA,-0.154,-1.14,-4.17,NA,-0.39,-0.24,4.96
"Africa","COD",-4.32,-0.205,NA,-0.00765,-4.31,-7.65,NA,-0.406,-0.221,3.71
"Africa","COG",-1.96,-0.0228,-0.0871,NA,-1,-5.21,-0.00752,-0.591,-0.408,10.7
"Africa","COM",-6.47,0.0148,-1.24,-0.359,-1.86,-9.54,NA,NA,NA,25.1
"Africa","ETH",-0.208,-0.275,-0.107,-0.234,-1.34,-2.14,-0.000523,-0.11,-0.135,2.8
"Africa","GAB",-2.52,NA,-0.427,-0.212,-1.56,-4.16,-0.00919,-0.345,-0.389,23.6
"Africa","GHA",0.28,-0.0776,-0.148,-0.0946,-0.851,-2.05,NA,-0.0372,-0.0853,2.62
"Africa","GIN",-0.771,-0.392,-0.041,-0.0219,-2.39,-4.05,NA,-0.0618,NA,2
"Africa","GMB",1.54,NA,NA,-0.0813,-0.741,-0.784,NA,-0.436,NA,4.89
"Africa","GNB",0.596,-0.527,NA,NA,-1.25,-0.85,NA,-0.0593,NA,4.64
"Africa","GNQ",-1.81,-0.15,-0.139,-0.395,-0.416,-2.62,-0.201,-1.37,NA,16.4
"Africa","KEN",-0.635,-0.143,-0.748,-0.0552,-0.735,-2.73,-0.139,-0.0101,-0.0633,7.15
"Africa","LBR",-1.76,-0.221,NA,-0.0997,-1.39,-4.2,NA,-0.305,-0.232,1.25
"Africa","MDG",-1.38,-0.449,-0.387,-0.14,-1.62,-2.04,NA,NA,-0.0586,3.3
"Africa","MUS",-1.49,-0.646,-0.247,-0.216,-0.652,-4.17,-0.0328,-0.0756,NA,1.2
"Africa","MWI",-0.000459,-0.435,-0.19,-0.023,-1.05,-0.197,-0.229,-0.421,-0.159,10.5
"Africa","MYT",-0.47,-1.06,-0.0648,-0.00481,-0.536,-1.76,0.00445,NA,-0.114,2.57
"Africa","NGA",0.409,NA,NA,-0.0413,-1.24,-2.43,-0.0116,-0.213,NA,4.04
"Africa","REU",-1.5,-0.441,NA,-0.18,-0.214,-5.46,NA,NA,NA,2.36
"Africa","RWA",-4.04,-0.812,-0.542,-0.137,-2.09,-7.56,NA,-0.0319,-0.102,3.99
"Africa","SEN",2.04,NA,NA,-0.00574,-0.749,-0.397,NA,NA,NA,7.04
"Africa","SLE",-0.684,-0.153,NA,NA,-1.29,-2.28,NA,-0.092,-0.0167,1.05
"Africa","SSD",1.04,-0.122,-0.35,-0.018,-0.238,-0.592,NA,NA,-0.152,3.53
"Africa","TGO",1.05,-0.511,-0.0511,-0.107,-0.399,-0.628,NA,-0.199,NA,3
"Africa","TZA",-0.46,-0.583,-0.231,-0.037,-0.952,-3.32,NA,-0.151,NA,4.44
"Africa","UGA",-1.25,-1.05,NA,NA,-2.3,-2.68,NA,-0.0128,-0.158,4.99
"Africa","ZMB",-0.2,-0.204,NA,-0.0218,-1.08,-0.528,-0.0202,-0.11,NA,6.48
"America","ATG",0.134,-0.497,-0.285,NA,-0.621,-1.06,NA,NA,NA,6.95
"America","BHS",-0.433,NA,NA,-0.0853,-0.725,-0.761,NA,NA,-0.0776,6.31
"America","BLZ",-1.33,-0.946,-0.0451,-0.26,-0.832,-2.9,NA,-0.254,-0.443,7.85
"America","BOL",-0.692,-0.12,-0.319,-0.15,-0.625,-4.33,-0.0371,-0.317,-0.0581,5.55
"America","BRB",-0.845,-0.506,-0.434,-0.0669,-0.372,-2.43,NA,NA,NA,1.17
"America","COL",-5.47,-0.348,-0.65,-0.3,-3.36,-9.56,NA,-0.596,-0.343,4.38
"America","CRI",-4.27,NA,-0.0579,-0.355,-3.4,-7.04,-0.0591,-0.0632,-0.137,2.04
"America","CUB",-0.405,NA,-0.325,-0.0223,-0.546,-1.1,NA,-0.226,-0.0201,5.2
"America","DMA",-0.0124,NA,-0.0992,-0.343,NA,-0.0136,NA,NA,NA,2.99
"America","DOM",-0.451,-0.253,-0.352,-0.0251,-0.982,-2.3,NA,-0.0222,NA,2.48
"America","ECU",-7.53,-0.597,-0.211,-0.349,-4.18,-14.9,NA,-0.42,-0.131,3.87
"America","GLP",-1.51,-0.244,-0.531,-0.323,-1.77,-2.62,-0.0683,-0.315,-0.0195,2.63
"America","GRD",-1.34,-0.209,-0.917,NA,-1.42,-3.49,NA,-0.155,-0.0382,5.1
"America","GTM",-0.385,-0.0848,-0.229,-0.272,-1.07,-1.38,-0.165,-0.0993,-0.0253,3
"America","GUF",-2.48,-0.14,-0.366,-0.111,-1.21,-4.31,NA,-0.469,-0.632,16.7
"America","GUY",-1.53,-0.594,-0.462,-0.145,-0.837,-3.95,NA,-0.29,-0.307,11.1
