"cont","for2040","for2050","for2060","for2080","for2100","loss21","yr75dis"
"India",7282118,6739168,6196218,5110318,4103525,61.9322668433966,NA
"DRC",107038074,101415674,95793274,84548474,73303674,44.1698868605768,2175
"Indonesia",104145429,97681919,91218409,78291389,65364369,53.0960625377136,2161
"Brazil",314703074,304580434,294457794,274212518,253967235,32.1454050909984,2277
"America",584507063,566146083,547785103,511158049,476194554,30.7190959390992,2290
"Africa",213363385,201250184,190556925,169961031,151415462,44.9385115253946,2207
"Asia",220609173,206896233,193590998,167745718,142358155,52.0824052881622,2166
"All continents",1018479621,974292500,931933026,848864798,769968171,38.8633580849543,2256
