"cont","year","fc","perc"
"Asia",2066,158305724,46.7144715159026
"Africa",2067,165892268,39.674092184138
"America",2067,502825874,26.8445410739985
"Asia",2067,156414945,47.3509055987386
"Africa",2068,164663046,40.1210927222055
"America",2068,500405012,27.196749024631
"Asia",2068,154531193,47.9849744012854
"Africa",2069,163467934,40.5556893264404
"America",2069,497984176,27.5489531925585
"Asia",2069,152687154,48.6056758527394
"Africa",2070,162272822,40.9902859306753
"America",2070,495563451,27.9011412112455
"Asia",2070,150843115,49.2263773041935
"Africa",2071,161077710,41.4248825349102
"America",2071,493142726,28.2533292299326
"Asia",2071,148999076,49.8470787556476
"Africa",2072,159882598,41.8594791391452
"America",2072,490722001,28.6055172486196
"Asia",2072,147155037,50.4677802071016
"Africa",2073,158687486,42.2940757433801
"America",2073,488301280,28.9577046853521
"Asia",2073,145310998,51.0884816585557
"Africa",2074,157494512,42.7278948744244
"America",2074,485908171,29.3058748894075
"Asia",2074,143466959,51.7091831100097
"Africa",2075,156304667,43.1605761599992
"America",2075,483530158,29.6518487967626
"Asia",2075,141622920,52.3298845614638
"Africa",2076,155115199,43.5931203513772
"America",2076,481194951,29.9915949168523
"Asia",2076,139778881,52.9505860129179
"Africa",2077,153925731,44.0256645427551
"America",2077,478929558,30.3211838921458
"Asia",2077,137934842,53.5712874643719
"Africa",2078,152736263,44.4582087341331
"America",2078,476664165,30.6507728674394
"Asia",2078,136090803,54.191988915826
"Africa",2079,151546795,44.8907529255111
"America",2079,474398817,30.9803552957436
"Asia",2079,134246764,54.8126903672801
"Africa",2080,150357327,45.323297116889
"America",2080,472135034,31.3097100343064
"Asia",2080,132402725,55.4333918187341
"Africa",2081,149170173,45.7549998335415
"America",2081,469889768,31.6363707594881
"Asia",2081,130682457,56.0124320909247
"Africa",2082,148082339,46.1505853204007
"America",2082,467668493,31.959541066404
"Asia",2082,128976639,56.5866085093825
"Africa",2083,147003471,46.5429103654322
"America",2083,465447218,32.2827113733199
"Asia",2083,127270821,57.1607849278402
"Africa",2084,145929697,46.9333830024033
"America",2084,463225943,32.6058816802359
