area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Maranhao,MA,high,42197698,59935404,88138137,117571664,201064202,258077574,258077574,258077574,258077574,258077574,258077574,258077574,258077574,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,232028062,178519574,268031939,358643482,542638753,635841333,730725255,928276043,1135118125,1242620259,1353222227,1584586673,1830569189,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,232028062,222161879,334492203,448429401,680945072,802581357,928238609,1191403108,1476556326,1628059598,1784712036,2112504327,2463329781,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,232028062,266160747,401538987,539359324,828062177,981970261,1142364309,1486899957,1864750928,2065621427,2276772849,2747803453,2812158022,1,3
America,Brazil,Brazil – Mato Grosso do Sul,MS,low,2558039,2175624,3120694,4033728,5676153,6436683,7196813,8974674,11021810,12157727,13318009,15778202,19140164,1,1
America,Brazil,Brazil – Mato Grosso do Sul,MS,mean,2558039,2860459,4109897,5245888,7608645,9237341,10964143,15013434,19140164,19140164,19140164,19140164,19140164,1,2
America,Brazil,Brazil – Mato Grosso do Sul,MS,high,2558039,3539301,5027894,6543747,10991348,13865623,17565385,19140164,19140164,19140164,19140164,19140164,19140164,1,3
America,Brazil,Brazil – Minas Gerais,MG,low,12311049,6544088,9383509,12372690,18804519,22241682,25949960,35541794,43661247,43661247,43661247,43661247,43661247,1,1
America,Brazil,Brazil – Minas Gerais,MG,mean,12311049,12067441,18296965,25170193,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,12311049,18129074,28809709,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,43661247,1,3
America,Brazil,Brazil – Para,PA,low,427129882,397677593,580226245,758204079,1109345802,1284445893,1462022187,1831683122,2221238782,2419665988,2619328694,3024063251,3440860257,1,1
America,Brazil,Brazil – Para,PA,mean,427129882,477956459,697021396,912020404,1339883715,1560479685,1788587325,2267867373,2763367023,3016029941,3272835244,3799604944,4351963477,1,2
America,Brazil,Brazil – Para,PA,high,427129882,557128772,812608971,1065440210,1581341050,1854991473,2141290203,2730263752,3338464604,3652958296,3978498023,4688093055,5548516647,1,3
America,Brazil,Brazil – Paraiba,PB,low,63369,39031,51160,61561,82123,92287,103500,294612,722946,883004,883004,883004,883004,1,1
America,Brazil,Brazil – Paraiba,PB,mean,63369,72315,98796,128114,408824,883004,883004,883004,883004,883004,883004,883004,883004,1,2
America,Brazil,Brazil – Paraiba,PB,high,63369,104638,153044,349359,883004,883004,883004,883004,883004,883004,883004,883004,883004,1,3
