"cont","year","fc","perc"
"America",2066,522086815,24.3721438011771
"Asia",2066,159473388,47.0874727885101
"Africa",2067,169975772,38.3496410048529
"America",2067,519958994,24.6803732679657
"Asia",2067,157633636,47.6978939313932
"Africa",2068,168806335,38.7737968126124
"America",2068,517831192,24.9885999824741
"Asia",2068,155793884,48.3083150742763
"Africa",2069,167637715,39.1976562937678
"America",2069,515703410,25.2968237998452
"Asia",2069,153954132,48.9187362171593
"Africa",2070,166511778,39.6060346140376
"America",2070,513575628,25.6050476172164
"Asia",2070,152114380,49.5291573600424
"Africa",2071,165410530,40.0054582127296
"America",2071,511447846,25.9132714345875
"Asia",2071,150274628,50.1395785029254
"Africa",2072,164309282,40.4048818114215
"America",2072,509320064,26.2214952519586
"Asia",2072,148434876,50.7499996458085
"Africa",2073,163208034,40.8043054101135
"America",2073,507192282,26.5297190693298
"Asia",2073,146595124,51.3604207886915
"Africa",2074,162106786,41.2037290088055
"America",2074,505064500,26.8379428867009
"Asia",2074,144755372,51.9708419315746
"Africa",2075,161005538,41.6031526074975
"America",2075,502936718,27.1461667040721
"Asia",2075,142915620,52.5812630744576
"Africa",2076,159904290,42.0025762061895
"America",2076,500808936,27.4543905214432
"Asia",2076,141075868,53.1916842173407
"Africa",2077,158803042,42.4019998048814
"America",2077,498681154,27.7626143388144
"Asia",2077,139236116,53.8021053602237
"Africa",2078,157701794,42.8014234035734
"America",2078,496606634,28.0631227901561
"Asia",2078,137396364,54.4125265031068
"Africa",2079,156600546,43.2008470022654
"America",2079,494577314,28.3570837114665
"Asia",2079,135562119,55.0211204490449
"Africa",2080,155499298,43.6002706009574
"America",2080,492547994,28.6510446327768
"Asia",2080,133801993,55.6051220560757
"Africa",2081,154398050,43.9996941996494
"America",2081,490518674,28.9450055540872
"Asia",2081,132137898,56.1572610246791
"Africa",2082,153296802,44.3991177983414
"America",2082,488489354,29.2389664753976
"Asia",2082,130473803,56.7093999932825
"Africa",2083,152195554,44.7985413970333
"America",2083,486460034,29.5329273967079
"Asia",2083,128809708,57.2615389618858
"Africa",2084,151094306,45.1979649957253
"America",2084,484430714,29.8268883180183
"Asia",2084,127145613,57.8136779304892
"Africa",2085,149995462,45.5965166615455
"America",2085,482401394,30.1208492393287
"Asia",2085,125481518,58.3658168990926
"Africa",2086,148896709,45.9950353215872
"America",2086,480396130,30.4113254840365
"Asia",2086,123817423,58.9179558676959
"Africa",2087,147797956,46.3935539816289
"America",2087,478462172,30.6914725655493
"Asia",2087,122153328,59.4700948362993
"Africa",2088,146699203,46.7920726416706
"America",2088,476528214,30.9716196470621
"Asia",2088,120489233,60.0222338049027
"Africa",2089,145603172,47.1896040299664
"America",2089,474594256,31.2517667285749
"Asia",2089,118825138,60.574372773506
"Africa",2090,144508666,47.5865822994479
"America",2090,472660298,31.5319138100877
"Asia",2090,117224093,61.1055920458358
"Africa",2091,143414160,47.9835605689294
"America",2091,470726340,31.8120608916005
"Asia",2091,115668443,61.6217494686439
"Africa",2092,142319654,48.3805388384109
"America",2092,468792382,32.0922079731133
"Asia",2092,114112793,62.1379068914519
"Africa",2093,141225148,48.7775171078924
"America",2093,466863986,32.3715493607758
"Asia",2093,112557143,62.65406431426
"Africa",2094,140130642,49.1744953773739
"America",2094,464965330,32.6465827054486
"Asia",2094,111001493,63.1702217370681
"Africa",2095,139046031,49.5678847218276
"America",2095,463066674,32.9216160501214
"Asia",2095,109445843,63.6863791598762
"Africa",2096,137961646,49.9611920958864
"America",2096,461168018,33.1966493947943
"Asia",2096,107890193,64.2025365826843
"Africa",2097,136877261,50.3544994699453
"America",2097,459269362,33.4716827394671
"Asia",2097,106334543,64.7186940054924
"Africa",2098,135792876,50.7478068440042
"America",2098,457370706,33.7467160841399
"Asia",2098,104882711,65.2004050995497
"Africa",2099,134708491,51.1411142180631
"America",2099,455472050,34.0217494288127
"Asia",2099,103503365,65.6580656764923
"Africa",2100,133624106,51.534421592122
"America",2100,453573394,34.2967827734856
"Asia",2100,102124019,66.1157262534348
"Africa",2101,132559231,51.9206526723665
"America",2101,451674738,34.5718161181584
"Asia",2101,100744673,66.5733868303773
"Africa",2102,131540051,52.2903101367296
"America",2102,449776082,34.8468494628312
"Asia",2102,99365327,67.0310474073198
"Africa",2103,130520871,52.6599676010927
"America",2103,447877426,35.121882807504
"Asia",2103,97985981,67.4887079842624
"Africa",2104,129501691,53.0296250654557
"America",2104,445979093,35.3968693634114
"Asia",2104,96606635,67.9463685612049
"Africa",2105,128482511,53.3992825298188
"America",2105,444081593,35.6717352535551
"Asia",2105,95227289,68.4040291381474
"Africa",2106,127463331,53.7689399941818
"America",2106,442184093,35.9466011436988
"Asia",2106,93847943,68.86168971509
"Africa",2107,126444151,54.1385974585449
"America",2107,440286593,36.2214670338425
"Asia",2107,92468597,69.3193502920325
"Africa",2108,125424971,54.508254922908
"America",2108,438389093,36.4963329239862
"Asia",2108,91089251,69.777010868975
"Africa",2109,124405791,54.877912387271
