"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.054621801,1.142753646,1.800053529,2.506724673,3.864006118,4.536318155,5.202690801,6.545754826,7.931875695,8.643920638,9.370953724,10.878824159,12.386413109
"America",1.938537875,2.023367197,3.004371866,3.989510607,6.014798301,7.06416629,8.15668887,10.366829862,12.596710528,13.712238722,14.847736233,17.181739377,19.576075366
"Asia",1.672657639,1.541423208,2.405431082,3.332145068,5.30798447,6.351971941,7.451215424,9.801638479,12.308463284,13.509893254,14.73700475,17.173984891,19.406130248
"All continents",4.665817315,4.707544051,7.209856477,9.828380348,15.186788889,17.952456386,20.810595095,26.714223167,32.837049507,35.866052614,38.955694707,45.234548427,51.368618723
