"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1286174128,0.1504575071,0.1639024061,0.153624492,0.1477796309,0.1479290941,0.1509765194,0.1492905084,0.1492414497,0.1458380118
"America",0.2064844444,0.2472483104,0.2502861942,0.2588860397,0.2679086282,0.2719819421,0.2736355308,0.2749290904,0.2826381931,0.288153849
"Asia",0.0964415054,0.1066567834,0.1190131985,0.1281228848,0.1352858695,0.1464118804,0.1560697472,0.1563529836,0.1585984211,0.1548306135
"All continents",0.4315433626,0.5043626009,0.5332017988,0.5406334165,0.5509741286,0.5663229166,0.5806817974,0.5805725824,0.5904780639,0.588822474299999
