"area_cont","mod","D","AUC","OA","FOM","TSS"
"America","glm",42.6336007738842,89.4013462735808,82.0909219864686,69.8903846808992,64.2666701591455
"America","icar",57.0109547338544,92.7988604382187,86.1666837752048,75.789356338198,72.0861897776513
"America","rf",88.5562433208681,92.4926433283382,85.9203491874311,75.4295187419893,71.4012626532585
"Africa","glm",40.3101073521314,88.6279278544024,81.5032785226306,68.9902071041075,63.077514076874
"Africa","icar",51.7402365012123,91.4249558584839,84.2746299489356,72.8098945184474,68.1925914481768
"Africa","rf",86.2754668835892,89.7206550089414,82.3034557756109,70.3571150380101,65.0321746140462
"Asia","glm",30.4245985759049,84.8174577213931,77.0118772988184,62.9414569089274,54.5375082528288
"Asia","icar",46.0198915617868,89.5179983322048,81.5846281257689,68.9921463701261,63.1174121226941
"Asia","rf",84.3578572990413,87.5499187345913,79.9478339073575,66.6966683493492,60.3300585480937
