"area_ctry","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"India",2.1808076996591,-0.129418012139115,-0.958800646102045,-1.52962232071772,-4.4689386329976,-11.253698906618,0,-0.0383339869230857,-0.00372759756500937,2.13719123252717
"Brazil",2.18104277846388,-0.642915015011052,-0.959477039914791,-0.64145084034275,-0.871748738698533,-2.21139811477059,-0.0082309521221314,-0.0083900604589258,-0.0108923846515296,9.18256800162741
"America",2.43087809465414,-0.539356575041086,-1.11245126586832,-1.63464660852812,-0.868043056717755,-2.4010994118108,-0.00611054277058135,-0.00994362517521513,-0.0136750233374401,7.87606428933
"Africa",2.36717516405603,-0.301269799108673,-0.279944477426945,-1.39155020549487,-1.3359994534656,-2.64603470568049,-0.00149210929148338,-0.0277591970493108,-0.0162013931018213,5.36998663541448
"Asia",1.76215357290015,-0.522749820098497,-0.888395301586094,-5.34145818747693,-1.5834183545296,-3.62330649250209,-0.00281767144681795,-0.0194765858399134,-0.00959819746940493,5.81339972389845
"All continents",2.2633569816804,-0.483119643017825,-0.877710587419472,-2.43195286715157,-1.1352859969764,-2.73556904479729,-0.00433777250371156,-0.0160546229031922,-0.0132955484420839,6.85079353457608
