"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1713883409,0.129572415,0.1329690147,0.1323930223,0.1207046758,0.1233137458,0.1230199815,0.1217152967,0.1112514795,0.1144494894
"America",0.2275398958,0.1748995008,0.1717708426,0.1710422095,0.1721665596,0.1738061497,0.1756623204,0.1780478695,0.1727633739,0.1654369271
"Asia",0.1863682494,0.1219473565,0.1284599529,0.1352812683,0.1379543869,0.1401787201,0.1456447551,0.1509092021,0.1497333279,0.1422180805
"All continents",0.5852964861,0.4264192723,0.4331998102,0.4387165001,0.4308256223,0.4372986156,0.444327057,0.4506723683,0.4337481813,0.422104497
