"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.054621801,0.813385746,1.241616616,1.700056258,2.735334523,3.202341875,3.690030776,4.731645916,5.805938289,6.350544036,6.889655512,7.929289589,9.058015162
"America",1.938537875,1.50639077,2.231038573,2.953370959,4.409971063,5.151484462,5.904790265,7.454352884,9.059592101,9.883367787,10.726424131,12.422069866,14.061653509
"Asia",1.672657639,1.037398228,1.597387718,2.188916815,3.465546684,4.150549096,4.81705059,6.238238048,7.767900624,8.573798725,9.405982699,11.079402573,12.691314748
"All continents",4.665817315,3.357174744,5.070042907,6.842344032,10.61085227,12.504375433,14.411871631,18.424236848,22.633431014,24.807710548,27.022062342,31.430762028,35.810983419
