"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa","Sierra Leone","Sierra Leone","SLE",36637583,82270600,82270600,82270600,82270600,82270600,82270600,82270600,82270600,82270600,82270600,82270600
"Africa","South Sudan","South Sudan","SSD",1120614,999008,1954795,2376530,2376530,2376530,2376530,2376530,2376530,2376530,2376530,2376530
"Africa","Tanzania","Tanzania","TZA",4444929,7872552,12459257,17370548,28487280,34711684,41394793,56508781,71831892,78233453,78233453,78233453
"Africa","Togo","Togo","TGO",554809,993814,1303084,1303084,1303084,1303084,1303084,1303084,1303084,1303084,1303084,1303084
"Africa","Uganda","Uganda","UGA",11108576,41559093,65025626,65025626,65025626,65025626,65025626,65025626,65025626,65025626,65025626,65025626
"Africa","Zambia","Zambia","ZMB",1826780,2725519,3838585,3942406,3942406,3942406,3942406,3942406,3942406,3942406,3942406,3942406
"Asia","Australia","Australia – Queensland","QLD",15784833,29487941,43295718,56887698,84109365,98028304,112464412,143288772,177522282,195968713,215079789,254698174
"Asia","Bangladesh","Bangladesh","BGD",2287539,3938987,5378152,6816708,9798303,11441856,13158104,16698837,20320611,22161881,24035698,27847669
"Asia","Bhutan","Bhutan","BTN",11699780,16282537,24809852,33560026,51137000,59950364,68777083,86642797,104635519,113692393,122855045,141287841
"Asia","Brunei","Brunei","BRN",587784,705298,1157938,1636493,2604460,3078883,3557147,4530204,5553803,6085878,6627373,7737396
"Asia","Cambodia","Cambodia","KHM",103029619,139420766,223681215,307565558,307565558,307565558,307565558,307565558,307565558,307565558,307565558,307565558
"Asia","Fiji","Fiji","FJI",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","India","India – Andaman and N.","AN",1133094,1616278,2693774,3764585,5804625,6839299,7911036,10115810,12353322,13484974,14632614,17000490
"Asia","India","India – North-East","NE",52510231,83840820,130698677,179818515,283689401,338353184,394887057,513483601,633517363,683486157,683486157,683486157
"Asia","India","India – West. Ghats","WG",23665198,34773449,60452672,88705741,152342878,158881010,158881010,158881010,158881010,158881010,158881010,158881010
"Asia","Indonesia","Indonesia","IDN",914810846,1100121012,1784938614,2580913736,4444675052,5492992133,6592421411,8903593557,11297377397,12515710928,13754217847,15686231739
"Asia","Laos","Laos","LAO",146775918,175033070,271176885,370741326,582932173,697603393,823008158,929158123,929158123,929158123,929158123,929158123
"Asia","Malaysia","Malaysia","MYS",237534568,277856992,457852659,664208456,1132855129,1388790444,1657274503,2219477207,2786280518,2955147328,2955147328,2955147328
"Asia","Myanmar","Myanmar","MMR",207346487,271245792,428845693,592929585,940198516,1124647174,1317620717,1734177388,1813034250,1813034250,1813034250,1813034250
"Asia","New Caledonia","New Caledonia","NCL",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Papua New Guinea","Papua New Guinea","PNG",63247157,96464175,141068663,184998394,274760249,321530861,369502418,468342147,570225700,622279590,674976558,782360231
"Asia","Philippines","Philippines","PHL",71380665,100319250,157394368,215138177,333156357,394668519,459146507,600673272,765239129,857510384,956058471,1133036779
"Asia","Singapore","Singapore","SGP",22030,29338,54728,84198,156472,197837,240965,336594,422538,422538,422538,422538
"Asia","Solomon Isl.","Solomon Isl.","SLB",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Sri Lanka","Sri Lanka","LKA",7205508,9753898,16115426,23229756,39176657,47740742,56658030,76346275,90092602,90092602,90092602,90092602
"Asia","Thailand","Thailand","THA",45143721,60221975,94535935,130695055,207229932,247418607,288739817,374802894,466946485,517463038,600948800,600948800
"Asia","Timor-Leste","Timor-Leste","TLS",952947,2051214,3118024,4200850,5077205,5077205,5077205,5077205,5077205,5077205,5077205,5077205
"Asia","Vanuatu","Vanuatu","VUT",0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Vietnam","Vietnam","VNM",86024182,111142351,173455274,239117826,379919566,456212754,539084795,668066863,668066863,668066863,668066863,668066863
