"mod","D","AUC","OA","FOM","TSS"
"glm",28.3244407059032,83.0029491764545,75.7978511654752,61.1804151404408,51.6794160195686
"icar",NA,86.8798151954177,79.1123034881578,65.5599820750258,58.1832896573454
"rf",76.2079206097195,83.7436031987932,76.2947198705303,62.1955766504091,52.5694942951159
