"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.286174128,1.067445136,1.625166189,2.20946704,3.408695939,3.949533484,4.502886644,5.664328851,6.83263236,7.420853891,8.00428625,9.135869758,10.309662652
"America",2.064844444,1.823532375,2.732367589,3.648287447,5.5107017,6.456041211,7.412075729,9.360379352,11.357489303,12.373961068,13.407249456,15.481118914,17.493436737
"Asia",0.964415054,0.722061644,1.103482735,1.49911488,2.340169102,2.783751528,3.216626675,4.120409886,5.074281834,5.573405943,6.086191967,7.129599923,8.168580588
"All continents",4.315433626,3.613039155,5.461016513,7.356869367,11.259566741,13.189326223,15.131589048,19.145118089,23.264403497,25.368220902,27.497727673,31.746588595,35.971679977
