"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"America","GLP","glm",40,89,81,50,67,80,81,61,61,9972,9926
"America","GLP","rf",87,91,83,50,71,83,83,67,67,9972,9926
"America","GRD","icar",44,91,83,50,71,83,83,66,66,9984,9923
"America","GRD","glm",45,90,83,50,70,83,83,65,65,9984,9923
"America","GRD","rf",86,90,83,50,70,83,82,65,65,9984,9923
"America","GTM","icar",24,79,72,50,56,72,72,44,44,9999,9999
"America","GTM","glm",15,75,68,50,52,68,68,37,37,9999,9999
"America","GTM","rf",80,81,74,50,58,73,74,47,47,9999,9999
"America","GUF","icar",68,96,91,50,84,91,91,82,82,10000,9996
"America","GUF","glm",56,95,89,50,79,89,89,77,77,10000,9996
"America","GUF","rf",94,97,93,50,87,93,93,86,86,10000,9996
"America","GUY","icar",61,95,89,50,80,89,89,77,77,18489,18488
"America","GUY","glm",47,93,87,50,77,87,87,74,74,18489,18488
"America","GUY","rf",91,96,90,50,82,90,90,80,80,18489,18488
"America","HND","icar",25,80,72,50,56,72,72,44,44,9998,10000
"America","HND","glm",10,72,66,50,49,66,66,32,32,9998,10000
"America","HND","rf",79,78,70,50,54,70,71,41,41,9998,10000
"America","HTI","icar",22,80,72,50,56,72,72,44,44,9959,9969
"America","HTI","glm",9,71,65,50,48,65,65,31,31,9959,9969
"America","HTI","rf",76,72,65,50,49,66,65,31,31,9959,9969
"America","JAM","icar",30,85,77,50,62,76,77,53,53,9998,9987
"America","JAM","glm",22,81,73,50,58,73,73,46,46,9998,9987
"America","JAM","rf",81,83,76,50,60,75,76,51,51,9998,9987
"America","KNA","icar",33,87,81,60,49,65,87,52,52,9978,3800
"America","KNA","glm",30,85,78,60,43,60,85,45,45,9978,3800
"America","KNA","rf",86,91,84,60,56,72,89,61,61,9978,3800
"America","LCA","icar",40,89,81,50,68,81,81,63,63,9995,9968
"America","LCA","glm",35,87,78,50,64,78,79,57,57,9995,9968
"America","LCA","rf",86,90,82,50,70,82,82,65,65,9995,9968
"America","MAF","icar",13,77,71,51,50,66,74,41,41,3533,2683
"America","MAF","glm",14,75,69,51,48,65,73,38,38,3533,2683
"America","MAF","rf",67,73,67,51,44,61,71,32,32,3533,2683
"America","MEX","icar",25,80,72,50,56,72,72,44,44,9991,9994
"America","MEX","glm",12,73,67,50,50,67,67,34,34,9991,9994
"America","MEX","rf",78,77,70,50,54,70,70,40,40,9991,9994
"America","MSR","icar",33,91,92,87,27,43,96,38,38,9989,790
"America","MSR","glm",33,90,92,87,28,43,96,39,39,9989,790
"America","MSR","rf",85,92,92,86,28,44,96,40,40,9989,790
"America","MTQ","icar",32,86,78,50,64,78,78,57,57,9985,9968
"America","MTQ","glm",29,85,77,50,63,77,77,54,54,9985,9968
"America","MTQ","rf",81,84,76,50,61,75,76,51,51,9985,9968
"America","NIC","icar",30,83,75,50,60,75,75,50,50,9998,10000
"America","NIC","glm",16,74,68,50,52,68,68,36,36,9998,10000
"America","NIC","rf",80,80,72,50,56,72,72,44,44,9998,10000
"America","PAN","icar",48,91,84,50,72,84,84,67,67,9994,9992
"America","PAN","glm",41,90,82,50,69,82,82,63,63,9994,9992
"America","PAN","rf",86,90,82,50,70,82,82,65,65,9994,9992
"America","PER","icar",60,95,88,50,78,88,88,76,76,50000,50000
"America","PER","glm",49,92,85,50,74,85,85,71,71,50000,50000
"America","PER","rf",90,95,89,50,80,89,89,78,78,50000,50000
"America","PRI","icar",20,79,71,50,55,71,71,42,42,9995,9976
"America","PRI","glm",13,74,66,50,49,66,66,32,32,9995,9976
"America","PRI","rf",78,76,70,50,53,70,70,40,40,9995,9976
"America","PRY","icar",21,77,70,50,54,70,70,40,40,10000,10000
"America","PRY","glm",8,70,65,50,48,65,65,29,29,10000,10000
"America","PRY","rf",76,72,66,50,49,66,66,32,32,10000,10000
"America","SLV","icar",26,82,74,50,59,74,74,48,48,9965,9984
"America","SLV","glm",20,80,72,50,56,72,72,44,44,9965,9984
"America","SLV","rf",81,82,74,50,59,74,74,48,48,9965,9984
"America","SUR","icar",57,94,87,50,77,87,87,73,73,13727,13726
"America","SUR","glm",39,89,82,50,69,82,82,64,64,13727,13726
"America","SUR","rf",90,95,88,50,79,88,88,77,77,13727,13726
"America","SXM","icar",27,82,73,50,56,72,75,46,46,1292,1106
"America","SXM","glm",20,78,71,50,52,69,72,41,41,1292,1106
"America","SXM","rf",81,87,79,50,63,77,81,58,58,1292,1106
"America","TTO","icar",42,90,82,50,69,82,82,64,64,9992,9976
"America","TTO","glm",40,89,82,50,69,82,82,64,64,9992,9976
"America","TTO","rf",86,91,83,50,70,83,83,65,65,9992,9976
"America","VCT","icar",49,92,85,50,74,85,85,70,70,9978,9781
"America","VCT","glm",46,91,84,50,73,84,85,69,69,9978,9781
"America","VCT","rf",89,93,86,50,76,86,87,73,73,9978,9781
"America","VEN","icar",62,95,89,50,80,89,89,78,78,42913,42910
"America","VEN","glm",53,94,88,50,78,88,88,75,75,42913,42910
"America","VEN","rf",91,95,89,50,81,89,89,79,79,42913,42910
"America","VGB","icar",39,89,82,50,69,81,82,63,63,9905,9776
"America","VGB","glm",27,84,77,50,62,76,77,53,53,9905,9776
"America","VGB","rf",80,85,76,50,62,76,76,53,53,9905,9776
"America","VIR","icar",17,79,72,50,55,71,72,43,43,9914,9834
"America","VIR","glm",11,74,68,50,51,68,68,36,36,9914,9834
"America","VIR","rf",47,73,67,50,50,67,67,34,34,9914,9834
"Asia","AUS-QLD","icar",41,89,81,50,67,81,81,61,61,9978,9972
"Asia","AUS-QLD","glm",21,81,74,50,59,74,74,48,48,9978,9972
"Asia","AUS-QLD","rf",82,83,75,50,60,75,75,50,50,9978,9972
"Asia","BGD","icar",36,87,78,50,64,78,78,56,56,9956,9972
"Asia","BGD","glm",22,82,74,50,59,74,74,48,48,9956,9972
"Asia","BGD","rf",80,82,74,50,59,74,74,49,49,9956,9972
"Asia","BRN","icar",47,92,85,50,74,85,85,70,70,9990,9996
"Asia","BRN","glm",35,89,82,50,69,82,82,64,64,9990,9996
"Asia","BRN","rf",91,95,89,50,81,89,89,79,79,9990,9996
"Asia","BTN","icar",28,84,77,50,62,77,77,54,54,10000,10000
"Asia","BTN","glm",25,84,77,50,62,77,77,53,53,10000,10000
"Asia","BTN","rf",81,84,76,50,62,76,77,53,53,10000,10000
"Asia","FJI","icar",48,91,84,50,72,84,84,68,68,9984,9954
"Asia","FJI","glm",37,88,81,50,68,81,81,62,62,9984,9954
"Asia","FJI","rf",87,91,84,50,72,84,84,68,68,9984,9954
"Asia","IDN","icar",52,91,83,50,71,83,83,66,66,49976,49975
"Asia","IDN","glm",33,85,77,50,63,77,77,55,55,49976,49975
"Asia","IDN","rf",85,88,80,50,67,80,80,61,61,49976,49975
"Asia","IND-AND","icar",48,91,84,50,72,84,84,68,68,9954,9900
"Asia","IND-AND","glm",40,89,82,50,70,82,82,64,64,9954,9900
"Asia","IND-AND","rf",87,91,84,50,72,84,84,67,67,9954,9900
"Asia","IND-WEST","icar",34,85,77,50,62,77,77,53,53,9996,9993
"Asia","IND-WEST","glm",26,82,74,50,59,74,74,48,48,9996,9993
"Asia","IND-WEST","rf",81,83,74,50,59,74,74,49,49,9996,9993
"Asia","IND-EAST","icar",33,85,77,50,62,76,77,53,53,9996,9999
"Asia","IND-EAST","glm",27,83,75,50,60,75,75,50,50,9996,9999
"Asia","IND-EAST","rf",82,84,77,50,62,77,77,53,53,9996,9999
"Asia","KHM","icar",55,93,85,50,74,85,86,71,71,9995,9999
"Asia","KHM","glm",37,88,80,50,67,80,80,60,60,9995,9999
"Asia","KHM","rf",86,92,84,50,72,83,84,67,67,9995,9999
"Asia","LAO","icar",30,83,75,50,60,75,75,50,50,10000,10000
"Asia","LAO","glm",22,81,73,50,58,73,73,47,47,10000,10000
"Asia","LAO","rf",80,82,75,50,59,75,75,49,49,10000,10000
"Asia","LKA","icar",27,83,75,50,59,75,75,49,49,9996,9995
"Asia","LKA","glm",22,81,73,50,57,73,73,46,46,9996,9995
"Asia","LKA","rf",80,82,74,50,59,74,74,49,49,9996,9995
"Asia","MMR","icar",31,84,76,50,61,76,76,51,51,15371,15376
"Asia","MMR","glm",22,81,74,50,58,74,74,47,47,15371,15376
"Asia","MMR","rf",81,83,76,50,61,76,76,52,52,15371,15376
"Asia","MYS","icar",47,90,83,50,71,83,83,66,66,22307,22310
"Asia","MYS","glm",32,86,78,50,65,78,78,57,57,22307,22310
"Asia","MYS","rf",83,86,79,50,65,79,79,58,58,22307,22310
"Asia","NCL","icar",45,90,82,50,69,82,82,64,64,9965,9903
"Asia","NCL","glm",35,86,78,50,64,78,78,56,56,9965,9903
"Asia","NCL","rf",85,87,79,50,65,79,79,58,58,9965,9903
"Asia","PHL","icar",40,88,80,50,67,80,80,60,60,13665,13662
"Asia","PHL","glm",29,85,76,50,61,76,76,52,52,13665,13662
"Asia","PHL","rf",82,85,77,50,62,77,77,54,54,13665,13662
"Asia","PNG","icar",46,91,83,50,71,83,83,66,66,39764,39670
"Asia","PNG","glm",30,87,80,50,67,80,80,60,60,39764,39670
"Asia","PNG","rf",88,93,86,50,75,86,86,72,72,39764,39670
"Asia","SGP","icar",30,85,77,50,62,77,77,54,54,9902,9947
"Asia","SGP","glm",29,84,76,50,61,76,76,51,51,9902,9947
"Asia","SGP","rf",79,85,77,50,62,77,77,54,54,9902,9947
"Asia","SLB","icar",41,89,81,50,68,81,81,62,62,9961,9773
"Asia","SLB","glm",28,85,76,50,61,76,77,53,53,9961,9773
"Asia","SLB","rf",87,92,85,50,73,84,85,69,69,9961,9773
"Asia","THA","icar",37,87,79,50,65,79,79,58,58,9991,9995
"Asia","THA","glm",30,85,78,50,63,77,78,55,55,9991,9995
"Asia","THA","rf",82,85,77,50,63,77,77,55,55,9991,9995
"Asia","TLS","icar",26,83,74,50,59,74,75,49,49,9993,9972
"Asia","TLS","glm",21,80,73,50,58,73,74,47,47,9993,9972
"Asia","TLS","rf",81,83,75,50,60,75,75,50,50,9993,9972
"Asia","VNM","icar",35,86,77,50,63,77,77,55,55,9996,9996
"Asia","VNM","glm",22,81,73,50,58,73,73,46,46,9996,9996
"Asia","VNM","rf",80,82,75,50,60,75,75,50,50,9996,9996
"Asia","VUT","icar",60,95,88,50,79,88,88,77,77,9974,9890
"Asia","VUT","glm",37,88,81,50,68,81,81,62,62,9974,9890
"Asia","VUT","rf",90,95,89,50,80,89,89,77,77,9974,9890
"Brazil","BRA-AC","icar",63,95,89,50,79,89,89,77,77,13307,13307
"Brazil","BRA-AC","glm",59,94,88,50,78,88,88,76,76,13307,13307
"Brazil","BRA-AC","rf",91,94,88,50,78,88,88,75,75,13307,13307
"Brazil","BRA-AL","icar",27,83,75,50,60,75,75,50,50,9999,10000
"Brazil","BRA-AL","glm",20,80,73,50,57,73,73,45,45,9999,10000
"Brazil","BRA-AL","rf",81,84,75,50,60,75,75,51,51,9999,10000
"Brazil","BRA-AM","icar",70,96,91,50,83,91,91,81,81,50000,50000
"Brazil","BRA-AM","glm",51,93,85,50,74,85,85,70,70,50000,50000
"Brazil","BRA-AM","rf",93,97,92,50,84,92,92,83,83,50000,50000
"Brazil","BRA-AP","icar",67,96,91,50,83,90,91,81,81,11563,11564
"Brazil","BRA-AP","glm",62,95,89,50,80,89,89,78,78,11563,11564
"Brazil","BRA-AP","rf",92,96,91,50,83,91,91,82,82,11563,11564
"Brazil","BRA-BA","icar",28,83,75,50,60,75,75,50,50,9989,9998
"Brazil","BRA-BA","glm",17,78,72,50,56,72,72,44,44,9989,9998
"Brazil","BRA-BA","rf",80,80,73,50,58,73,73,46,46,9989,9998
"Brazil","BRA-CE","icar",28,83,75,50,60,75,75,50,50,9996,9999
"Brazil","BRA-CE","glm",14,75,67,50,50,67,67,34,34,9996,9999
"Brazil","BRA-CE","rf",69,77,69,50,53,69,69,38,38,9996,9999
"Brazil","BRA-ES","icar",30,85,77,50,63,77,77,55,55,9998,10000
"Brazil","BRA-ES","glm",18,79,73,50,57,73,73,46,46,9998,10000
"Brazil","BRA-ES","rf",81,84,76,50,61,76,76,53,53,9998,10000
"Brazil","BRA-GO","icar",18,75,69,50,52,69,69,38,38,10000,10000
"Brazil","BRA-GO","glm",9,72,67,50,50,67,67,34,34,10000,10000
"Brazil","BRA-GO","rf",76,73,67,50,50,67,67,34,34,10000,10000
"Brazil","BRA-MA","icar",38,86,77,50,63,77,78,55,55,9985,9998
"Brazil","BRA-MA","glm",23,81,73,50,58,73,73,47,47,9985,9998
"Brazil","BRA-MA","rf",79,78,70,50,54,70,70,41,41,9985,9998
"Brazil","BRA-MG","icar",31,83,75,50,60,75,75,49,49,10000,10000
"Brazil","BRA-MG","glm",15,76,69,50,53,69,69,39,39,10000,10000
"Brazil","BRA-MG","rf",79,79,72,50,56,72,72,44,44,10000,10000
"Brazil","BRA-MS","icar",22,78,70,50,54,70,70,40,40,10000,10000
"Brazil","BRA-MS","glm",9,71,66,50,49,66,66,31,31,10000,10000
"Brazil","BRA-MS","rf",70,68,63,50,46,63,63,26,26,10000,10000
"Brazil","BRA-MT","icar",40,86,78,50,64,78,78,56,56,33283,33283
"Brazil","BRA-MT","glm",15,77,70,50,54,70,70,41,41,33283,33283
"Brazil","BRA-MT","rf",80,80,72,50,56,72,72,43,43,33283,33283
"Brazil","BRA-PA","icar",55,92,85,50,74,85,85,70,70,49999,50000
"Brazil","BRA-PA","glm",40,89,81,50,68,81,81,62,62,49999,50000
"Brazil","BRA-PA","rf",87,92,84,50,72,84,84,67,67,49999,50000
"Brazil","BRA-PB","icar",27,83,75,50,60,75,76,51,51,9975,9994
"Brazil","BRA-PB","glm",22,82,75,50,60,75,75,50,50,9975,9994
"Brazil","BRA-PB","rf",83,85,77,50,63,77,77,55,55,9975,9994
"Brazil","BRA-PE","icar",33,86,77,50,63,77,77,54,54,9975,9997
"Brazil","BRA-PE","glm",27,84,76,50,61,76,76,52,52,9975,9997
"Brazil","BRA-PE","rf",83,87,79,50,65,79,79,57,57,9975,9997
"Brazil","BRA-PI","icar",20,77,70,50,54,70,70,40,40,9999,10000
"Brazil","BRA-PI","glm",10,71,66,50,49,66,66,32,32,9999,10000
"Brazil","BRA-PI","rf",77,74,68,50,51,67,68,35,35,9999,10000
"Brazil","BRA-PR","icar",24,80,73,50,57,73,73,45,45,9995,9999
"Brazil","BRA-PR","glm",17,78,70,50,54,70,70,40,40,9995,9999
"Brazil","BRA-PR","rf",78,75,67,50,50,67,67,34,34,9995,9999
"Brazil","BRA-RJ","icar",41,90,82,50,69,82,82,63,63,9992,9980
"Brazil","BRA-RJ","glm",35,88,80,50,67,80,80,60,60,9992,9980
"Brazil","BRA-RJ","rf",84,88,81,50,68,81,81,62,62,9992,9980
"Brazil","BRA-RN","icar",25,82,75,50,60,75,75,50,50,9947,9984
"Brazil","BRA-RN","glm",15,77,71,50,55,71,71,43,43,9947,9984
"Brazil","BRA-RN","rf",33,75,69,50,53,69,69,38,38,9947,9984
"Brazil","BRA-RO","icar",47,90,81,50,69,81,81,63,63,13800,13800
"Brazil","BRA-RO","glm",28,82,74,50,59,74,74,49,49,13800,13800
"Brazil","BRA-RO","rf",83,86,78,50,63,78,78,55,55,13800,13800
"Brazil","BRA-RR","icar",58,94,86,50,76,86,86,73,73,16228,16228
"Brazil","BRA-RR","glm",43,90,82,50,69,82,82,64,64,16228,16228
"Brazil","BRA-RR","rf",89,94,87,50,77,87,87,74,74,16228,16228
"Brazil","BRA-RS","icar",25,81,73,50,58,73,73,46,46,10000,9999
"Brazil","BRA-RS","glm",20,79,71,50,55,71,71,42,42,10000,9999
"Brazil","BRA-RS","rf",79,80,72,50,56,72,72,44,44,10000,9999
"Brazil","BRA-SC","icar",28,82,74,50,59,74,75,49,49,9998,10000
"Brazil","BRA-SC","glm",21,79,72,50,56,71,72,43,43,9998,10000
"Brazil","BRA-SC","rf",79,76,68,50,51,68,68,36,36,9998,10000
"Brazil","BRA-SE","icar",24,82,74,50,58,73,74,47,47,9975,9991
"Brazil","BRA-SE","glm",17,78,72,50,56,72,72,43,43,9975,9991
"Brazil","BRA-SE","rf",58,73,68,50,51,68,68,36,36,9975,9991
"Brazil","BRA-SP","icar",45,90,81,50,68,81,81,63,63,9994,10000
"Brazil","BRA-SP","glm",34,86,78,50,64,78,78,57,57,9994,10000
"Brazil","BRA-SP","rf",85,89,81,50,68,81,81,62,62,9994,10000
"Brazil","BRA-TO","icar",22,77,69,50,53,69,69,38,38,10000,10000
"Brazil","BRA-TO","glm",3,63,59,50,41,59,59,17,17,10000,10000
"Brazil","BRA-TO","rf",76,70,65,50,48,65,65,30,30,10000,10000
