"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.054621801,1.496698533,2.400769792,3.253178843,4.893095538,5.727485522,6.539595807,8.236437529,10.022105241,10.928980129,11.855500526,13.721757193,15.602411332
"America",1.938537875,2.538923656,3.783655229,5.053126703,7.702607784,9.086769368,10.47520114,13.316133474,16.209497311,17.708174122,19.231200176,22.372674793,25.577115374
"Asia",1.672657639,2.07226293,3.267582956,4.560665817,7.299900566,8.810137689,10.373052052,13.705223969,16.958838838,18.442202615,19.883353925,22.559960512,24.776615349
"All continents",4.665817315,6.107885119,9.452007977,12.866971363,19.895603888,23.624392579,27.387848999,35.257794972,43.19044139,47.079356866,50.970054627,58.654392498,65.956142055
