"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa",1.179743977,1.377731482,2.244699859,2.996019736,4.613546846,5.390698458,6.131862338,7.665375879,9.407022167,10.268919946,11.127765499,12.881452914
"America",2.078977334,2.216990571,3.316372056,4.436880434,6.77701585,8.026772141,9.236492079,11.72994008,14.278005634,15.586526196,16.925415369,19.690522286
"Asia",1.991142107,1.977650042,3.128683309,4.3949646,7.160469768,8.632517204,10.184378154,13.447234788,16.620089037,18.081381468,19.483909398,22.073139877
"All continents",5.249863418,5.572372095,8.689755224,11.82786477,18.551032464,22.049987803,25.552732571,32.842550747,40.305116838,43.93682761,47.537090266,54.645115077
