"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1054621801,0.1496698533,0.175648031,0.1639916695,0.1646500269,0.1696841722,0.1785667712,0.1833395285,0.1866256667,0.1880654139
"America",0.1938537875,0.2538923656,0.2514203047,0.2649481081,0.2772593356,0.2840932334,0.2893363837,0.3021702865,0.3141474617,0.3204440581
"Asia",0.1672657639,0.207226293,0.2488402887,0.2739234749,0.3073151486,0.3332171917,0.3253614869,0.2924515087,0.2676606587,0.2216654837
"All continents",0.4665817315,0.6107885119,0.6759086244,0.7028632525,0.7492245111,0.7869945973,0.7932646418,0.777961323700001,0.7684337871,0.7301749557
