"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1054621801,0.0813385746,0.0886670512,0.1035278265,0.0954696253,0.104161514,0.1074292373,0.1083717223,0.1039634077,0.1128725573
"America",0.1938537875,0.150639077,0.1446980189,0.1456600104,0.1494819202,0.1549562619,0.1605239217,0.166683203,0.1695645735,0.1639583643
"Asia",0.1672657639,0.1037398228,0.1151518587,0.1276629869,0.1351503906,0.1421187458,0.1529662576,0.1638082075,0.1673419874,0.1611912175
"All continents",0.4665817315,0.3357174744,0.3485169288,0.3768508238,0.3801019361,0.4012365217,0.4209194166,0.4388631328,0.4408699686,0.4380221391
