"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.286174128,1.504575071,2.333588543,3.143599132,4.679844052,5.423198303,6.157640361,7.636931302,9.146696496,9.892184295,10.63960158,12.132016077,13.590396195
"America",2.064844444,2.472483104,3.715983365,4.975345046,7.564205443,8.886742523,10.243291725,12.963111146,15.699466454,17.065479549,18.448757358,21.275139289,24.156677779
"Asia",0.964415054,1.066567834,1.644799004,2.256699819,3.537928667,4.201626425,4.890787362,6.354906166,7.915603638,8.688473625,9.479133474,11.065117685,12.61342382
"All continents",4.315433626,5.043626009,7.694370912,10.375643997,15.781978162,18.511567251,21.291719448,26.954948614,32.761766588,35.646137469,38.567492412,44.472273051,50.360497794
