"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1286174128,0.1963341042,0.2026562365,0.1822730311,0.1823662074,0.1842017337,0.1816036328,0.1792374086,0.1787978423,0.1785330674
"America",0.2064844444,0.3127616294,0.3213835142,0.333197923,0.3416669429,0.3470938563,0.3500529637,0.3645795831,0.3785532745,0.3787257334
"Asia",0.0964415054,0.1423523391,0.1633203663,0.1744535157,0.1925944215,0.2080844562,0.2099335173,0.2044852232,0.1920431929,0.1642853605
"All continents",0.4315433626,0.6514480727,0.687360117,0.6899244698,0.7166275718,0.7393800462,0.7415901138,0.7483022149,0.7493943097,0.7215441613
