"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110","T110_120","T120_130","T130_140","T140_150"
"Africa",0.1054621801,0.07995147,0.0887143558,0.1036782723,0.0955985182,0.104298723,0.1075220589,0.1084611986,0.1040141004,0.1129237878,0.1157008946,0.1181774776,0.1229823545,0.1192742029
"America",0.1938537875,0.1470321442,0.1448862582,0.1459404316,0.1498113799,0.1552147233,0.160726144,0.1668603094,0.1696854016,0.1640916951,0.1696482762,0.1720251385,0.1735462021,0.17561522
"Asia",0.1672657639,0.1024732147,0.115091374,0.1277657615,0.1352660846,0.1422042154,0.1530433745,0.1638661167,0.1673802518,0.1612393133,0.1662381686,0.1635084433,0.1638959564,0.143737291
"All continents",0.4665817315,0.3294568289,0.348691988,0.3773844654,0.3806759827,0.4017176617,0.4212915774,0.4391876247,0.4410797538,0.4382547962,0.4515873394,0.453711059400001,0.460424513,0.4386267139
