"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1713883409,0.1834633418,0.1862045008,0.1690015488,0.1595594766,0.154477653,0.1494301984,0.1438353061,0.1421325891,0.1385175516
"America",0.2275398958,0.2391867477,0.2354428858,0.2374935008,0.2398273024,0.2360616425,0.2337079257,0.2271537787,0.2319130165,0.2353403859
"Asia",0.1863682494,0.1794612491,0.1933841017,0.2016520921,0.2083661635,0.2182628744,0.2224910786,0.2122377833,0.2085369252,0.191427611
"All continents",0.5852964861,0.6021113386,0.6150314883,0.6081471417,0.6077529425,0.6088021699,0.6056292027,0.5832268681,0.5825825308,0.5652855485
