"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.713883409,1.29572415,1.955537072,2.625414297,3.94934452,4.549436274,5.156391278,6.389528736,7.619728551,8.23657735,8.836881518,9.949396313,11.093891207
"America",2.275398958,1.748995008,2.610232076,3.466703434,5.177125529,6.036463503,6.898791125,8.636852622,10.393475826,11.2799784,12.173954521,13.90158826,15.555957531
"Asia",1.863682494,1.219473565,1.85322002,2.504073094,3.856885777,4.558761282,5.236429646,6.638216847,8.094664398,8.843303435,9.603756419,11.101089698,12.523270503
"All continents",5.852964861,4.264192723,6.418989168,8.596190825,12.983355826,15.144661059,17.291612049,21.664598205,26.107868775,28.359859185,30.614592458,34.952074271,39.173119241
