"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.713883409,1.834633418,2.786722654,3.696678426,5.386693914,6.193935675,6.98228868,8.52706521,10.021367194,10.743788546,11.459720255,12.881046146,14.266221662
"America",2.275398958,2.391867477,3.570539249,4.746296335,7.121231343,8.314602124,9.519504367,11.880120792,14.217200049,15.348071821,16.488737836,18.807868001,21.16127186
"Asia",1.863661122,1.794612491,2.744289354,3.728452439,5.744965638,6.772757576,7.828619969,10.011232759,12.236049499,13.291158863,14.358272136,16.443469359,18.357559185
"All continents",5.852943489,6.021113386,9.101551257,12.1714272,18.252890895,21.281295375,24.330413016,30.418418761,36.474616742,39.38301923,42.306730227,48.132383506,53.785052707
