"area_cont","area_ctry","area_name","area_code","proj","for2000","for2010","for2020","d","p","for2030","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","for2110","loss21","yrdis"
"America","Brazil","Brazil – Goias","GO","high",644,481,358,16335,4.1,195,24,0,0,0,0,0,0,0,0,0,100,"2042"
"America","Brazil","Brazil – Maranhao","MA","low",5638,3930,3259,37602,1,2883,2507,2131,1943,1755,1371,977,777,575,170,0,97,"2105"
"America","Brazil","Brazil – Maranhao","MA","mean",5638,3930,3259,67024,1.9,2589,1919,1238,881,521,0,0,0,0,0,0,100,"2068"
"America","Brazil","Brazil – Maranhao","MA","high",5638,3930,3259,96446,2.8,2295,1323,291,0,0,0,0,0,0,0,0,100,"2053"
"America","Brazil","Brazil – Mato Grosso","MT","low",40368,33283,30333,236938,0.7,27964,25594,23225,22040,20856,18478,16091,14894,13695,11297,8880,72,"2146"
"America","Brazil","Brazil – Mato Grosso","MT","mean",40368,33283,30333,294945,0.9,27384,24434,21474,19977,18478,15460,12400,10861,9322,6233,3073,85,"2120"
"America","Brazil","Brazil – Mato Grosso","MT","high",40368,33283,30333,352951,1.1,26804,23267,19670,17849,16009,12293,8552,6664,4740,568,0,99,"2102"
"America","Brazil","Brazil – Mato Grosso do Sul","MS","low",871,736,654,6016,0.8,593,533,473,443,413,344,267,224,180,91,0,90,"2109"
"America","Brazil","Brazil – Mato Grosso do Sul","MS","mean",871,736,654,8193,1.2,572,490,397,334,269,118,0,0,0,0,0,100,"2077"
"America","Brazil","Brazil – Mato Grosso do Sul","MS","high",871,736,654,10370,1.5,550,439,268,160,33,0,0,0,0,0,0,100,"2062"
"America","Brazil","Brazil – Minas Gerais","MG","low",1824,1277,954,16580,1.4,788,622,457,374,291,117,0,0,0,0,0,100,"2077"
"America","Brazil","Brazil – Minas Gerais","MG","mean",1824,1277,954,32323,2.9,631,308,0,0,0,0,0,0,0,0,0,100,"2050"
"America","Brazil","Brazil – Minas Gerais","MG","high",1824,1277,954,48067,4.6,473,0,0,0,0,0,0,0,0,0,0,100,"2040"
"America","Brazil","Brazil – Para","PA","low",100168,91982,87764,346357,0.4,84300,80836,77373,75641,73909,70437,66956,65212,63467,59974,56462,40,"2242"
"America","Brazil","Brazil – Para","PA","mean",100168,91982,87764,421863,0.5,83545,79326,75097,72966,70832,66545,62215,60042,57868,53510,49081,47,"2189"
"America","Brazil","Brazil – Para","PA","high",100168,91982,87764,497370,0.6,82790,77809,72768,70225,67663,62502,57318,54708,52061,46445,39860,54,"2157"
"America","Brazil","Brazil – Paraiba","PB","low",46,41,38,122,0.3,37,35,34,33,33,23,4,0,0,0,0,100,"2082"
