"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"America","Brazil","Brazil – Para","PA","mean",416679,535997,1071058,1616449,2187322,2781677,3387051,4003946,4636768,5292190
"America","Brazil","Brazil – Para","PA","high",416679,631377,1265988,1924854,2626029,3346753,4083042,4849996,5687180,6684779
"America","Brazil","Brazil – Paraiba","PB","low",88,38,77,118,157,465,1102,1272,1272,1272
"America","Brazil","Brazil – Paraiba","PB","mean",88,98,197,646,1272,1272,1272,1272,1272,1272
"America","Brazil","Brazil – Paraiba","PB","high",88,159,552,1272,1272,1272,1272,1272,1272,1272
"America","Brazil","Brazil – Parana","PR","low",13093,9348,17986,26544,35150,44422,54465,65285,76506,89304
"America","Brazil","Brazil – Parana","PR","mean",13093,14166,27483,41657,58610,77647,100392,125173,151484,182884
"America","Brazil","Brazil – Parana","PR","high",13093,18926,37552,60842,89716,124003,161625,182884,182884,182884
"America","Brazil","Brazil – Pernambouco","PE","low",264,147,285,421,559,967,1707,2832,3970,3970
"America","Brazil","Brazil – Pernambouco","PE","mean",264,307,604,1262,3334,3970,3970,3970,3970,3970
"America","Brazil","Brazil – Pernambouco","PE","high",264,467,1168,3970,3970,3970,3970,3970,3970,3970
"America","Brazil","Brazil – Piaui","PI","low",590,217,487,741,994,1514,1631,1631,1631,1631
"America","Brazil","Brazil – Piaui","PI","mean",590,571,1162,1631,1631,1631,1631,1631,1631,1631
"America","Brazil","Brazil – Piaui","PI","high",590,904,1631,1631,1631,1631,1631,1631,1631,1631
"America","Brazil","Brazil – Rio de Janeiro","RJ","low",3321,911,1889,2844,3806,5504,7982,11264,14957,20617
"America","Brazil","Brazil – Rio de Janeiro","RJ","mean",3321,3455,6987,11558,19748,30866,47673,65842,73653,73653
"America","Brazil","Brazil – Rio de Janeiro","RJ","high",3321,6018,12927,26343,48457,73653,73653,73653,73653,73653
"America","Brazil","Brazil – Rio Grande do Norte","RN","low",64,45,89,130,171,402,494,494,494,494
"America","Brazil","Brazil – Rio Grande do Norte","RN","mean",64,72,138,455,494,494,494,494,494,494
"America","Brazil","Brazil – Rio Grande do Norte","RN","high",64,97,347,494,494,494,494,494,494,494
"America","Brazil","Brazil – Rio Grande do Sul","RS","low",5995,4446,8921,13408,17916,22927,28522,34705,41212,48917
"America","Brazil","Brazil – Rio Grande do Sul","RS","mean",5995,6649,13313,20586,29906,40810,54549,69960,86708,108763
"America","Brazil","Brazil – Rio Grande do Sul","RS","high",5995,8827,18081,30710,47546,68644,92548,115420,115420,115420
"America","Brazil","Brazil – Rondonia","RO","low",152293,159346,309072,460536,617548,779924,949662,1126702,1308473,1494356
