"area_cont","area_ctry","area_name","area_code","proj","C2020","C2030","C2040","C2050","C2060","C2070","C2080","C2090","C2100","C2110"
"Africa","Rwanda","Rwanda","RWA","high",993,2533,7269,11537,11537,11537,11537,11537,11537,11537
"Africa","Senegal","Senegal","SEN","low",286,7,12,17,23,28,33,37,42,48
"Africa","Senegal","Senegal","SEN","mean",286,249,511,767,1034,1312,1488,1499,1499,1499
"Africa","Senegal","Senegal","SEN","high",286,505,1021,1483,1499,1499,1499,1499,1499,1499
"Africa","Sierra Leone","Sierra Leone","SLE","low",33411,28734,59419,79457,79457,79457,79457,79457,79457,79457
"Africa","Sierra Leone","Sierra Leone","SLE","mean",33411,41342,79457,79457,79457,79457,79457,79457,79457,79457
"Africa","Sierra Leone","Sierra Leone","SLE","high",33411,54576,79457,79457,79457,79457,79457,79457,79457,79457
"Africa","South Sudan","South Sudan","SSD","low",1763,746,1818,3764,6029,6595,6595,6595,6595,6595
"Africa","South Sudan","South Sudan","SSD","mean",1763,1195,3999,6595,6595,6595,6595,6595,6595,6595
"Africa","South Sudan","South Sudan","SSD","high",1763,2004,6525,6595,6595,6595,6595,6595,6595,6595
"Africa","Tanzania","Tanzania","TZA","low",5117,3160,6368,9651,13229,16963,20768,24707,28823,33106
"Africa","Tanzania","Tanzania","TZA","mean",5117,5196,10535,16506,22736,29375,36436,43756,51049,57810
"Africa","Tanzania","Tanzania","TZA","high",5117,7159,15106,23736,33145,43202,53231,60923,63927,63927
"Africa","Togo","Togo","TGO","low",2057,1257,2552,3940,4584,4584,4584,4584,4584,4584
"Africa","Togo","Togo","TGO","mean",2057,2437,4584,4584,4584,4584,4584,4584,4584,4584
"Africa","Togo","Togo","TGO","high",2057,3692,4584,4584,4584,4584,4584,4584,4584,4584
"Africa","Uganda","Uganda","UGA","low",12353,8837,19789,33371,45772,45772,45772,45772,45772,45772
"Africa","Uganda","Uganda","UGA","mean",12353,15969,38594,45772,45772,45772,45772,45772,45772,45772
"Africa","Uganda","Uganda","UGA","high",12353,24561,45772,45772,45772,45772,45772,45772,45772,45772
"Africa","Zambia","Zambia","ZMB","low",2700,1551,3094,4626,5996,6203,6203,6203,6203,6203
"Africa","Zambia","Zambia","ZMB","mean",2700,2634,5202,6203,6203,6203,6203,6203,6203,6203
"Africa","Zambia","Zambia","ZMB","high",2700,3741,6203,6203,6203,6203,6203,6203,6203,6203
"Asia","Australia","Australia – Queensland","QLD","low",5980,3783,7316,10874,14133,17138,20080,23103,26240,29542
"Asia","Australia","Australia – Queensland","QLD","mean",5980,6436,12555,17895,23142,28755,34972,41965,49748,58317
"Asia","Australia","Australia – Queensland","QLD","high",5980,9130,17174,24709,33149,43064,54601,67682,82055,97348
"Asia","Bangladesh","Bangladesh","BGD","low",1084,889,1720,2519,3232,3902,4552,5194,5829,6457
"Asia","Bangladesh","Bangladesh","BGD","mean",1084,1348,2585,3660,4666,5652,6622,7577,8494,9364
"Asia","Bangladesh","Bangladesh","BGD","high",1084,1793,3352,4723,6052,7353,8596,9752,10841,11894
"Asia","Bhutan","Bhutan","BTN","low",3220,2153,4096,6015,7936,9857,11781,13698,15627,17555
"Asia","Bhutan","Bhutan","BTN","mean",3220,3512,6777,10042,13306,16583,19858,23142,26433,29724
"Asia","Bhutan","Bhutan","BTN","high",3220,4863,9466,14072,18697,23333,27978,32632,37306,41984
"Asia","Brunei","Brunei","BRN","low",282,297,579,891,1223,1564,1900,2234,2573,2918
"Asia","Brunei","Brunei","BRN","mean",282,392,787,1229,1684,2131,2584,3048,3527,4017
"Asia","Brunei","Brunei","BRN","high",282,486,1008,1576,2139,2708,3300,3909,4541,5201
"Asia","Cambodia","Cambodia","KHM","low",59205,48104,96623,146021,170714,170714,170714,170714,170714,170714
"Asia","Cambodia","Cambodia","KHM","mean",59205,67966,136413,170714,170714,170714,170714,170714,170714,170714
"Asia","Cambodia","Cambodia","KHM","high",59205,87441,170714,170714,170714,170714,170714,170714,170714,170714
"Asia","Fiji","Fiji","FJI","low",915,332,758,1222,1731,2267,2820,3386,3939,4498
"Asia","Fiji","Fiji","FJI","mean",915,700,1593,2601,3647,4694,5822,7013,8235,9486
"Asia","Fiji","Fiji","FJI","high",915,1093,2527,4051,5656,7403,9215,11127,13183,15382
"Asia","India","India – Andaman and N.","AN","low",599,35,111,205,313,437,567,699,831,963
"Asia","India","India – Andaman and N.","AN","mean",599,415,1051,1665,2284,2931,3610,4294,4982,5679
"Asia","India","India – Andaman and N.","AN","high",599,919,2025,3189,4413,5657,6938,8267,9634,11039
"Asia","India","India – North-East","NE","low",10364,5562,12245,19625,27502,35711,44130,52707,61409,70215
"Asia","India","India – North-East","NE","mean",10364,8990,20049,32258,45075,58250,71686,85279,98948,112621
"Asia","India","India – North-East","NE","high",10364,12637,28399,45546,63348,81554,99940,118312,136478,154108
"Asia","India","India – West. Ghats","WG","low",6378,3153,7906,14048,20858,27798,34961,42542,48217,48217
"Asia","India","India – West. Ghats","WG","mean",6378,5878,15581,26707,38396,48217,48217,48217,48217,48217
"Asia","India","India – West. Ghats","WG","high",6378,9235,24034,40145,48217,48217,48217,48217,48217,48217
"Asia","Indonesia","Indonesia","IDN","low",528972,380792,799616,1260007,1766221,2317141,2909168,3547718,4226051,4936177
"Asia","Indonesia","Indonesia","IDN","mean",528972,566338,1215891,1961030,2796927,3727593,4738167,5803743,6910733,8052598
"Asia","Indonesia","Indonesia","IDN","high",528972,759595,1669824,2741427,3973058,5330616,6768416,8270633,9813691,11262589
"Asia","Laos","Laos","LAO","low",56470,50734,100489,149770,198683,247666,297695,350659,389729,389729
"Asia","Laos","Laos","LAO","mean",56470,64380,127455,189835,252199,316538,389729,389729,389729,389729
"Asia","Laos","Laos","LAO","high",56470,77979,154282,229879,307134,389729,389729,389729,389729,389729
"Asia","Malaysia","Malaysia","MYS","low",106148,87579,198802,326247,464246,607674,756923,911733,1070581,1232565
"Asia","Malaysia","Malaysia","MYS","mean",106148,123427,283988,467241,660935,865147,1077382,1295348,1516728,1728848
"Asia","Malaysia","Malaysia","MYS","high",106148,161451,375333,613863,868421,1135560,1411056,1687010,1798757,1798757
"Asia","Myanmar","Myanmar","MMR","low",56874,37170,75327,113911,152902,192329,232190,272438,313057,354083
"Asia","Myanmar","Myanmar","MMR","mean",56874,57337,116201,176055,236921,298699,361399,425198,491056,513395
"Asia","Myanmar","Myanmar","MMR","high",56874,77590,157530,239289,322702,407908,496519,513395,513395,513395
"Asia","New Caledonia","New Caledonia","NCL","low",670,387,774,1195,1646,2091,2545,3005,3478,3966
"Asia","New Caledonia","New Caledonia","NCL","mean",670,621,1308,2039,2780,3544,4348,5169,6005,6865
"Asia","New Caledonia","New Caledonia","NCL","high",670,879,1873,2896,3974,5108,6269,7475,8718,10002
"Asia","Papua New Guinea","Papua New Guinea","PNG","low",33507,36063,62350,88479,115089,141887,169125,196855,225033,253647
"Asia","Papua New Guinea","Papua New Guinea","PNG","mean",33507,53350,96558,140735,185984,232502,280257,329665,380681,433188
"Asia","Papua New Guinea","Papua New Guinea","PNG","high",33507,70276,131379,194493,259999,328397,399882,474112,550435,628478
"Asia","Philippines","Philippines","PHL","low",37108,21000,45682,72652,100651,128616,156384,184054,211680,239482
"Asia","Philippines","Philippines","PHL","mean",37108,42168,93000,145073,196682,248495,301730,357098,414931,475354
"Asia","Philippines","Philippines","PHL","high",37108,65161,141297,216810,293856,375210,461955,554078,651378,720922
"Asia","Singapore","Singapore","SGP","low",37,23,54,86,120,156,193,232,272,313
"Asia","Singapore","Singapore","SGP","mean",37,43,95,152,214,279,346,416,485,570
"Asia","Singapore","Singapore","SGP","high",37,63,139,224,316,412,510,593,593,593
"Asia","Solomon Isl.","Solomon Isl.","SLB","low",847,445,924,1504,2172,2880,3590,4336,5095,5862
"Asia","Solomon Isl.","Solomon Isl.","SLB","mean",847,735,1687,2833,4017,5265,6523,7788,9071,10369
"Asia","Solomon Isl.","Solomon Isl.","SLB","high",847,1087,2584,4234,5978,7736,9524,11332,13148,14966
"Asia","Sri Lanka","Sri Lanka","LKA","low",2349,1030,2446,4036,5729,7480,9273,11107,12977,14882
"Asia","Sri Lanka","Sri Lanka","LKA","mean",2349,2037,4795,7804,10940,14186,17564,21101,24842,28818
"Asia","Sri Lanka","Sri Lanka","LKA","high",2349,3153,7321,11786,16484,21486,26903,32837,39331,39331
"Asia","Thailand","Thailand","THA","low",16248,9594,20629,32429,44868,57705,70834,84198,97784,111596
"Asia","Thailand","Thailand","THA","mean",16248,15995,34602,54678,75562,97026,119061,141670,164791,188545
"Asia","Thailand","Thailand","THA","high",16248,22671,49395,77937,107587,138318,170051,203007,242752,242752
"Asia","Timor-Leste","Timor-Leste","TLS","low",918,426,787,1129,1459,1790,2120,2450,2778,3107
"Asia","Timor-Leste","Timor-Leste","TLS","mean",918,1055,1974,2890,3806,4714,5612,6123,6123,6123
"Asia","Timor-Leste","Timor-Leste","TLS","high",918,1646,3148,4644,6123,6123,6123,6123,6123,6123
"Asia","Vanuatu","Vanuatu","VUT","low",230,66,144,262,378,495,616,737,856,979
"Asia","Vanuatu","Vanuatu","VUT","mean",230,170,425,690,956,1223,1475,1722,1962,2198
"Asia","Vanuatu","Vanuatu","VUT","high",230,309,716,1129,1523,1901,2264,2617,2965,3316
"Asia","Vietnam","Vietnam","VNM","low",36008,32446,59735,87041,114821,143113,172121,202390,234849,271110
"Asia","Vietnam","Vietnam","VNM","mean",36008,43274,81330,120102,159950,201768,247926,303114,328684,328684
"Asia","Vietnam","Vietnam","VNM","high",36008,54066,103206,153927,207666,269544,328684,328684,328684,328684
