"cont","for2040","for2050","for2060","for2080","for2100","loss21","yr75dis"
"India",5983938,4791898,3944805,2851445,1758085,83.6905317631482,2062
"DRC",100241554,91220894,82200234,64158914,46117594,64.8755601153363,2109
"Indonesia",92404769,80070929,67737089,43069409,18401729,86.7953510541203,2084
"Brazil",300387556,283107154,265826755,231265956,196705157,47.4446034554553,2162
"America",556137349,524373221,493634588,436104701,380806412,44.5969881975007,2180
"Africa",194678891,177631287,161825790,134768399,110050172,59.9807959030872,2136
"Asia",195495638,170602678,146054665,99688530,62898467,78.8284468163984,2093
"All continents",946311878,872607186,801515043,670561630,553755051,56.0310081160032,2157
