area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Maranhao,MA,high,49557059,70847917,103848274,138196793,220659489,262903192,262903192,262903192,262903192,262903192,262903192,262903192,262903192,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,257217203,206147244,309721854,413691132,622461353,727702449,834107320,1050953818,1272234128,1385034905,1499558810,1735266614,1983152650,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,257217203,256799722,386084808,515673698,778415655,913712689,1050913563,1331488379,1625680385,1779190091,1936990376,2267566381,2626114250,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,257217203,307559855,462438997,618753659,941733782,1108883179,1279886931,1636202735,2017572291,2220120460,2434659057,2916289801,2979808857,1,3
America,Brazil,Brazil – Mato Grosso do Sul,MS,low,5088918,3564829,5398861,7293013,11162951,13106139,15059058,19552246,24682821,27525035,30447574,36550292,43127911,1,1
America,Brazil,Brazil – Mato Grosso do Sul,MS,mean,5088918,4889075,7457556,10089423,16105635,20215663,24539207,34671669,43127911,43127911,43127911,43127911,43127911,1,2
America,Brazil,Brazil – Mato Grosso do Sul,MS,high,5088918,6239430,9555178,13378256,24606178,31815946,40679788,43127911,43127911,43127911,43127911,43127911,43127911,1,3
America,Brazil,Brazil – Minas Gerais,MG,low,22992007,12152879,18371941,24600998,37195497,43599925,50138056,64492904,74559226,74559226,74559226,74559226,74559226,1,1
America,Brazil,Brazil – Minas Gerais,MG,mean,22992007,23970817,36232989,48804907,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,22992007,35913647,54793605,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,74559226,1,3
America,Brazil,Brazil – Para,PA,low,414046149,358210421,535370277,711042438,1060849397,1235289744,1410478194,1766147117,2129719653,2313092179,2496454156,2865843820,3243078607,1,1
America,Brazil,Brazil – Para,PA,mean,414046149,435578761,650371266,863897626,1290242311,1506374748,1725316302,2172901897,2628170571,2858541937,3091351461,3565433676,4056616686,1,2
America,Brazil,Brazil – Para,PA,high,414046149,512773355,765108864,1016962196,1526593301,1788170513,2055588702,2597923191,3150664222,3433968251,3725151262,4352945460,5105300829,1,3
America,Brazil,Brazil – Paraiba,PB,low,220287,100675,148166,195964,288185,332126,375239,1049197,2469340,2837994,2837994,2837994,2837994,1,1
America,Brazil,Brazil – Paraiba,PB,mean,220287,245062,356804,465887,1445723,2837994,2837994,2837994,2837994,2837994,2837994,2837994,2837994,1,2
America,Brazil,Brazil – Paraiba,PB,high,220287,379514,551540,1239853,2837994,2837994,2837994,2837994,2837994,2837994,2837994,2837994,2837994,1,3
America,Brazil,Brazil – Parana,PR,low,16777312,11036441,16493344,21952275,32866416,38320897,43790216,55472954,67981608,74584380,81278779,94878741,110197294,1,1
America,Brazil,Brazil – Parana,PR,mean,16777312,17093704,25579761,34059947,52002763,62410715,73098002,96251070,123324655,137788650,152371764,183127999,220146454,1,2
America,Brazil,Brazil – Parana,PR,high,16777312,23150535,34662053,46829537,75841421,92350462,110687033,151005307,195090867,220146454,220146454,220146454,220146454,1,3
America,Brazil,Brazil – Pernambouco,PE,low,629334,309495,459730,609204,913833,1067513,1222731,2148827,3802399,4969438,6261101,8624668,8624668,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,629334,660050,990642,1326406,2807154,4865217,7316487,8624668,8624668,8624668,8624668,8624668,8624668,1,2
America,Brazil,Brazil – Pernambouco,PE,high,629334,1015446,1532361,2597425,8624668,8624668,8624668,8624668,8624668,8624668,8624668,8624668,8624668,1,3
America,Brazil,Brazil – Piaui,PI,low,990750,420075,635684,851965,1280397,1495320,1711084,2577725,2762571,2762571,2762571,2762571,2762571,1,1
America,Brazil,Brazil – Piaui,PI,mean,990750,992015,1489966,1993023,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,2762571,1,2
