area_cont,area_ctry,area_name,area_code,proj,for2000,for2005,for2010,for2015,for2020,d_se,d_mean,d_min,d_max,andef,pdef,for2030,for2035,for2040,for2050,for2055,for2060,for2070,for2080,for2085,for2090,for2100,for2110,yrdis,id_cont,id_d
America,Guadeloupe,Guadeloupe,GLP,low,79842,78964,77168,75131,73457,68,370,237,502,237,0.3,71087,69902,68717,66347,65162,63977,61607,59237,58052,56867,54497,52127,2329,1,1
America,Guadeloupe,Guadeloupe,GLP,mean,79842,78964,77168,75131,73457,68,370,237,502,370,0.5,69757,67907,66057,62357,60507,58657,54957,51257,49407,47557,43857,40157,2218,1,2
America,Guadeloupe,Guadeloupe,GLP,high,79842,78964,77168,75131,73457,68,370,237,502,502,0.7,68437,65927,63417,58397,55887,53377,48357,43337,40827,38317,33297,28277,2166,1,3
America,Guatemala,Guatemala,GTM,low,3449029,3002703,2701746,2486775,2275440,4772,42648,33295,52000,33295,1.3,1942490,1776015,1609540,1276590,1110115,943640,610690,277740,111265,0,0,0,2088,1,1
America,Guatemala,Guatemala,GTM,mean,3449029,3002703,2701746,2486775,2275440,4772,42648,33295,52000,42648,1.7,1848960,1635720,1422480,996000,782760,569520,143040,0,0,0,0,0,2073,1,2
America,Guatemala,Guatemala,GTM,high,3449029,3002703,2701746,2486775,2275440,4772,42648,33295,52000,52000,2.1,1755440,1495440,1235440,715440,455440,195440,0,0,0,0,0,0,2063,1,3
America,Guyana,Guyana,GUY,low,18618253,18541623,18489142,18433790,18365647,1973,12342,8474,16210,8474,0,18280907,18238537,18196167,18111427,18069057,18026687,17941947,17857207,17814837,17772467,17687727,17602987,4187,1,1
America,Guyana,Guyana,GUY,mean,18618253,18541623,18489142,18433790,18365647,1973,12342,8474,16210,12342,0.1,18242227,18180517,18118807,17995387,17933677,17871967,17748547,17625127,17563417,17501707,17378287,17254867,3508,1,2
America,Guyana,Guyana,GUY,high,18618253,18541623,18489142,18433790,18365647,1973,12342,8474,16210,16210,0.1,18203547,18122497,18041447,17879347,17798297,17717247,17555147,17393047,17311997,17230947,17068847,16906747,3152,1,3
America,Haiti,Haiti,HTI,low,247385,190316,162190,136542,122162,687,4001,2655,5346,2655,1.8,95612,82337,69062,42512,29237,15962,0,0,0,0,0,0,2066,1,1
America,Haiti,Haiti,HTI,mean,247385,190316,162190,136542,122162,687,4001,2655,5346,4001,2.8,82152,62147,42142,2132,0,0,0,0,0,0,0,0,2050,1,2
America,Haiti,Haiti,HTI,high,247385,190316,162190,136542,122162,687,4001,2655,5346,5346,3.9,68702,41972,15242,0,0,0,0,0,0,0,0,0,2042,1,3
America,Honduras,Honduras,HND,low,3384398,3164220,2992667,2763133,2568531,5799,42409,31042,53775,31042,1.1,2258111,2102901,1947691,1637271,1482061,1326851,1016431,706011,550801,395591,85171,0,2102,1,1
America,Honduras,Honduras,HND,mean,3384398,3164220,2992667,2763133,2568531,5799,42409,31042,53775,42409,1.5,2144441,1932396,1720351,1296261,1084216,872171,448081,23991,0,0,0,0,2080,1,2
America,Honduras,Honduras,HND,high,3384398,3164220,2992667,2763133,2568531,5799,42409,31042,53775,53775,2,2030781,1761906,1493031,955281,686406,417531,0,0,0,0,0,0,2067,1,3
America,Jamaica,Jamaica,JAM,low,471672,440280,421123,403484,395420,596,2572,1403,3741,1403,0.3,381390,374375,367360,353330,346315,339300,325270,311240,304225,297210,283180,269150,2301,1,1
America,Jamaica,Jamaica,JAM,mean,471672,440280,421123,403484,395420,596,2572,1403,3741,2572,0.6,369700,356840,343980,318260,305400,292540,266820,241100,228240,215380,189660,163940,2173,1,2
America,Jamaica,Jamaica,JAM,high,471672,440280,421123,403484,395420,596,2572,1403,3741,3741,0.9,358010,339305,320600,283190,264485,245780,208370,170960,152255,133550,96140,58730,2125,1,3
America,Martinique,Martinique,MTQ,low,72737,72250,70074,67604,66055,87,400,229,571,229,0.3,63765,62620,61475,59185,58040,56895,54605,52315,51170,50025,47735,45445,2308,1,1
America,Martinique,Martinique,MTQ,mean,72737,72250,70074,67604,66055,87,400,229,571,400,0.6,62055,60055,58055,54055,52055,50055,46055,42055,40055,38055,34055,30055,2185,1,2
America,Martinique,Martinique,MTQ,high,72737,72250,70074,67604,66055,87,400,229,571,571,0.8,60345,57490,54635,48925,46070,43215,37505,31795,28940,26085,20375,14665,2135,1,3
America,Mexico,Mexico,MEX,low,9098171,8170886,7390063,6835027,6263914,13807,112620,85558,139682,85558,1.2,5408334,4980544,4552754,3697174,3269384,2841594,1986014,1130434,702644,274854,0,0,2093,1,1
America,Mexico,Mexico,MEX,mean,9098171,8170886,7390063,6835027,6263914,13807,112620,85558,139682,112620,1.6,5137714,4574614,4011514,2885314,2322214,1759114,632914,0,0,0,0,0,2075,1,2
America,Mexico,Mexico,MEX,high,9098171,8170886,7390063,6835027,6263914,13807,112620,85558,139682,139682,2.1,4867094,4168684,3470274,2073454,1375044,676634,0,0,0,0,0,0,2064,1,3
America,Montserrat,Montserrat,MSR,low,3413,3409,3366,3317,3294,2,7,3,11,3,0.1,3264,3249,3234,3204,3189,3174,3144,3114,3099,3084,3054,3024,3118,1,1
America,Montserrat,Montserrat,MSR,mean,3413,3409,3366,3317,3294,2,7,3,11,7,0.2,3224,3189,3154,3084,3049,3014,2944,2874,2839,2804,2734,2664,2490,1,2
America,Montserrat,Montserrat,MSR,high,3413,3409,3366,3317,3294,2,7,3,11,11,0.3,3184,3129,3074,2964,2909,2854,2744,2634,2579,2524,2414,2304,2319,1,3
America,Nicaragua,Nicaragua,NIC,low,4926475,4618073,4262376,3724225,3407723,19614,85457,47013,123901,47013,1.2,2937593,2702528,2467463,1997333,1762268,1527203,1057073,586943,351878,116813,0,0,2092,1,1
America,Nicaragua,Nicaragua,NIC,mean,4926475,4618073,4262376,3724225,3407723,19614,85457,47013,123901,85457,2.2,2553153,2125868,1698583,844013,416728,0,0,0,0,0,0,0,2059,1,2
America,Nicaragua,Nicaragua,NIC,high,4926475,4618073,4262376,3724225,3407723,19614,85457,47013,123901,123901,3.4,2168713,1549208,929703,0,0,0,0,0,0,0,0,0,2047,1,3
America,Panama,Panama,PAN,low,4423117,4319505,4203937,4109780,4011766,2701,19202,13907,24496,13907,0.3,3872696,3803161,3733626,3594556,3525021,3455486,3316416,3177346,3107811,3038276,2899206,2760136,2308,1,1
America,Panama,Panama,PAN,mean,4423117,4319505,4203937,4109780,4011766,2701,19202,13907,24496,19202,0.5,3819746,3723736,3627726,3435706,3339696,3243686,3051666,2859646,2763636,2667626,2475606,2283586,2228,1,2
America,Panama,Panama,PAN,high,4423117,4319505,4203937,4109780,4011766,2701,19202,13907,24496,24496,0.6,3766806,3644326,3521846,3276886,3154406,3031926,2786966,2542006,2419526,2297046,2052086,1807126,2183,1,3
America,Paraguay,Paraguay,PRY,low,2358900,1757231,1439852,1219574,1090456,8068,34950,19137,50764,19137,1.4,899086,803401,707716,516346,420661,324976,133606,0,0,0,0,0,2076,1,1
America,Paraguay,Paraguay,PRY,mean,2358900,1757231,1439852,1219574,1090456,8068,34950,19137,50764,34950,2.7,740956,566206,391456,41956,0,0,0,0,0,0,0,0,2051,1,2
America,Paraguay,Paraguay,PRY,high,2358900,1757231,1439852,1219574,1090456,8068,34950,19137,50764,50764,4.3,582816,328996,75176,0,0,0,0,0,0,0,0,0,2041,1,3
America,Peru,Peru,PER,low,73255171,72583425,71901480,71271730,70774640,8719,112691,95602,129780,95602,0.1,69818620,69340610,68862600,67906580,67428570,66950560,65994540,65038520,64560510,64082500,63126480,62170460,2760,1,1
America,Peru,Peru,PER,mean,73255171,72583425,71901480,71271730,70774640,8719,112691,95602,129780,112691,0.2,69647730,69084275,68520820,67393910,66830455,66267000,65140090,64013180,63449725,62886270,61759360,60632450,2648,1,2
America,Peru,Peru,PER,high,73255171,72583425,71901480,71271730,70774640,8719,112691,95602,129780,129780,0.2,69476840,68827940,68179040,66881240,66232340,65583440,64285640,62987840,62338940,61690040,60392240,59094440,2565,1,3
America,Puerto Rico,Puerto Rico,PRI,low,422919,377786,358047,335449,321076,1083,3688,1566,5809,1566,0.4,305416,297586,289756,274096,266266,258436,242776,227116,219286,211456,195796,180136,2225,1,1
America,Puerto Rico,Puerto Rico,PRI,mean,422919,377786,358047,335449,321076,1083,3688,1566,5809,3688,1.1,284196,265756,247316,210436,191996,173556,136676,99796,81356,62916,26036,0,2107,1,2
America,Puerto Rico,Puerto Rico,PRI,high,422919,377786,358047,335449,321076,1083,3688,1566,5809,5809,1.8,262986,233941,204896,146806,117761,88716,30626,0,0,0,0,0,2075,1,3
America,Saint Kitts and N.,Saint Kitts and N.,KNA,low,9217,9168,8973,8777,8629,11,34,12,56,12,0.1,8509,8449,8389,8269,8209,8149,8029,7909,7849,7789,7669,7549,2739,1,1
America,Saint Kitts and N.,Saint Kitts and N.,KNA,mean,9217,9168,8973,8777,8629,11,34,12,56,34,0.4,8289,8119,7949,7609,7439,7269,6929,6589,6419,6249,5909,5569,2273,1,2
America,Saint Kitts and N.,Saint Kitts and N.,KNA,high,9217,9168,8973,8777,8629,11,34,12,56,56,0.6,8069,7789,7509,6949,6669,6389,5829,5269,4989,4709,4149,3589,2174,1,3
America,Saint Lucia,Saint Lucia,LCA,low,47487,47339,46687,44786,44067,70,261,124,398,124,0.3,42827,42207,41587,40347,39727,39107,37867,36627,36007,35387,34147,32907,2375,1,1
America,Saint Lucia,Saint Lucia,LCA,mean,47487,47339,46687,44786,44067,70,261,124,398,261,0.6,41457,40152,38847,36237,34932,33627,31017,28407,27102,25797,23187,20577,2188,1,2
America,Saint Lucia,Saint Lucia,LCA,high,47487,47339,46687,44786,44067,70,261,124,398,398,0.9,40087,38097,36107,32127,30137,28147,24167,20187,18197,16207,12227,8247,2130,1,3
America,Saint Martin,Saint Martin,MAF,low,728,688,560,488,319,10,24,4,44,4,0.7,279,259,239,199,179,159,119,79,59,39,0,0,2099,1,1
America,Saint Martin,Saint Martin,MAF,mean,728,688,560,488,319,10,24,4,44,24,5.4,79,0,0,0,0,0,0,0,0,0,0,0,2033,1,2
America,Saint Martin,Saint Martin,MAF,high,728,688,560,488,319,10,24,4,44,44,14.3,0,0,0,0,0,0,0,0,0,0,0,0,2027,1,3
America,Saint Vincent,Saint Vincent,VCT,low,28768,28742,28494,27786,27412,27,106,54,159,54,0.2,26872,26602,26332,25792,25522,25252,24712,24172,23902,23632,23092,22552,2527,1,1
America,Saint Vincent,Saint Vincent,VCT,mean,28768,28742,28494,27786,27412,27,106,54,159,106,0.4,26352,25822,25292,24232,23702,23172,22112,21052,20522,19992,18932,17872,2278,1,2
America,Saint Vincent,Saint Vincent,VCT,high,28768,28742,28494,27786,27412,27,106,54,159,159,0.6,25822,25027,24232,22642,21847,21052,19462,17872,17077,16282,14692,13102,2192,1,3
America,Sint Maarten,Sint Maarten,SXM,low,308,290,216,188,116,4,10,2,18,2,1,96,86,76,56,46,36,16,0,0,0,0,0,2078,1,1
America,Sint Maarten,Sint Maarten,SXM,mean,308,290,216,188,116,4,10,2,18,10,6,16,0,0,0,0,0,0,0,0,0,0,0,2031,1,2
America,Sint Maarten,Sint Maarten,SXM,high,308,290,216,188,116,4,10,2,18,18,16.4,0,0,0,0,0,0,0,0,0,0,0,0,2026,1,3
America,Suriname,Suriname,SUR,low,13814096,13764773,13727213,13674329,13624006,1160,10316,8044,12589,8044,0.1,13543566,13503346,13463126,13382686,13342466,13302246,13221806,13141366,13101146,13060926,12980486,12900046,3713,1,1
America,Suriname,Suriname,SUR,mean,13814096,13764773,13727213,13674329,13624006,1160,10316,8044,12589,10316,0.1,13520846,13469266,13417686,13314526,13262946,13211366,13108206,13005046,12953466,12901886,12798726,12695566,3340,1,2
America,Suriname,Suriname,SUR,high,13814096,13764773,13727213,13674329,13624006,1160,10316,8044,12589,12589,0.1,13498116,13435171,13372226,13246336,13183391,13120446,12994556,12868666,12805721,12742776,12616886,12490996,3102,1,3
America,Trinidad and Tobago,Trinidad and Tobago,TTO,low,348615,343830,330091,312334,306560,1007,2355,382,4328,382,0.1,302740,300830,298920,295100,293190,291280,287460,283640,281730,279820,276000,272180,2822,1,1
America,Trinidad and Tobago,Trinidad and Tobago,TTO,mean,348615,343830,330091,312334,306560,1007,2355,382,4328,2355,0.7,283010,271235,259460,235910,224135,212360,188810,165260,153485,141710,118160,94610,2150,1,2
America,Trinidad and Tobago,Trinidad and Tobago,TTO,high,348615,343830,330091,312334,306560,1007,2355,382,4328,4328,1.4,263280,241640,220000,176720,155080,133440,90160,46880,25240,3600,0,0,2090,1,3
America,Venezuela,Venezuela,VEN,low,44742607,43541030,42912934,42109122,41429955,24944,148279,99388,197169,99388,0.2,40436075,39939135,39442195,38448315,37951375,37454435,36460555,35466675,34969735,34472795,33478915,32485035,2436,1,1
America,Venezuela,Venezuela,VEN,mean,44742607,43541030,42912934,42109122,41429955,24944,148279,99388,197169,148279,0.4,39947165,39205770,38464375,36981585,36240190,35498795,34016005,32533215,31791820,31050425,29567635,28084845,2299,1,2
America,Venezuela,Venezuela,VEN,high,44742607,43541030,42912934,42109122,41429955,24944,148279,99388,197169,197169,0.5,39458265,38472420,37486575,35514885,34529040,33543195,31571505,29599815,28613970,27628125,25656435,23684745,2230,1,3
America,Virgin Isl. UK,Virgin Isl. UK,VGB,low,4010,3335,2840,2436,1859,35,96,28,164,28,1,1579,1439,1299,1019,879,739,459,179,39,0,0,0,2086,1,1
America,Virgin Isl. UK,Virgin Isl. UK,VGB,mean,4010,3335,2840,2436,1859,35,96,28,164,96,4,899,419,0,0,0,0,0,0,0,0,0,0,2039,1,2
America,Virgin Isl. UK,Virgin Isl. UK,VGB,high,4010,3335,2840,2436,1859,35,96,28,164,164,8.3,219,0,0,0,0,0,0,0,0,0,0,0,2031,1,3
America,Virgin Isl. US,Virgin Isl. US,VIR,low,9180,8494,8097,7543,6687,54,137,32,242,32,0.4,6367,6207,6047,5727,5567,5407,5087,4767,4607,4447,4127,3807,2228,1,1
America,Virgin Isl. US,Virgin Isl. US,VIR,mean,9180,8494,8097,7543,6687,54,137,32,242,137,1.8,5317,4632,3947,2577,1892,1207,0,0,0,0,0,0,2068,1,2
America,Virgin Isl. US,Virgin Isl. US,VIR,high,9180,8494,8097,7543,6687,54,137,32,242,242,3.5,4267,3057,1847,0,0,0,0,0,0,0,0,0,2047,1,3
Africa,Angola,Angola,AGO,low,7064733,6455239,6044153,5575642,5341117,13418,70293,43994,96591,43994,0.8,4901177,4681207,4461237,4021297,3801327,3581357,3141417,2701477,2481507,2261537,1821597,1381657,2141,2,1
Africa,Angola,Angola,AGO,mean,7064733,6455239,6044153,5575642,5341117,13418,70293,43994,96591,70293,1.2,4638187,4286722,3935257,3232327,2880862,2529397,1826467,1123537,772072,420607,0,0,2095,2,2
Africa,Angola,Angola,AGO,high,7064733,6455239,6044153,5575642,5341117,13418,70293,43994,96591,96591,1.7,4375207,3892252,3409297,2443387,1960432,1477477,511567,0,0,0,0,0,2075,2,3
Africa,Benin,Benin,BEN,low,76776,58085,46640,39039,32026,320,1463,836,2090,836,2,23666,19486,15306,6946,2766,0,0,0,0,0,0,0,2058,2,1
Africa,Benin,Benin,BEN,mean,76776,58085,46640,39039,32026,320,1463,836,2090,1463,3.7,17396,10081,2766,0,0,0,0,0,0,0,0,0,2041,2,2
Africa,Benin,Benin,BEN,high,76776,58085,46640,39039,32026,320,1463,836,2090,2090,5.8,11126,676,0,0,0,0,0,0,0,0,0,0,2035,2,3
Africa,Burundi,Burundi,BDI,low,104249,75248,63638,57095,55077,309,856,251,1461,251,0.4,52567,51312,50057,47547,46292,45037,42527,40017,38762,37507,34997,32487,2239,2,1
Africa,Burundi,Burundi,BDI,mean,104249,75248,63638,57095,55077,309,856,251,1461,856,1.4,46517,42237,37957,29397,25117,20837,12277,3717,0,0,0,0,2084,2,2
Africa,Burundi,Burundi,BDI,high,104249,75248,63638,57095,55077,309,856,251,1461,1461,2.6,40467,33162,25857,11247,3942,0,0,0,0,0,0,0,2057,2,3
Africa,Cameroon,Cameroon,CMR,low,23886943,23718002,23545984,23242042,22839759,6817,70641,57279,84002,57279,0.2,22266969,21980574,21694179,21121389,20834994,20548599,19975809,19403019,19116624,18830229,18257439,17684649,2418,2,1
Africa,Cameroon,Cameroon,CMR,mean,23886943,23718002,23545984,23242042,22839759,6817,70641,57279,84002,70641,0.3,22133349,21780144,21426939,20720529,20367324,20014119,19307709,18601299,18248094,17894889,17188479,16482069,2343,2,2
Africa,Cameroon,Cameroon,CMR,high,23886943,23718002,23545984,23242042,22839759,6817,70641,57279,84002,84002,0.4,21999739,21579729,21159719,20319699,19899689,19479679,18639659,17799639,17379629,16959619,16119599,15279579,2291,2,3
Africa,CAR,CAR,CAF,low,9807930,9527949,9324998,9065439,8853746,7087,47114,33224,61005,33224,0.4,8521506,8355386,8189266,7857026,7690906,7524786,7192546,6860306,6694186,6528066,6195826,5863586,2286,2,1
Africa,CAR,CAR,CAF,mean,9807930,9527949,9324998,9065439,8853746,7087,47114,33224,61005,47114,0.5,8382606,8147036,7911466,7440326,7204756,6969186,6498046,6026906,5791336,5555766,5084626,4613486,2207,2,2
Africa,CAR,CAR,CAF,high,9807930,9527949,9324998,9065439,8853746,7087,47114,33224,61005,61005,0.7,8243696,7938671,7633646,7023596,6718571,6413546,5803496,5193446,4888421,4583396,3973346,3363296,2165,2,3
Africa,Comoros,Comoros,COM,low,86626,86570,86551,86455,82543,65,263,136,390,136,0.2,81183,80503,79823,78463,77783,77103,75743,74383,73703,73023,71663,70303,2626,2,1
Africa,Comoros,Comoros,COM,mean,86626,86570,86551,86455,82543,65,263,136,390,263,0.3,79913,78598,77283,74653,73338,72023,69393,66763,65448,64133,61503,58873,2333,2,2
Africa,Comoros,Comoros,COM,high,86626,86570,86551,86455,82543,65,263,136,390,390,0.5,78643,76693,74743,70843,68893,66943,63043,59143,57193,55243,51343,47443,2231,2,3
Africa,Congo,Congo,COG,low,24090355,24040864,23945320,23644110,23428171,6995,51689,37980,65399,37980,0.2,23048371,22858471,22668571,22288771,22098871,21908971,21529171,21149371,20959471,20769571,20389771,20009971,2636,2,1
Africa,Congo,Congo,COG,mean,24090355,24040864,23945320,23644110,23428171,6995,51689,37980,65399,51689,0.2,22911281,22652836,22394391,21877501,21619056,21360611,20843721,20326831,20068386,19809941,19293051,18776161,2473,2,2
Africa,Congo,Congo,COG,high,24090355,24040864,23945320,23644110,23428171,6995,51689,37980,65399,65399,0.3,22774181,22447186,22120191,21466201,21139206,20812211,20158221,19504231,19177236,18850241,18196251,17542261,2378,2,3
Africa,DRC,DRC,COD,low,131297735,128587236,125604601,121264561,118282874,86690,732153,562240,902066,562240,0.5,112660474,109849274,107038074,101415674,98604474,95793274,90170874,84548474,81737274,78926074,73303674,67681274,2230,2,1
Africa,DRC,DRC,COD,mean,131297735,128587236,125604601,121264561,118282874,86690,732153,562240,902066,732153,0.6,110961344,107300579,103639814,96318284,92657519,88996754,81675224,74353694,70692929,67032164,59710634,52389104,2181,2,2
Africa,DRC,DRC,COD,high,131297735,128587236,125604601,121264561,118282874,86690,732153,562240,902066,902066,0.7,109262214,104751884,100241554,91220894,86710564,82200234,73179574,64158914,59648584,55138254,46117594,37096934,2151,2,3
Africa,Eq. Guinea,Eq. Guinea,GNQ,low,2646767,2645611,2641579,2624232,2612152,392,2941,2173,3710,2173,0.1,2590422,2579557,2568692,2546962,2536097,2525232,2503502,2481772,2470907,2460042,2438312,2416582,3222,2,1
Africa,Eq. Guinea,Eq. Guinea,GNQ,mean,2646767,2645611,2641579,2624232,2612152,392,2941,2173,3710,2941,0.1,2582742,2568037,2553332,2523922,2509217,2494512,2465102,2435692,2420987,2406282,2376872,2347462,2908,2,2
Africa,Eq. Guinea,Eq. Guinea,GNQ,high,2646767,2645611,2641579,2624232,2612152,392,2941,2173,3710,3710,0.1,2575052,2556502,2537952,2500852,2482302,2463752,2426652,2389552,2371002,2352452,2315352,2278252,2724,2,3
Africa,Ethiopia,Ethiopia,ETH,low,3799018,3245460,2824446,2395252,2214219,14529,61036,32558,89514,32558,1.2,1888639,1725849,1563059,1237479,1074689,911899,586319,260739,97949,0,0,0,2088,2,1
Africa,Ethiopia,Ethiopia,ETH,mean,3799018,3245460,2824446,2395252,2214219,14529,61036,32558,89514,61036,2.4,1603859,1298679,993499,383139,77959,0,0,0,0,0,0,0,2056,2,2
Africa,Ethiopia,Ethiopia,ETH,high,3799018,3245460,2824446,2395252,2214219,14529,61036,32558,89514,89514,3.7,1319079,871509,423939,0,0,0,0,0,0,0,0,0,2044,2,3
Africa,Gabon,Gabon,GAB,low,24129292,24118619,24101266,24043292,23985301,1902,11595,7866,15324,7866,0,23906641,23867311,23827981,23749321,23709991,23670661,23592001,23513341,23474011,23434681,23356021,23277361,5069,2,1
Africa,Gabon,Gabon,GAB,mean,24129292,24118619,24101266,24043292,23985301,1902,11595,7866,15324,11595,0,23869351,23811376,23753401,23637451,23579476,23521501,23405551,23289601,23231626,23173651,23057701,22941751,4088,2,2
Africa,Gabon,Gabon,GAB,high,24129292,24118619,24101266,24043292,23985301,1902,11595,7866,15324,15324,0.1,23832061,23755441,23678821,23525581,23448961,23372341,23219101,23065861,22989241,22912621,22759381,22606141,3585,2,3
Africa,Gambia,Gambia,GMB,low,49362,44738,42221,40299,30941,239,566,98,1035,98,0.2,29961,29471,28981,28001,27511,27021,26041,25061,24571,24081,23101,22121,2335,2,1
Africa,Gambia,Gambia,GMB,mean,49362,44738,42221,40299,30941,239,566,98,1035,566,1.4,25281,22451,19621,13961,11131,8301,2641,0,0,0,0,0,2074,2,2
Africa,Gambia,Gambia,GMB,high,49362,44738,42221,40299,30941,239,566,98,1035,1035,2.8,20591,15416,10241,0,0,0,0,0,0,0,0,0,2049,2,3
Africa,Ghana,Ghana,GHA,low,4931885,4747254,4443182,4067673,3345428,24328,109799,62116,157481,62116,1.5,2724268,2413688,2103108,1481948,1171368,860788,239628,0,0,0,0,0,2073,2,1
Africa,Ghana,Ghana,GHA,mean,4931885,4747254,4443182,4067673,3345428,24328,109799,62116,157481,109799,2.8,2247438,1698443,1149448,51458,0,0,0,0,0,0,0,0,2050,2,2
Africa,Ghana,Ghana,GHA,high,4931885,4747254,4443182,4067673,3345428,24328,109799,62116,157481,157481,4.3,1770618,983213,195808,0,0,0,0,0,0,0,0,0,2041,2,3
Africa,Guinea,Guinea,GIN,low,1895309,1500154,1213061,984272,836664,4691,37643,28448,46838,28448,2.6,552184,409944,267704,0,0,0,0,0,0,0,0,0,2049,2,1
Africa,Guinea,Guinea,GIN,mean,1895309,1500154,1213061,984272,836664,4691,37643,28448,46838,37643,3.6,460234,272019,83804,0,0,0,0,0,0,0,0,0,2042,2,2
Africa,Guinea,Guinea,GIN,high,1895309,1500154,1213061,984272,836664,4691,37643,28448,46838,46838,4.8,368284,134094,0,0,0,0,0,0,0,0,0,0,2037,2,3
Africa,Guinea Bissau,Guinea Bissau,GNB,low,398114,345213,322875,300357,272074,668,5078,3768,6387,3768,1.2,234394,215554,196714,159034,140194,121354,83674,45994,27154,8314,0,0,2092,2,1
Africa,Guinea Bissau,Guinea Bissau,GNB,mean,398114,345213,322875,300357,272074,668,5078,3768,6387,5078,1.7,221294,195904,170514,119734,94344,68954,18174,0,0,0,0,0,2073,2,2
Africa,Guinea Bissau,Guinea Bissau,GNB,high,398114,345213,322875,300357,272074,668,5078,3768,6387,6387,2.2,208204,176269,144334,80464,48529,16594,0,0,0,0,0,0,2062,2,3
Africa,Ivory Coast,Ivory Coast,CIV,low,7733912,7111018,6299445,5060626,3953930,41298,234522,153578,315466,153578,2.8,2418150,1650260,882370,0,0,0,0,0,0,0,0,0,2045,2,1
Africa,Ivory Coast,Ivory Coast,CIV,mean,7733912,7111018,6299445,5060626,3953930,41298,234522,153578,315466,234522,4.6,1608710,436100,0,0,0,0,0,0,0,0,0,0,2036,2,2
Africa,Ivory Coast,Ivory Coast,CIV,high,7733912,7111018,6299445,5060626,3953930,41298,234522,153578,315466,315466,6.7,799270,0,0,0,0,0,0,0,0,0,0,0,2032,2,3
Africa,Kenya,Kenya,KEN,low,1199041,1013174,891040,828958,767787,3694,12324,5084,19564,5084,0.6,716947,691527,666107,615267,589847,564427,513587,462747,437327,411907,361067,310227,2171,2,1
Africa,Kenya,Kenya,KEN,mean,1199041,1013174,891040,828958,767787,3694,12324,5084,19564,12324,1.5,644547,582927,521307,398067,336447,274827,151587,28347,0,0,0,0,2082,2,2
Africa,Kenya,Kenya,KEN,high,1199041,1013174,891040,828958,767787,3694,12324,5084,19564,19564,2.4,572147,474327,376507,180867,83047,0,0,0,0,0,0,0,2059,2,3
Africa,Liberia,Liberia,LBR,low,8905885,8833776,8653013,8325270,7908391,9507,74471,55838,93105,55838,0.7,7350011,7070821,6791631,6233251,5954061,5674871,5116491,4558111,4278921,3999731,3441351,2882971,2161,2,1
Africa,Liberia,Liberia,LBR,mean,8905885,8833776,8653013,8325270,7908391,9507,74471,55838,93105,74471,0.9,7163681,6791326,6418971,5674261,5301906,4929551,4184841,3440131,3067776,2695421,1950711,1206001,2126,2,2
Africa,Liberia,Liberia,LBR,high,8905885,8833776,8653013,8325270,7908391,9507,74471,55838,93105,93105,1.1,6977341,6511816,6046291,5115241,4649716,4184191,3253141,2322091,1856566,1391041,459991,0,2104,2,3
Africa,Madagascar,Madagascar,MDG,low,7024045,6159673,5540745,4891325,4574078,15336,96645,66586,126704,66586,1.3,3908218,3575288,3242358,2576498,2243568,1910638,1244778,578918,245988,0,0,0,2088,2,1
Africa,Madagascar,Madagascar,MDG,mean,7024045,6159673,5540745,4891325,4574078,15336,96645,66586,126704,96645,1.9,3607628,3124403,2641178,1674728,1191503,708278,0,0,0,0,0,0,2067,2,2
Africa,Madagascar,Madagascar,MDG,high,7024045,6159673,5540745,4891325,4574078,15336,96645,66586,126704,126704,2.6,3307038,2673518,2039998,772958,139438,0,0,0,0,0,0,0,2056,2,3
Africa,Malawi,Malawi,MWI,low,113422,91629,70190,47599,38722,641,3147,1891,4404,1891,3.1,19812,10357,902,0,0,0,0,0,0,0,0,0,2040,2,1
Africa,Malawi,Malawi,MWI,mean,113422,91629,70190,47599,38722,641,3147,1891,4404,3147,5.8,7252,0,0,0,0,0,0,0,0,0,0,0,2032,2,2
Africa,Malawi,Malawi,MWI,high,113422,91629,70190,47599,38722,641,3147,1891,4404,4404,9.4,0,0,0,0,0,0,0,0,0,0,0,0,2028,2,3
Africa,Mauritius,Mauritius,MUS,low,49577,49047,46948,44455,43483,168,347,18,675,18,0,43303,43213,43123,42943,42853,42763,42583,42403,42313,42223,42043,41863,4435,2,1
Africa,Mauritius,Mauritius,MUS,mean,49577,49047,46948,44455,43483,168,347,18,675,347,0.8,40013,38278,36543,33073,31338,29603,26133,22663,20928,19193,15723,12253,2145,2,2
Africa,Mauritius,Mauritius,MUS,high,49577,49047,46948,44455,43483,168,347,18,675,675,1.5,36733,33358,29983,23233,19858,16483,9733,2983,0,0,0,0,2084,2,3
Africa,Mayotte,Mayotte,MYT,low,17931,17870,17212,13395,12108,185,511,148,874,148,0.9,10628,9888,9148,7668,6928,6188,4708,3228,2488,1748,268,0,2101,2,1
Africa,Mayotte,Mayotte,MYT,mean,17931,17870,17212,13395,12108,185,511,148,874,511,3.5,6998,4443,1888,0,0,0,0,0,0,0,0,0,2043,2,2
Africa,Mayotte,Mayotte,MYT,high,17931,17870,17212,13395,12108,185,511,148,874,874,6.8,3368,0,0,0,0,0,0,0,0,0,0,0,2033,2,3
Africa,Nigeria,Nigeria,NGA,low,7770147,7541976,7213732,6824527,6197360,17826,101634,66695,136573,66695,1,5530410,5196935,4863460,4196510,3863035,3529560,2862610,2195660,1862185,1528710,861760,194810,2112,2,1
