area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,C2110,id_cont,id_d
America,Brazil,Brazil – Maranhao,MA,high,45038869,69519351,103437281,140249024,241402021,302966621,302966621,302966621,302966621,302966621,302966621,302966621,302966621,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,247191901,224567195,341474533,460979061,706257391,831508052,958634402,1219094548,1486239461,1623462695,1763453532,2053649147,2360479183,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,247191901,281441618,429021328,580234569,892072794,1054037208,1219045932,1558214626,1918402881,2107937327,2303237519,2713595168,3157095377,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,247191901,339011033,517792416,701862383,1087678533,1288928126,1495517102,1931371335,2403178925,2654675131,2920913923,3508665834,3583445522,1,3
America,Brazil,Brazil – Mato Grosso do Sul,MS,low,4360067,3170187,4735030,6326178,9456310,10993738,12521011,16063384,20139361,22400435,24735053,29659744,35051095,1,1
America,Brazil,Brazil – Mato Grosso do Sul,MS,mean,4360067,4294449,6462284,8598939,13341053,16590150,20025621,28133444,35051095,35051095,35051095,35051095,35051095,1,2
America,Brazil,Brazil – Mato Grosso do Sul,MS,high,4360067,5446341,8169119,11206848,20078547,25833180,33044103,35051095,35051095,35051095,35051095,35051095,35051095,1,3
America,Brazil,Brazil – Minas Gerais,MG,low,24046346,13643325,20722000,28050680,43441302,51490318,59869768,78586448,92244003,92244003,92244003,92244003,92244003,1,1
America,Brazil,Brazil – Minas Gerais,MG,mean,24046346,27302344,42242916,58150282,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,24046346,41846264,65915177,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,92244003,1,3
America,Brazil,Brazil – Para,PA,low,416679186,440445124,659342971,878086025,1321925047,1545541896,1772718244,2241510831,2724379130,2967774662,3211689407,3703493368,4206320188,1,1
America,Brazil,Brazil – Para,PA,mean,416679186,535997042,802185588,1071058241,1616448647,1898293565,2187322352,2781676844,3387050840,3693764203,4003946012,4636768247,5292189764,1,2
America,Brazil,Brazil – Para,PA,high,416679186,631377332,946074557,1265987981,1924853860,2270735944,2626029187,3346753383,4083041908,4461184535,4849995528,5687180084,6684778736,1,3
America,Brazil,Brazil – Paraiba,PB,low,88276,37980,57965,77441,117526,137548,156908,465431,1101723,1271688,1271688,1271688,1271688,1,1
America,Brazil,Brazil – Paraiba,PB,mean,88276,98308,148678,197127,645856,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1,2
America,Brazil,Brazil – Paraiba,PB,high,88276,158749,236779,551997,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1271688,1,3
America,Brazil,Brazil – Parana,PR,low,13092874,9347954,13691260,17985809,26544259,30836962,35150099,44421699,54464901,59818778,65284698,76505736,89304042,1,1
America,Brazil,Brazil – Parana,PR,mean,13092874,14165694,20829368,27483073,41657095,49978402,58610458,77647362,100391750,112699294,125173187,151484440,182884257,1,2
America,Brazil,Brazil – Parana,PR,high,13092874,18925642,27956035,37552214,60842313,74409576,89715797,124002881,161624754,182884257,182884257,182884257,182884257,1,3
America,Brazil,Brazil – Pernambouco,PE,low,263878,147001,216191,284558,421447,489976,558759,967093,1707338,2234579,2831706,3970497,3970497,1,1
America,Brazil,Brazil – Pernambouco,PE,mean,263878,307367,455817,604306,1261840,2187345,3334174,3970497,3970497,3970497,3970497,3970497,3970497,1,2
America,Brazil,Brazil – Pernambouco,PE,high,263878,466917,695023,1167750,3970497,3970497,3970497,3970497,3970497,3970497,3970497,3970497,3970497,1,3
America,Brazil,Brazil – Piaui,PI,low,590362,216954,351607,486548,740775,866593,994427,1513726,1631338,1631338,1631338,1631338,1631338,1,1
America,Brazil,Brazil – Piaui,PI,mean,590362,571077,863306,1161609,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1,2
America,Brazil,Brazil – Piaui,PI,high,590362,904259,1376533,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1631338,1,3
America,Brazil,Brazil – Rio de Janeiro,RJ,low,3321014,911076,1404218,1889342,2844053,3327168,3806301,5503518,7982460,9566794,11264287,14957428,20617089,1,1
America,Brazil,Brazil – Rio de Janeiro,RJ,mean,3321014,3455237,5212870,6986886,11558002,15438622,19747752,30865633,47673264,57758569,65841942,73653434,73653434,1,2
America,Brazil,Brazil – Rio de Janeiro,RJ,high,3321014,6017763,9086747,12926941,26343179,35977670,48457487,73653434,73653434,73653434,73653434,73653434,73653434,1,3
America,Brazil,Brazil – Rio Grande do Norte,RN,low,63813,44830,67495,88587,130128,150596,170977,402055,493578,493578,493578,493578,493578,1,1
America,Brazil,Brazil – Rio Grande do Norte,RN,mean,63813,71782,105400,138348,455360,493578,493578,493578,493578,493578,493578,493578,493578,1,2
America,Brazil,Brazil – Rio Grande do Norte,RN,high,63813,96877,141988,347100,493578,493578,493578,493578,493578,493578,493578,493578,493578,1,3
America,Brazil,Brazil – Rio Grande do Sul,RS,low,5994603,4446428,6696506,8921139,13407587,15655065,17915693,22926955,28521837,31572354,34705451,41211928,48917218,1,1
America,Brazil,Brazil – Rio Grande do Sul,RS,mean,5994603,6649050,9965621,13312551,20586104,25125507,29906183,40809613,54548535,62168057,69959621,86708097,108763352,1,2
America,Brazil,Brazil – Rio Grande do Sul,RS,high,5994603,8827044,13266153,18081042,30710138,38465082,47546226,68644203,92548396,106212788,115420123,115420123,115420123,1,3
America,Brazil,Brazil – Rondonia,RO,low,152293002,159345875,234519718,309071888,460536143,538629351,617548496,779923682,949661852,1037459646,1126702147,1308473076,1494356475,1,1
America,Brazil,Brazil – Rondonia,RO,mean,152293002,188418328,277571810,366526535,552219858,649672861,749292392,957946685,1182271075,1298171118,1414563113,1648579833,1807845227,1,2
America,Brazil,Brazil – Rondonia,RO,high,152293002,217298807,320521970,425874111,652504372,772235712,898040142,1165637727,1444837308,1587641617,1733984612,1807845227,1807845227,1,3
America,Brazil,Brazil – Roraima,RR,low,68475799,26185358,39313819,52334125,77880079,90485392,103026594,129267147,156937730,171329986,185918867,215523079,247583546,1,1
America,Brazil,Brazil – Roraima,RR,mean,68475799,79942703,118691522,157888532,239050504,281671630,323816846,409874514,498377723,542900125,587759895,682608373,790441072,1,2
America,Brazil,Brazil – Roraima,RR,high,68475799,132381930,198681338,266675531,405753578,475836484,546792159,698660844,862872530,948900341,1040538531,1269083144,1636765046,1,3
America,Brazil,Brazil – Santa Catarina,SC,low,8094099,6497897,9706550,12919557,19361044,22581492,25802110,32810535,40445078,44527535,48683724,57181280,67006405,1,1
America,Brazil,Brazil – Santa Catarina,SC,mean,8094099,8579586,12830693,17093699,26335548,32031927,37932190,51093901,67251397,76028109,84882810,103633160,127764657,1,2
America,Brazil,Brazil – Santa Catarina,SC,high,8094099,10658980,15963159,21753096,36813760,45853921,56279512,79841183,105720254,120170390,137369492,161042814,161042814,1,3
America,Brazil,Brazil – Sao Paulo,SP,low,9435257,4904362,7513181,10198143,16000519,18968019,21927776,28579411,36143802,40326108,44638577,53589055,64467318,1,1
America,Brazil,Brazil – Sao Paulo,SP,mean,9435257,9406180,14722717,20225446,32195794,39767883,47755530,65964459,89045442,101853895,114887232,142571483,178011615,1,2
America,Brazil,Brazil – Sao Paulo,SP,high,9435257,14299734,22328490,31026021,53867090,67807422,84099252,121724815,163209392,185912999,212328661,257758791,257758791,1,3
America,Brazil,Brazil – Sergipe,SE,low,174436,72851,108163,140140,203813,234978,265947,562404,1177623,1660709,1703407,1703407,1703407,1,1
America,Brazil,Brazil – Sergipe,SE,mean,174436,197869,287588,376558,886247,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1,2
America,Brazil,Brazil – Sergipe,SE,high,174436,315303,463707,840569,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1703407,1,3
America,Brazil,Brazil – Tocantins,TO,low,24105627,13788749,20672361,27727143,42269094,49899918,58188655,63509688,63509688,63509688,63509688,63509688,63509688,1,1
