area_cont,area_ctry,area_name,area_code,proj,C2020,C2030,C2035,C2040,C2050,C2055,C2060,C2070,C2080,C2085,C2090,C2100,id_cont,id_d
America,Brazil,Brazil – Goias,GO,high,2710372,3377012,4753984,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132,5422132,1,3
America,Brazil,Brazil – Maranhao,MA,low,55106092,40221554,58052934,75907317,113703132,133582786,155060242,211031890,258249377,258249377,258249377,258249377,1,1
America,Brazil,Brazil – Maranhao,MA,mean,55106092,60301931,88542916,118680485,196917191,258249377,258249377,258249377,258249377,258249377,258249377,258249377,1,2
America,Brazil,Brazil – Maranhao,MA,high,55106092,80486255,121205200,167544311,258249377,258249377,258249377,258249377,258249377,258249377,258249377,258249377,1,3
America,Brazil,Brazil – Mato Grosso,MT,low,234932370,176053880,264815445,354671215,536993722,631333121,728380361,928100278,1141754833,1254107633,1370212969,1613392271,1,1
America,Brazil,Brazil – Mato Grosso,MT,mean,234932370,225299183,339534010,454899108,698037578,825161919,958326168,1241554821,1549490605,1713556225,1887156118,2257216604,1,2
America,Brazil,Brazil – Mato Grosso,MT,high,234932370,274597952,414461687,559575968,869951916,1036359921,1212115486,1596782435,2031481973,2266966443,2523347552,2820754889,1,3
America,Brazil,Brazil – Mato Grosso do Sul,MS,low,2561788,1899821,3027499,4114283,6239870,7368140,8848840,11858506,15935810,18705151,19431835,19431835,1,1
America,Brazil,Brazil – Mato Grosso do Sul,MS,mean,2561788,2581535,4015128,5393626,9348560,11712405,14945453,19431835,19431835,19431835,19431835,19431835,1,2
America,Brazil,Brazil – Mato Grosso do Sul,MS,high,2561788,3259032,4981586,7439900,14462534,19431835,19431835,19431835,19431835,19431835,19431835,19431835,1,3
America,Brazil,Brazil – Minas Gerais,MG,low,14453789,10218749,15206839,20603260,33581088,42484172,42484172,42484172,42484172,42484172,42484172,42484172,1,1
America,Brazil,Brazil – Minas Gerais,MG,mean,14453789,15341548,23621113,34018558,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172,1,2
America,Brazil,Brazil – Minas Gerais,MG,high,14453789,20885284,34257043,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172,42484172,1,3
America,Brazil,Brazil – Para,PA,low,440505985,430673917,635462546,838029577,1246984706,1458770661,1677383663,2127531689,2588729331,2824908807,3064886858,3556099379,1,1
America,Brazil,Brazil – Para,PA,mean,440505985,513551732,757783592,1001330930,1507444705,1774347849,2050416180,2611441456,3193698436,3494689064,3805928392,4451637052,1,2
America,Brazil,Brazil – Para,PA,high,440505985,595512116,879940698,1168323291,1784386266,2109386148,2438845845,3126148620,3861350334,4246804364,4655435159,5574743215,1,3
America,Brazil,Brazil – Paraiba,PB,low,65483,46072,57325,68893,94260,143292,442399,894267,894267,894267,894267,894267,1,1
America,Brazil,Brazil – Paraiba,PB,mean,65483,74994,103428,132199,894267,894267,894267,894267,894267,894267,894267,894267,1,2
