"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"Africa",1.713883409,2.382196156,3.573264062,4.657600261,6.646975128,7.629121829,8.554434102,10.353232783,12.089418111,12.940752743,13.794192468,15.488113405,17.173917809
"America",2.275398958,3.033619569,4.532758586,6.041438084,9.05075914,10.546380807,12.04231522,15.002605354,17.893905284,19.37028252,20.854753866,23.894567059,26.900381609
"Asia",1.863661122,2.384403076,3.66531761,4.997537683,7.698433155,9.120689314,10.547274221,13.485417749,16.28509016,17.555786761,18.78938635,21.062788972,22.916154543
"All continents",5.852943489,7.800218801,11.771340258,15.696576028,23.396167423,27.29619195,31.144023543,38.841255886,46.268413555,49.866822024,53.438332684,60.445469436,66.990453961
