"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa",1.054621801,1.482842514,2.388368309,3.241927132,4.883843134,5.71906675,6.5318105,8.229623868,10.016054466,10.923198484,11.84955632,13.717742399
"America",1.938537875,2.503650897,3.750411291,5.02259799,7.677186448,9.063605462,10.453617211,13.297117337,16.192851828,17.692634386,19.216442258,22.359862735
"Asia",1.672657639,2.058688187,3.25484201,4.549265163,7.290275543,8.801124814,10.364519318,13.697923228,16.952257696,18.436756431,19.880279715,22.557125467
"All continents",4.665817315,6.045181598,9.39362161,12.813790285,19.851305125,23.583797026,27.349947029,35.224664433,43.16116399,47.052589301,50.946278293,58.634730601
