"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1713883409,0.2382196156,0.2275404105,0.1989374867,0.1907458974,0.1798798681,0.1736185328,0.1704774357,0.1693920937,0.1685804404
"America",0.2275398958,0.3033619569,0.3007818515,0.3009321056,0.299155608,0.2960290134,0.289129993,0.2960848582,0.3039813193,0.300581455
"Asia",0.1863682494,0.2384403076,0.2613142229,0.2700907365,0.2848912762,0.2938361593,0.2799928715,0.2504592143,0.2273645905,0.1853499969
"All continents",0.5852964861,0.7800218801,0.7896364849,0.7699603288,0.7747927816,0.7697450408,0.7427413973,0.7170215082,0.7007380035,0.6545118923
