"mod","D","AUC","OA","FOM","TSS"
"glm",39.3321181429408,88.1835926393596,80.8009469571751,68.1043099739359,61.7816731856105
"icar",53.3385984489732,91.7465769647481,84.702953990518,73.579957265734,69.1792462098057
"rf",87.0945587403265,90.7526845706746,83.7589859200329,72.3168352410857,67.4686633520639
