"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110","C2120","C2130","C2140","C2150"
"Africa",1.054621801,0.7995147,1.227627547,1.686658258,2.723440981,3.191071147,3.679426163,4.722413393,5.797633982,6.34273695,6.882245968,7.922386972,9.05162485,10.208633796,11.390408572,12.620232117,13.812974146
"America",1.938537875,1.470321442,2.195404931,2.919184024,4.37858834,5.121879406,5.876702139,7.428849372,9.036110812,9.860867532,10.704713906,12.401567922,14.042484873,15.738967635,17.45921902,19.194681041,20.950833241
"Asia",1.672657639,1.024732147,1.584094512,2.175645887,3.453303502,4.138971544,4.805964348,6.228006502,7.758440247,8.564510932,9.397101414,11.070903932,12.683297065,14.345678751,15.980763184,17.619722748,19.057095658
"All continents",4.665817315,3.294568289,5.00712699,6.781488169,10.555332823,12.451922097,14.36209265,18.379269267,22.592185041,24.768115414,26.984061288,31.394858826,35.777406788,40.293280182,44.830390776,49.434635906,53.820903045
