"cont","year","fc","perc"
"Asia",2066,131517048,55.7315096998741
"Africa",2067,151708511,44.831945697025
"America",2067,472606582,31.2411051511264
"Asia",2067,129094213,56.5470332333426
"Africa",2068,150370476,45.3185155476729
"America",2068,469739882,31.6581774716792
"Asia",2068,126671378,57.3625567668111
"Africa",2069,149032441,45.8050853983207
"America",2069,466914288,32.0692693356762
"Asia",2069,124248543,58.1780803002796
"Africa",2070,147694406,46.2916552489686
"America",2070,464088694,32.4803611996731
"Asia",2070,121911148,58.964844825933
"Africa",2071,146356371,46.7782250996165
"America",2071,461277516,32.8893556992535
"Asia",2071,119656176,59.723865862575
"Africa",2072,145018336,47.2647949502644
"America",2072,458469286,33.2979212982858
"Asia",2072,117401204,60.482886899217
"Africa",2073,143680301,47.7513648009122
"America",2073,455661056,33.7064868973181
"Asia",2073,115146232,61.241907935859
"Africa",2074,142342266,48.2379346515601
"America",2074,452852826,34.1150524963505
"Asia",2074,112891260,62.000928972501
"Africa",2075,141004231,48.724504502208
"America",2075,450044596,34.5236180953828
"Asia",2075,110636288,62.759950009143
"Africa",2076,139734175,49.1863541236562
"America",2076,447240594,34.9315685683917
"Asia",2076,108381316,63.518971045785
"Africa",2077,138492731,49.6377991319465
"America",2077,444448582,35.3377746324554
"Asia",2077,106126344,64.277992082427
"Africa",2078,137251287,50.0892441402367
"America",2078,441666607,35.7425204269124
"Asia",2078,103934270,65.0158417230771
"Africa",2079,136009843,50.540689148527
"America",2079,438885031,36.1472081713969
"Asia",2079,101811400,65.7303973752343
"Africa",2080,134768399,50.9921341568173
"America",2080,436104701,36.5517146370203
"Asia",2080,99688530,66.4449530273915
"Africa",2081,133526955,51.4435791651076
"America",2081,433324371,36.9562211026437
"Asia",2081,97565660,67.1595086795487
"Africa",2082,132285511,51.8950241733979
"America",2082,430544041,37.3607275682671
"Asia",2082,95502860,67.8538448373303
"Africa",2083,131044067,52.3464691816882
"America",2083,427763711,37.7652340338905
"Asia",2083,93602374,68.4935462854386
"Africa",2084,129802623,52.7979141899785
"America",2084,424983381,38.1697404995139
"Asia",2084,91701888,69.1332477335468
"Africa",2085,128561571,53.2492166493956
"America",2085,422203051,38.5742469651373
"Asia",2085,89801402,69.7729491816551
"Africa",2086,127320802,53.7004161972539
"America",2086,419434676,38.9770141139182
"Asia",2086,87900916,70.4126506297634
"Africa",2087,126080033,54.1516157451121
"America",2087,416672680,39.3788531905839
"Asia",2087,86000430,71.0523520778716
"Africa",2088,124839264,54.6028152929704
"America",2088,413910684,39.7806922672496
"Asia",2088,84100079,71.6920080851319
"Africa",2089,123598495,55.0540148408286
"America",2089,411148688,40.1825313439153
"Asia",2089,82199797,72.3316408670698
"Africa",2090,122357726,55.5052143886869
"America",2090,408386692,40.584370420581
"Asia",2090,80299515,72.9712736490077
"Africa",2091,121116957,55.9564139365451
"America",2091,405625424,40.9861035815075
"Asia",2091,78399233,73.6109064309457
"Africa",2092,119876188,56.4076134844034
"America",2092,402867756,41.3873129832846
"Asia",2092,76498951,74.2505392128836
"Africa",2093,118635419,56.8588130322616
"America",2093,400110088,41.7885223850616
"Asia",2093,74598669,74.8901719948215
"Africa",2094,117405962,57.3058990269239
"America",2094,397352420,42.1897317868386
"Asia",2094,72698387,75.5298047767594
"Africa",2095,116179997,57.7517151729512
"America",2095,394594752,42.5909411886156
"Asia",2095,71036661,76.0891398776542
"Africa",2096,114954032,58.1975313189784
"America",2096,391837084,42.9921505903927
"Asia",2096,69408188,76.637282056184
"Africa",2097,113728067,58.6433474650056
"America",2097,389079416,43.3933599921697
"Asia",2097,67779715,77.1854242347137
"Africa",2098,112502102,59.0891636110328
"America",2098,386321748,43.7945693939467
"Asia",2098,66151242,77.7335664132434
"Africa",2099,111276137,59.53497975706
"America",2099,383564080,44.1957787957237
"Asia",2099,64522769,78.2817085917731
"Africa",2100,110050172,59.9807959030872
"America",2100,380806412,44.5969881975007
"Asia",2100,62898467,78.8284468163984
"Africa",2101,108824207,60.4266120491144
"America",2101,378048744,44.9981975992778
"Asia",2101,61314960,79.361453489949
"Africa",2102,107598242,60.8724281951416
"America",2102,375291076,45.3994070010548
"Asia",2102,59778568,79.8786013075399
"Africa",2103,106372277,61.3182443411688
"America",2103,372533408,45.8006164028318
"Asia",2103,58242176,80.3957491251307
"Africa",2104,105146312,61.764060487196
"America",2104,369775740,46.2018258046088
"Asia",2104,56705784,80.9128969427216
"Africa",2105,103925881,62.2078642213256
"America",2105,367018072,46.6030352063859
"Asia",2105,55169392,81.4300447603124
"Africa",2106,102793021,62.6198231917598
"America",2106,364260404,47.0042446081629
"Asia",2106,53633000,81.9471925779033
"Africa",2107,101660161,63.031782162194
"America",2107,361502736,47.4054540099399
"Asia",2107,52096608,82.4643403954941
"Africa",2108,100527301,63.4437411326283
"America",2108,358745068,47.8066634117169
"Asia",2108,50560216,82.981488213085
"Africa",2109,99394441,63.8557001030625
"America",2109,355987400,48.207872813494
"Asia",2109,49023824,83.4986360306758
"Africa",2110,98261581,64.2676590734967
"America",2110,353229732,48.609082215271
"Asia",2110,47487432,84.0157838482667
"Africa",2111,97128721,64.6796180439309
"America",2111,350472064,49.010291617048
"Asia",2111,45951040,84.5329316658575
