"area_cont","area_ctry","area_name","area_code","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","Zambia","Zambia","ZMB","rf",79,78,72,50,56,72,72,43,43,10000,10000
"Asia","Australia","Australia – Queensland","QLD","icar",41,89,81,50,67,81,81,61,61,9978,9972
"Asia","Australia","Australia – Queensland","QLD","glm",21,81,74,50,59,74,74,48,48,9978,9972
"Asia","Australia","Australia – Queensland","QLD","rf",82,83,75,50,60,75,75,50,50,9978,9972
"Asia","Bangladesh","Bangladesh","BGD","icar",36,87,78,50,64,78,78,56,56,9956,9972
"Asia","Bangladesh","Bangladesh","BGD","glm",22,82,74,50,59,74,74,48,48,9956,9972
"Asia","Bangladesh","Bangladesh","BGD","rf",80,82,74,50,59,74,74,49,49,9956,9972
"Asia","Bhutan","Bhutan","BTN","icar",28,84,77,50,62,77,77,54,54,10000,10000
"Asia","Bhutan","Bhutan","BTN","glm",25,84,77,50,62,77,77,53,53,10000,10000
"Asia","Bhutan","Bhutan","BTN","rf",81,84,76,50,62,76,77,53,53,10000,10000
"Asia","Brunei","Brunei","BRN","icar",47,92,85,50,74,85,85,70,70,9990,9996
"Asia","Brunei","Brunei","BRN","glm",35,89,82,50,69,82,82,64,64,9990,9996
"Asia","Brunei","Brunei","BRN","rf",91,95,89,50,81,89,89,79,79,9990,9996
"Asia","Cambodia","Cambodia","KHM","icar",55,93,85,50,74,85,86,71,71,9995,9999
"Asia","Cambodia","Cambodia","KHM","glm",37,88,80,50,67,80,80,60,60,9995,9999
"Asia","Cambodia","Cambodia","KHM","rf",86,92,84,50,72,83,84,67,67,9995,9999
"Asia","Fiji","Fiji","FJI","icar",48,91,84,50,72,84,84,68,68,9984,9954
"Asia","Fiji","Fiji","FJI","glm",37,88,81,50,68,81,81,62,62,9984,9954
"Asia","Fiji","Fiji","FJI","rf",87,91,84,50,72,84,84,68,68,9984,9954
"Asia","India","India – Andaman and N.","AN","icar",48,91,84,50,72,84,84,68,68,9954,9900
"Asia","India","India – Andaman and N.","AN","glm",40,89,82,50,70,82,82,64,64,9954,9900
"Asia","India","India – Andaman and N.","AN","rf",87,91,84,50,72,84,84,67,67,9954,9900
"Asia","India","India – North-East","NE","icar",33,85,77,50,62,76,77,53,53,9996,9999
"Asia","India","India – North-East","NE","glm",27,83,75,50,60,75,75,50,50,9996,9999
"Asia","India","India – North-East","NE","rf",82,84,77,50,62,77,77,53,53,9996,9999
"Asia","India","India – West. Ghats","WG","icar",34,85,77,50,62,77,77,53,53,9996,9993
"Asia","India","India – West. Ghats","WG","glm",26,82,74,50,59,74,74,48,48,9996,9993
"Asia","India","India – West. Ghats","WG","rf",81,83,74,50,59,74,74,49,49,9996,9993
"Asia","Indonesia","Indonesia","IDN","icar",52,91,83,50,71,83,83,66,66,49976,49975
"Asia","Indonesia","Indonesia","IDN","glm",33,85,77,50,63,77,77,55,55,49976,49975
"Asia","Indonesia","Indonesia","IDN","rf",85,88,80,50,67,80,80,61,61,49976,49975
"Asia","Laos","Laos","LAO","icar",30,83,75,50,60,75,75,50,50,10000,10000
"Asia","Laos","Laos","LAO","glm",22,81,73,50,58,73,73,47,47,10000,10000
"Asia","Laos","Laos","LAO","rf",80,82,75,50,59,75,75,49,49,10000,10000
"Asia","Malaysia","Malaysia","MYS","icar",47,90,83,50,71,83,83,66,66,22307,22310
"Asia","Malaysia","Malaysia","MYS","glm",32,86,78,50,65,78,78,57,57,22307,22310
"Asia","Malaysia","Malaysia","MYS","rf",83,86,79,50,65,79,79,58,58,22307,22310
"Asia","Myanmar","Myanmar","MMR","icar",31,84,76,50,61,76,76,51,51,15371,15376
"Asia","Myanmar","Myanmar","MMR","glm",22,81,74,50,58,74,74,47,47,15371,15376
"Asia","Myanmar","Myanmar","MMR","rf",81,83,76,50,61,76,76,52,52,15371,15376
"Asia","New Caledonia","New Caledonia","NCL","icar",45,90,82,50,69,82,82,64,64,9965,9903
"Asia","New Caledonia","New Caledonia","NCL","glm",35,86,78,50,64,78,78,56,56,9965,9903
"Asia","New Caledonia","New Caledonia","NCL","rf",85,87,79,50,65,79,79,58,58,9965,9903
"Asia","Papua New Guinea","Papua New Guinea","PNG","icar",46,91,83,50,71,83,83,66,66,39764,39670
"Asia","Papua New Guinea","Papua New Guinea","PNG","glm",30,87,80,50,67,80,80,60,60,39764,39670
"Asia","Papua New Guinea","Papua New Guinea","PNG","rf",88,93,86,50,75,86,86,72,72,39764,39670
"Asia","Philippines","Philippines","PHL","icar",40,88,80,50,67,80,80,60,60,13665,13662
"Asia","Philippines","Philippines","PHL","glm",29,85,76,50,61,76,76,52,52,13665,13662
"Asia","Philippines","Philippines","PHL","rf",82,85,77,50,62,77,77,54,54,13665,13662
"Asia","Singapore","Singapore","SGP","icar",30,85,77,50,62,77,77,54,54,9902,9947
"Asia","Singapore","Singapore","SGP","glm",29,84,76,50,61,76,76,51,51,9902,9947
"Asia","Singapore","Singapore","SGP","rf",79,85,77,50,62,77,77,54,54,9902,9947
"Asia","Solomon Isl.","Solomon Isl.","SLB","icar",41,89,81,50,68,81,81,62,62,9961,9773
"Asia","Solomon Isl.","Solomon Isl.","SLB","glm",28,85,76,50,61,76,77,53,53,9961,9773
"Asia","Solomon Isl.","Solomon Isl.","SLB","rf",87,92,85,50,73,84,85,69,69,9961,9773
"Asia","Sri Lanka","Sri Lanka","LKA","icar",27,83,75,50,59,75,75,49,49,9996,9995
"Asia","Sri Lanka","Sri Lanka","LKA","glm",22,81,73,50,57,73,73,46,46,9996,9995
"Asia","Sri Lanka","Sri Lanka","LKA","rf",80,82,74,50,59,74,74,49,49,9996,9995
"Asia","Thailand","Thailand","THA","icar",37,87,79,50,65,79,79,58,58,9991,9995
"Asia","Thailand","Thailand","THA","glm",30,85,78,50,63,77,78,55,55,9991,9995
"Asia","Thailand","Thailand","THA","rf",82,85,77,50,63,77,77,55,55,9991,9995
"Asia","Timor-Leste","Timor-Leste","TLS","icar",26,83,74,50,59,74,75,49,49,9993,9972
"Asia","Timor-Leste","Timor-Leste","TLS","glm",21,80,73,50,58,73,74,47,47,9993,9972
"Asia","Timor-Leste","Timor-Leste","TLS","rf",81,83,75,50,60,75,75,50,50,9993,9972
"Asia","Vanuatu","Vanuatu","VUT","icar",60,95,88,50,79,88,88,77,77,9974,9890
"Asia","Vanuatu","Vanuatu","VUT","glm",37,88,81,50,68,81,81,62,62,9974,9890
"Asia","Vanuatu","Vanuatu","VUT","rf",90,95,89,50,80,89,89,77,77,9974,9890
"Asia","Vietnam","Vietnam","VNM","icar",35,86,77,50,63,77,77,55,55,9996,9996
"Asia","Vietnam","Vietnam","VNM","glm",22,81,73,50,58,73,73,46,46,9996,9996
"Asia","Vietnam","Vietnam","VNM","rf",80,82,75,50,60,75,75,50,50,9996,9996
