"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100"
"Africa",0.1179827433,0.1064168502,0.130543942,0.120613223,0.1300424171,0.1309825526,0.1255069575,0.1363671513,0.1496277373
"America",0.2079284835,0.1689766378,0.1672429155,0.1716527451,0.1781849845,0.185719445,0.1939686911,0.1919579222,0.194819
"Asia",0.1991142434,0.1464845585,0.1724076519,0.1992449616,0.2187399563,0.2323888004,0.2501523304,0.2399889508,0.227184399
"All continents",0.5250254702,0.4218780465,0.4701945094,0.4915109297,0.5269673579,0.549090798,0.569627979,0.5683140243,0.5716311363
