"cont","year","fc","perc"
"America",2066,536768515,21.9062719675135
"Asia",2066,185837414,37.4473356559867
"Africa",2067,183212469,33.3756862278206
"America",2067,534935040,22.1730217749317
"Asia",2067,184545150,37.8823102636072
"Africa",2068,182163779,33.7570371914919
"America",2068,533101597,22.4397669267129
"Asia",2068,183252886,38.3172848712277
"Africa",2069,181115089,34.1383881551632
"America",2069,531268154,22.7065120784941
"Asia",2069,181960622,38.7522594788481
"Africa",2070,180066399,34.5197391188345
"America",2070,529434711,22.9732572302754
"Asia",2070,180668358,39.1872340864686
"Africa",2071,179017709,34.9010900825058
"America",2071,527601268,23.2400023820566
"Asia",2071,179376094,39.6222086940891
"Africa",2072,177969019,35.2824410461771
"America",2072,525767825,23.5067475338379
"Asia",2072,178083830,40.0571833017095
"Africa",2073,176920329,35.6637920098484
"America",2073,523934382,23.7734926856191
"Asia",2073,176791566,40.49215790933
"Africa",2074,175880475,36.041929805553
"America",2074,522100939,24.0402378374003
"Asia",2074,175499302,40.9271325169505
"Africa",2075,174893901,36.400692591155
"America",2075,520267496,24.3069829891816
"Asia",2075,174207038,41.3621071245709
"Africa",2076,173907327,36.7594553767571
"America",2076,518434053,24.5737281409628
"Asia",2076,172914774,41.7970817321914
"Africa",2077,172920753,37.1182181623592
"America",2077,516600963,24.8404219352497
"Asia",2077,171622510,42.2320563398119
"Africa",2078,171934179,37.4769809479613
"America",2078,514786657,25.1043828706851
"Asia",2078,170330246,42.6670309474323
"Africa",2079,170947605,37.8357437335634
"America",2079,512972353,25.3683435151433
"Asia",2079,169037982,43.1020055550528
"Africa",2080,169961031,38.1945065191654
"America",2080,511158049,25.6323041596015
"Asia",2080,167745718,43.5369801626733
"Africa",2081,168974457,38.5532693047675
"America",2081,509343745,25.8962648040596
"Asia",2081,166453454,43.9719547702937
"Africa",2082,167987883,38.9120320903696
"America",2082,507529441,26.1602254485178
"Asia",2082,165161190,44.4069293779142
"Africa",2083,167001309,39.2707948759717
"America",2083,505715137,26.424186092976
"Asia",2083,163868926,44.8419039855346
"Africa",2084,166014735,39.6295576615737
"America",2084,503900833,26.6881467374341
"Asia",2084,162576662,45.2768785931551
"Africa",2085,165028161,39.9883204471758
"America",2085,502086529,26.9521073818923
"Asia",2085,161284398,45.7118532007756
"Africa",2086,164041587,40.3470832327779
"America",2086,500272225,27.2160680263505
"Asia",2086,159992134,46.146827808396
"Africa",2087,163055013,40.70584601838
"America",2087,498457938,27.4800261975015
"Asia",2087,158699870,46.5818024160165
"Africa",2088,162068439,41.064608803982
"America",2088,496643662,27.7439827682774
"Asia",2088,157407606,47.016777023637
"Africa",2089,161134504,41.4042296759808
"America",2089,494851301,28.0047509552305
"Asia",2089,156115342,47.4517516312574
"Africa",2090,160247074,41.7269392333245
"America",2090,493070320,28.2638634813164
"Asia",2090,154823078,47.8867262388779
"Africa",2091,159359644,42.0496487906683
"America",2091,491289339,28.5229760074023
"Asia",2091,153530814,48.3217008464984
"Africa",2092,158472214,42.372358348012
"America",2092,489508358,28.7820885334882
"Asia",2092,152238550,48.7566754541188
"Africa",2093,157587774,42.6939806065531
"America",2093,487751603,29.037676451475
"Asia",2093,150946286,49.1916500617393
