"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100"
"Africa",0.1179827433,0.1715632048,0.1951959405,0.1840378177,0.1772703487,0.1990071424,0.1994443879,0.198456876,0.1909714482
"America",0.2079284835,0.2738963867,0.2804125661,0.3007259045,0.308958178,0.318206646,0.3362913843,0.3517559833,0.3651252053
"Asia",0.1991142434,0.2515412896,0.3172340721,0.3560108307,0.3937954812,0.4043520166,0.3577742439,0.3183750767,0.2270715111
"All continents",0.5250254702,0.6970008811,0.7928425787,0.8407745529,0.8800240079,0.921565805,0.8935100161,0.868587936,0.7831681646
