"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","El Salvador","El Salvador","SLV",897603,945183,1406524,1864977,2783583,3246353,3708013,4631555,5547963,6004669,6460730,7288167,7288167
"America","French Guiana","French Guiana","GUF",2412714,2805536,4077926,5254872,7589087,8797312,10013988,12450617,14887359,16117836,17349147,19823959,22330705
"America","Grenada","Grenada","GRD",202056,208754,319786,432946,669254,788715,905008,1141176,1381015,1381015,1686453,1686453,1686453
"America","Guadeloupe","Guadeloupe","GLP",204384,270948,393881,515180,738280,852391,973509,1230916,1505465,1651183,1802901,2121962,2458198
"America","Guatemala","Guatemala","GTM",37111255,37655897,57197802,76777229,115635196,134762732,153728255,191569724,204822634,204822634,204822634,204822634,204822634
"America","Guyana","Guyana","GUY",10937293,13868737,19933675,26142922,38350809,44504184,50739021,63382526,76082193,82463991,88907368,101876114,114946049
"America","Haiti","Haiti","HTI",3090694,3409275,5021120,6663620,10040551,10148299,10148299,10148299,10148299,10148299,10148299,10148299,10148299
"America","Honduras","Honduras","HND",38145309,39691307,59923220,80187595,120113634,139748172,159276177,198992890,242664866,245138297,245138297,245138297,245138297
"America","Jamaica","Jamaica","JAM",2164697,2382069,3617199,4864959,7388398,8665838,9954473,12563040,15211518,16550087,17899838,20631383,23408970
"America","Martinique","Martinique","MTQ",212729,281421,395533,511878,744066,862892,984187,1234647,1501909,1640594,1783905,2086415,2409151
"America","Mexico","Mexico","MEX",82522155,84746909,128332423,171931536,259340707,302732391,346178492,436123646,494892527,494892527,494892527,494892527,494892527
"America","Montserrat","Montserrat","MSR",4205,4780,6817,8856,13408,15661,17933,22472,27026,29406,31789,36728,41685
"America","Nicaragua","Nicaragua","NIC",71520939,76244697,113064472,149636051,224328226,264824306,308251684,308251684,308251684,308251684,308251684,308251684,308251684
"America","Panama","Panama","PAN",15625557,15851142,23856185,32055186,48829434,57379701,66006742,83492020,101342426,110390018,119524494,138030261,156827523
"America","Paraguay","Paraguay","PRY",28325267,28054960,42353394,56904317,86219042,89656808,89656808,89656808,89656808,89656808,89656808,89656808,89656808
"America","Peru","Peru","PER",119500690,130943597,194789145,258175631,383421302,445446256,506995097,629265584,751272335,812351609,873444448,995443929,1117350038
"America","Puerto Rico","Puerto Rico","PRI",2555517,2748181,4247994,5768116,8858970,10455069,12100837,15512314,19110632,20987731,22920682,26914786,29674976
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",29713,24838,39830,55764,88557,105214,122130,155810,189541,206967,224283,259056,294706
"America","Saint Lucia","Saint Lucia","LCA",180094,220627,308651,393042,569416,659771,754598,957380,1171486,1281581,1393828,1622937,1858102
"America","Saint Martin","Saint Martin","MAF",17765,20472,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097,27097
"America","Saint Vincent","Saint Vincent","VCT",79486,79621,122932,163915,242068,280175,317810,393564,472698,513129,554665,639591,727154
"America","Sint Maarten","Sint Maarten","SXM",7429,7752,9112,9112,9112,9112,9112,9112,9112,9112,9112,9112,9112
"America","Suriname","Suriname","SUR",10216936,12905854,18900742,24811019,36289345,41701196,47111081,58246755,69634607,75378368,81114799,92633549,104179869
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",1743960,1800206,2756453,3739269,5786232,6847705,7930973,10150928,12434156,13593795,14768083,17157815,19587256
"America","Venezuela","Venezuela","VEN",107182043,108878293,167224069,226864391,353058254,420939579,490915032,635545830,784564567,860069126,936318953,1091163478,1248389584
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",76990,81798,127013,170031,170031,170031,170031,170031,170031,170031,170031,170031,170031
"America","Virgin Isl. US","Virgin Isl. US","VIR",105327,117765,177249,236579,358379,421514,485874,599037,599037,599037,599037,599037,599037
"Africa","Angola","Angola","AGO",58916218,62607324,95920023,129560994,197688379,232304852,267213553,337432224,409139692,446351817,485472176,535760372,535760372
"Africa","Benin","Benin","BEN",566170,567414,869061,1183144,1301978,1301978,1301978,1301978,1301978,1301978,1301978,1301978,1301978
"Africa","Burundi","Burundi","BDI",548250,628794,976642,1328260,2056979,2434118,2825348,3665922,4228798,4989198,4989198,4989198,4989198
"Africa","Cameroon","Cameroon","CMR",69275946,66452266,102353642,139505350,217901969,258522569,299460924,381861925,465459716,508153902,551857956,642561197,736754317
