"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110"
"America","El Salvador","El Salvador","SLV",897603,618633,925199,1226783,1825982,2124082,2422863,3026207,3629373,3929883,4231642,4833103,5431066
"America","French Guiana","French Guiana","GUF",2412714,2293380,3339565,4342213,6205893,7148927,8110342,10065318,12026579,13001569,13982018,15954127,17932020
"America","Grenada","Grenada","GRD",202056,40539,62311,84895,131488,154882,178576,226164,273888,297889,322306,370783,419826
"America","Guadeloupe","Guadeloupe","GLP",204384,177808,261182,340679,496689,570409,641244,784012,934799,1014370,1096131,1263733,1439204
"America","Guatemala","Guatemala","GTM",37111255,29178002,44327858,59601595,90120459,105300005,120355392,150085107,179460488,194464319,204822634,204822634,204822634
"America","Guyana","Guyana","GUY",10937293,10019852,14224503,18371889,26872677,31056074,35239156,43674711,52240791,56574263,60924215,69647677,78367522
"America","Haiti","Haiti","HTI",3090694,2284194,3393946,4466983,6632277,7773496,8952721,10148299,10148299,10148299,10148299,10148299,10148299
"America","Honduras","Honduras","HND",38145309,28809284,43655848,58466138,88105988,102766962,117274089,146009906,174443766,188966614,204205319,236092476,245138297
"America","Jamaica","Jamaica","JAM",2164697,1272297,1935971,2606610,3956052,4637531,5321906,6695960,8083688,8782906,9485294,10898824,12325240
"America","Martinique","Martinique","MTQ",212729,178104,249263,315198,445841,512654,578880,712204,847117,917101,985978,1127174,1274353
"America","Mexico","Mexico","MEX",82522155,63915467,96915975,130027820,196340439,229586214,262721691,328638580,395378837,430216215,468127967,494892527,494892527
"America","Montserrat","Montserrat","MSR",4205,2193,3253,4270,6018,6817,7638,9474,11424,12441,13408,15351,17246
"America","Nicaragua","Nicaragua","NIC",71520939,41637974,62924484,83807888,124033945,144124199,164403281,205478275,248111884,271365730,295616085,308251684,308251684
"America","Panama","Panama","PAN",15625557,11530799,17214530,23019660,34919453,40968325,47076533,59462744,72006547,78341972,84727432,97637799,110720822
"America","Paraguay","Paraguay","PRY",28325267,15329305,23027190,30747329,46484941,54465097,62471430,78518637,89656808,89656808,89656808,89656808,89656808
"America","Peru","Peru","PER",119500690,111534433,165752065,219804693,326597018,379588206,432282964,536632942,640259801,691991963,743747902,847394994,950981447
"America","Puerto Rico","Puerto Rico","PRI",2555517,1091651,1690436,2305213,3563537,4205692,4852077,6142810,7442478,8103128,8771697,10122409,11508546
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",29713,7431,11859,16546,26578,31831,37182,48162,59579,65377,71090,82782,94465
"America","Saint Lucia","Saint Lucia","LCA",180094,114723,165093,211454,295980,336425,376085,458701,542754,585082,627722,716238,809356
"America","Saint Martin","Saint Martin","MAF",17765,3374,5103,6981,10352,12000,13663,17041,20472,22158,23807,27097,27097
"America","Saint Vincent","Saint Vincent","VCT",79486,38340,59614,81177,125255,146477,167027,207365,246290,265871,285327,323381,361938
"America","Sint Maarten","Sint Maarten","SXM",7429,1477,2214,2901,4491,5287,6108,7752,9112,9112,9112,9112,9112
"America","Suriname","Suriname","SUR",10216936,10222729,14959914,19608766,28774099,33258630,37590783,46011933,54621221,59016772,63451520,72367353,81320932
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",1743960,276202,421180,565762,855946,1001997,1149772,1447961,1750150,1902385,2056589,2365690,2678636
"America","Venezuela","Venezuela","VEN",107182043,71417990,109517015,148510089,228175090,269261729,311406218,400497684,493970955,541890532,590452084,689110790,789452358
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",76990,21376,33253,45636,70894,83640,96304,123096,151981,167228,170031,170031,170031
"America","Virgin Isl. US","Virgin Isl. US","VIR",105327,25969,39949,54204,82545,96306,110201,137664,165499,179430,193424,220850,248683
"Africa","Angola","Angola","AGO",58916218,38557844,58604847,79278930,121314022,142433689,163682278,206609277,250086195,271986936,293936449,337917995,382485257
"Africa","Benin","Benin","BEN",566170,323643,485837,649992,1003556,1183144,1301978,1301978,1301978,1301978,1301978,1301978,1301978
"Africa","Burundi","Burundi","BDI",548250,164040,253642,346417,542675,647566,752088,953778,1157879,1261509,1365492,1576209,1790518
"Africa","Cameroon","Cameroon","CMR",69275946,53365098,81787974,111305703,172816662,204891706,237601657,303916226,370717086,404335010,438157750,507001655,578405819
"Africa","CAR","CAR","CAF",46407934,34778814,52778069,70768562,106414089,124092543,141730992,177206203,213070437,231197206,249449412,286477103,324401657
"Africa","Comoros","Comoros","COM",353936,115489,175253,239400,370993,438333,505786,644494,785935,859133,933001,1084986,1240179
"Africa","Congo","Congo","COG",38261522,38873384,55425162,72487586,107101048,125318963,144000676,182532108,222730983,243402711,264382394,307106144,350954719
"Africa","DRC","DRC","COD",746801644,620888649,938886053,1262058715,1917776880,2253043159,2593169282,3288113704,4006446112,4375392295,4750316803,5516561140,6300024369
"Africa","Eq. Guinea","Eq. Guinea","GNQ",3087500,2380442,3617357,4873364,7383452,8639116,9899280,12435359,14988564,16271557,17558183,20153365,22765996
"Africa","Ethiopia","Ethiopia","ETH",63277027,39779094,59428906,79319071,119591685,140056260,160747997,203282476,248706079,272708660,287524229,287524229,287524229
"Africa","Gabon","Gabon","GAB",13310122,10169640,14957426,19756053,29476636,34344244,39215725,49060678,58997813,63996233,68998588,79039664,89155146
"Africa","Gambia","Gambia","GMB",298903,31919,47285,62050,90719,104819,118639,145923,172673,185949,199332,225930,252398
"Africa","Ghana","Ghana","GHA",77215451,47282067,69504990,91378732,136905135,160505018,185815285,253478918,280277626,280277626,280277626,280277626,280277626
"Africa","Guinea","Guinea","GIN",26068582,22285234,34024220,45620244,72868262,72868262,72868262,72868262,72868262,72868262,72868262,72868262,72868262
"Africa","Guinea Bissau","Guinea Bissau","GNB",3047184,2164586,3165701,4148620,6152485,7177512,8222696,10363116,12587649,13735812,14926424,15266496,15266496
"Africa","Ivory Coast","Ivory Coast","CIV",172302781,110038168,168043251,226185902,324049045,324049045,324049045,324049045,324049045,324049045,324049045,324049045,324049045
"Africa","Kenya","Kenya","KEN",14534548,5981940,9037179,12131114,18525965,21796728,25088793,31793545,38587811,42008348,45433424,52294019,59188412
"Africa","Liberia","Liberia","LBR",65502289,48532116,74199406,100326178,155046203,183472259,212572139,272689756,335606769,368057079,401115810,468890092,538399385
"Africa","Madagascar","Madagascar","MDG",131386981,95076548,142464241,190514355,287847210,337423912,387901503,491055691,596039196,649123203,687596560,687596560,687596560
"Africa","Malawi","Malawi","MWI",2532258,1524133,2290930,3104317,3188316,3188316,3188316,3188316,3188316,3188316,3188316,3188316,3188316
"Africa","Mauritius","Mauritius","MUS",303456,11447,17667,23993,36632,43246,49898,63117,76531,83515,90352,103565,116896
"Africa","Mayotte","Mayotte","MYT",563712,157107,242568,325485,488414,571137,654500,821130,992731,1077466,1165077,1356544,1388900
"Africa","Nigeria","Nigeria","NGA",65778225,45052235,67250147,89816883,135000408,157906331,181435140,232214077,287462622,316246770,344900900,401897611,467362577
"Africa","Reunion","Reunion","REU",580071,331512,450021,604714,941889,1081991,1248053,1598584,1978180,2179385,2383297,2807901,3254533
"Africa","Rwanda","Rwanda","RWA",1925766,814319,1275630,1767018,2926703,3614121,4278988,5624970,6990872,7684300,8381969,9731798,10642327
"Africa","Senegal","Senegal","SEN",497971,12250,18665,24671,35208,40902,46645,57515,67759,72919,78041,88737,99929
"Africa","Sierra Leone","Sierra Leone","SLE",61475070,47434746,70949112,94201406,118963373,118963373,118963373,118963373,118963373,118963373,118963373,118963373,118963373
"Africa","South Sudan","South Sudan","SSD",2570300,1271387,1930018,2768386,4918266,6128233,7414978,8073852,8073852,8073852,8073852,8073852,8073852
"Africa","Tanzania","Tanzania","TZA",8702347,5322862,8199633,11131688,17183767,20262815,23349852,29564785,35897743,39130422,42407099,49113638,55993973
"Africa","Togo","Togo","TGO",2405085,1364910,2023844,2695532,4113537,4814038,4814038,4814038,4814038,4814038,4814038,4814038,4814038
"Africa","Uganda","Uganda","UGA",32249477,19795414,31224248,43793510,70703019,83835921,94260912,94260912,94260912,94260912,94260912,94260912,94260912
"Africa","Zambia","Zambia","ZMB",3136683,1843113,2777790,3705706,5568266,6499572,7442484,7783530,7783530,7783530,7783530,7783530,7783530
"Asia","Australia","Australia – Queensland","QLD",12061,0,0,0,28,1067,2787,7602,11912,13739,15922,21356,36024
"Asia","Bangladesh","Bangladesh","BGD",2800901,2392494,3430164,4331155,6084504,6889916,7656647,9124026,10523733,11214801,11901878,13256760,14603758
"Asia","Bhutan","Bhutan","BTN",8050184,5026146,7479064,9935973,14862733,17323412,19786439,24699277,29588746,32028635,34471730,39366881,44269870
"Asia","Brunei","Brunei","BRN",599730,520011,769229,1023559,1545379,1810937,2076748,2599738,3106442,3356594,3602522,4092620,4585029
"Asia","Cambodia","Cambodia","KHM",116798087,82467307,124723187,167278044,253892404,295790505,295790505,295790505,295790505,295790505,295790505,295790505,295790505
"Asia","Fiji","Fiji","FJI",3075561,1439143,2254113,3062764,4687864,5507876,6322403,7964666,9603775,10420412,11235651,12769198,14259358
"Asia","India","India – Andaman and N.","AN",1730298,323883,479096,646118,984504,1157596,1333355,1694555,2061607,2246674,2431441,2800501,3169740
"Asia","India","India – North-East","NE",37183122,23671071,36041382,48681317,74563608,87731234,101058503,128034483,155362414,169132030,182965329,210752549,238714193
"Asia","India","India – West. Ghats","WG",36440394,20817413,33577322,47479608,77060325,92329890,107907674,139767319,172611832,189446484,206660850,232285309,232285309
"Asia","Indonesia","Indonesia","IDN",865418777,541334080,821055932,1110022620,1718603783,2041703260,2378302277,3086907797,3835702685,4225473848,4623941534,5442996067,6288232834
"Asia","Laos","Laos","LAO",144033892,115726289,175250045,235074784,355402345,415910957,476629432,598733043,721950905,784043240,846553551,928798932,928798932
"Asia","Malaysia","Malaysia","MYS",203743567,135717464,210189303,288560479,456586135,545886248,637746448,828442383,1027885775,1130417157,1234390898,1445660121,1659709023
"Asia","Myanmar","Myanmar","MMR",173306464,110065483,168792864,228381590,349007515,409829560,470884353,593686529,717524612,779855553,842486935,968513891,1095583254
"Asia","New Caledonia","New Caledonia","NCL",0,0,0,0,0,0,0,0,0,0,0,0,0
"Asia","Papua New Guinea","Papua New Guinea","PNG",48241294,39323985,55629531,71580291,103433219,119329651,135194589,166807222,198429002,214264756,230087013,261921966,293923304
"Asia","Philippines","Philippines","PHL",67541878,36799596,56143428,75783134,116035052,136520054,157191840,198903566,241095515,262376694,283776449,326954891,370763676
"Asia","Singapore","Singapore","SGP",66133,39574,60916,82494,127184,150305,173614,221451,271030,296649,323053,376266,431316
"Asia","Solomon Isl.","Solomon Isl.","SLB",1518376,799872,1261665,1773995,2843709,3388468,3944740,5055372,6172156,6743052,7320145,8492119,9669458
"Asia","Sri Lanka","Sri Lanka","LKA",9350814,4745838,7233765,9818395,15303723,18167582,21091975,27058735,33206542,36328440,39479633,45845075,52310305
"Asia","Thailand","Thailand","THA",48419886,31027060,47784159,64640008,98532897,115509831,132475265,166444976,200466300,217490404,234544977,268667159,302842299
"Asia","Timor-Leste","Timor-Leste","TLS",1302590,446473,673691,908636,1386766,1627258,1867437,2348291,2828173,3066352,3306675,3790037,4271169
"Asia","Vanuatu","Vanuatu","VUT",9311,0,0,0,0,0,0,0,0,0,0,19,172
"Asia","Vietnam","Vietnam","VNM",94039174,66790383,100391164,135008130,205942100,242195675,278992615,353925311,430470737,469297416,508469728,587937476,669020975
