"area_ctry","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"India",-1.07406744373589,-0.484353901609056,-0.354442046582576,-0.225329308507137,-3.74153189851412,-2.738626834831,-0.018526669473159,-0.125778627358883,-0.0367801648229571,2.39345092449669
"Brazil",-2.63274341614106,-0.837245142578642,-0.102522140379697,-0.0282582762759156,-2.50829031302535,-3.22782229317165,-0.0730094359553907,-0.660556128556076,-0.322918385069922,10.0932702277855
"America",-2.34185160794148,-0.6359817175471,-0.297396809671618,-0.134069980756641,-2.48994947280376,-3.4680864915212,-0.0475089052464705,-0.615201197968118,-0.328190214151636,8.54850083471022
"Africa",-2.46297587755645,-0.259068027677895,-0.072974661870215,-0.0663489808316249,-4.00185965698268,-3.82286774843084,-0.02400662381505,-0.365429213302672,-0.2701445253121,5.81947037994163
"Asia",-1.16428306605463,-0.625407094332506,-0.384803667218591,-0.466516237620542,-1.41490897686627,-2.1490484572771,-0.0370822095182676,-0.316192564046762,-0.0843555425308247,6.67556596257437
"All continents",-2.09946189899097,-0.550544997870258,-0.267936785507783,-0.195115935822939,-2.57732683540673,-3.24483784418498,-0.0399497497246475,-0.49186335385069,-0.259689742563573,7.51943700910679
