"area_cont","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"India",11051990,10179174,9367899,8748316,8311328,121648,1.4,7094848,6486608,5878368,4661888,4053648,3445408,2742575,2068925,1732100,1395275,721625,93.4706328905473,2312
"DRC",131620875,129176099,126163711,121659649,117811537,860154,0.7,109209997,104909227,100608457,92006917,87706147,83405377,74803837,66202297,61901527,57600757,48999217,62.7724576363742,2156
"Indonesia",141262276,134714466,127698863,121333151,116317384,1215487,1,104162514,98085079,92007644,79852774,73775339,67697904,55543034,43388164,37310729,31233294,19078424,86.4943249250777,2115
"Brazil",375892972,360358893,349783946,342670022,334981897,1537320,0.4,319608697,311922097,304235497,288862296,281175694,273489094,258115895,242742695,235056095,227369494,211996294,43.6019532708901,2237
"America",690358173,666348577,648927571,634582007,621159873,2892786,0.5,592232063,577768338,563304880,534551817,520316601,506564010,479681879,454291171,441783226,429292241,404343500,41.429895985312,4762
"Africa",275744657,268037766,259666984,248824407,238791330,2176304,0.9,217028290,206478844,197636169,180847799,173295153,166262231,152673415,139097880,133059571,127234321,115590580,58.0805730716298,3864
"Asia",301411783,285737072,270678680,257266686,246894284,2532985,1,221564434,208899509,196234584,171416750,159302545,147191376,123496183,101932309,92222505,82978355,66033710,78.0918617902871,3662
"All continents",1267514613,1220123415,1179273235,1140673100,1106845487,7602075,0.7,1030824787,993146691,957175633,886816366,852914299,820017617,755851477,695321360,667065302,639504917,585967790,53.7703325870847,4762
