"area_cont","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"India",11050177,10179174,9367899,8748316,8311328,159010,1.8,6721228,5926178,5131128,3541028,3036425,2597225,1718825,840425,401225,346517,314067,97.157810232361,2196
"DRC",131616541,129175740,126163707,121659648,117811537,991138,0.8,107900157,102944467,97988777,88077397,83121707,78166017,68254637,58343257,53387567,48431877,38520497,70.7327842630358,2138
"Indonesia",141244075,134714299,127698859,121333147,116317384,1498693,1.2,101330454,93836989,86343524,71356594,63863129,56369664,41382734,26395804,18902339,11408874,0,100,2097
"Brazil",375892185,360358879,349783945,342670021,334981897,1929596,0.6,315685937,306037956,296389972,277094015,267446035,257798055,238502095,219206134,209558154,199910174,180614215,51.9505267181865,2193
"America",690336658,666335632,648915831,634571314,621159873,3628268,0.6,584877563,566737329,548687526,513687720,496543537,480147664,448741652,417692900,402263670,386883002,356247513,48.3951042043605,4384
"Africa",275709298,268031939,259665217,248823436,238791330,2674125,1.1,212085968,200567822,190070947,171760386,163589315,155446094,139829811,126028720,119200331,112954778,100558808,63.5272336734904,3406
"Asia",301390609,285736837,270678672,257266681,246894284,3148450,1.2,215409784,199667534,183985600,153946186,139223208,124565633,96940799,73395796,62574825,53104092,38430926,87.2487977885203,3004
"All continents",1267436565,1220104408,1179259720,1140661431,1106845487,9450843,0.8,1012373315,966972685,922744073,839394292,799356060,760159391,685512262,617117416,584038826,552941872,495237247,60.9260723040604,4384
