"area_cont","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","loss21","yrdis"
"India",11051990,10179174,9367899,8748316,8311328,84289,0.9,7468438,7046993,6625548,5782658,5361213,4939768,4096878,3297065,3062585,2828105,2359145,78.6541156841438,2869
"DRC",131620875,129176099,126163711,121659649,117811537,729156,0.6,110519977,106874197,103228417,95936857,92291077,88645297,81353737,74062177,70416397,66770617,59479057,54.8103163726878,2181
"Indonesia",141262276,134714466,127698863,121333151,116317384,932196,0.8,106995424,102334444,97673464,88351504,83690524,79029544,69707584,60385624,55724644,51063664,41741704,70.4509192532053,2144
"Brazil",375892972,360358893,349783946,342670022,334981897,1145085,0.3,323531047,317805622,312080197,300629347,294903922,289178492,277727643,266276795,260551370,254825945,243375094,35.2541515460949,2312
"America",690358173,666348577,648927571,634582007,621159873,2155647,0.3,599603403,588825168,578046933,556490463,545721390,534961925,513539174,492504612,482354397,472609616,453516031,34.30713957811,5286
"Africa",275744657,268037766,259666984,248824407,238791330,1678248,0.7,222008850,213617610,205541128,191938009,185293903,178682182,166505578,155491858,149987467,144500056,133613946,51.5443209476222,4796
"Asia",301411783,285737072,270678680,257266686,246894284,1917448,0.7,227719804,218132564,208545324,189370844,179783604,170510340,152112430,133800433,125479828,117222343,102120899,66.1191417324252,7294
"All continents",1267514613,1220123415,1179273235,1140673100,1106845487,5751343,0.5,1049332057,1020575342,992133385,937799316,910798897,884154447,832157182,781796903,757821692,734332015,689250876,45.6218595879809,7294
