"cont","year","fc","perc"
"Asia",2066,132965025,55.8828241393547
"Africa",2067,156753732,43.1452863080446
"America",2067,487438879,29.3911349844615
"Asia",2067,130598477,56.668033740892
"Africa",2068,155395343,43.6379751690492
"America",2068,484873163,29.762796545566
"Asia",2068,128231929,57.4532433424294
"Africa",2069,154036954,44.1306640300539
"America",2069,482307447,30.1344581066706
"Asia",2069,125865381,58.2384529439668
"Africa",2070,152678565,44.6233528910585
"America",2070,479741731,30.5061196677752
"Asia",2070,123498833,59.0236625455042
"Africa",2071,151320176,45.1160417520631
"America",2071,477177056,30.8776304328895
"Asia",2071,121218888,59.7801376750926
"Africa",2072,149961787,45.6087306130677
"America",2072,474613384,31.248995906574
"Asia",2072,119015877,60.5110864618877
"Africa",2073,148603398,46.1014194740723
"America",2073,472049712,31.6203613802586
"Asia",2073,116812866,61.2420352486829
"Africa",2074,147245009,46.5941083350769
"America",2074,469486040,31.9917268539432
"Asia",2074,114609855,61.972984035478
"Africa",2075,145886620,47.0867971960815
"America",2075,466922368,32.3630923276278
"Asia",2075,112406844,62.7039328222732
"Africa",2076,144528231,47.5794860570861
"America",2076,464369951,32.7328274373632
"Asia",2076,110210029,63.4328258051332
"Africa",2077,143169842,48.0721749180907
"America",2077,461867926,33.0952629202548
"Asia",2077,108141559,64.1191345149045
"Africa",2078,141811453,48.5648637790953
"America",2078,459365902,33.4576982582895
"Asia",2078,106073089,64.8054432246759
"Africa",2079,140453064,49.0575526400999
"America",2079,456863878,33.8201335963242
"Asia",2079,104004619,65.4917519344473
"Africa",2080,139104120,49.5468157914645
"America",2080,454362153,34.1825256221581
"Asia",2080,101936149,66.1780606442187
"Africa",2081,137835398,50.0069823542911
"America",2081,451861747,34.5447265817948
"Asia",2081,99867679,66.8643693539901
"Africa",2082,136569657,50.4660677058486
"America",2082,449361341,34.9069275414315
"Asia",2082,97799209,67.5506780637614
"Africa",2083,135395593,50.8919017304959
"America",2083,446860935,35.2691285010682
"Asia",2083,95924197,68.1727983103813
"Africa",2084,134230637,51.3144322756935
"America",2084,444360529,35.631329460705
"Asia",2084,94075431,68.7862102564715
"Africa",2085,133065681,51.7369628208912
"America",2085,441860123,35.9935304203417
"Asia",2085,92226665,69.3996222025617
"Africa",2086,131900725,52.1594933660888
"America",2086,439359848,36.3557124037298
"Asia",2086,90377899,70.0130341486519
"Africa",2087,130735769,52.5820239112864
"America",2087,436861014,36.717685648384
"Asia",2087,88529133,70.6264460947421
"Africa",2088,129570813,53.0045544564841
"America",2088,434365694,37.0791498660354
"Asia",2088,86680367,71.2398580408323
"Africa",2089,128405857,53.4270850016817
"America",2089,431870374,37.4406140836867
"Asia",2089,84831601,71.8532699869225
"Africa",2090,127240901,53.8496155468794
"America",2090,429375054,37.802078301338
"Asia",2090,82982835,72.4666819330127
"Africa",2091,126075945,54.272146092077
"America",2091,426879734,38.1635425189893
"Asia",2091,81134069,73.0800938791029
"Africa",2092,124910989,54.6946766372747
"America",2092,424384414,38.5250067366407
"Asia",2092,79285303,73.6935058251931
"Africa",2093,123746033,55.1172071824723
"America",2093,421889094,38.886470954292
"Asia",2093,77436537,74.3069177712833
"Africa",2094,122581262,55.5396706280105
"America",2094,419393774,39.2479351719433
"Asia",2094,75587771,74.9203297173735
"Africa",2095,121417415,55.9617989379524
"America",2095,416898454,39.6093993895946
"Asia",2095,73830371,75.5034268503038
"Africa",2096,120253568,56.3839272478943
"America",2096,414403134,39.970863607246
"Asia",2096,72272025,76.0204787933522
"Africa",2097,119089721,56.8060555578361
"America",2097,411907814,40.3323278248973
"Asia",2097,70713679,76.5375307364006
"Africa",2098,117925874,57.228183867778
"America",2098,409412494,40.6937920425486
"Asia",2098,69155333,77.054582679449
"Africa",2099,116762027,57.6503121777199
"America",2099,406918291,41.0550944550883
"Asia",2099,67597083,77.5716027701447
"Africa",2100,115598180,58.0724404876618
"America",2100,404438223,41.4143493159246
"Asia",2100,66038910,78.0885973125991
"Africa",2101,114445952,58.49035457629
"America",2101,401958155,41.773604176761
"Asia",2101,64480737,78.6055918550534
"Africa",2102,113295703,58.9075508799127
"America",2102,399478087,42.1328590375973
"Asia",2102,62922564,79.1225863975078
"Africa",2103,112145454,59.3247471835353
"America",2103,396998019,42.4921138984336
"Asia",2103,61364391,79.6395809399622
"Africa",2104,110995205,59.741943487158
"America",2104,394517951,42.8513687592699
"Asia",2104,59806218,80.1565754824166
"Africa",2105,109877072,60.147491289902
"America",2105,392037883,43.2106236201062
"Asia",2105,58270312,80.6661819380046
"Africa",2106,108819019,60.5312480248671
"America",2106,389557815,43.5698784809426
"Asia",2106,56777544,81.1614754061564
"Africa",2107,107760966,60.9150047598322
"America",2107,387077747,43.9291333417789
"Asia",2107,55284776,81.6567688743082
"Africa",2108,106702913,61.2987614947973
"America",2108,384597679,44.2883882026152
"Asia",2108,53792008,82.15206234246
"Africa",2109,105644860,61.6825182297624
"America",2109,382117611,44.6476430634515
"Asia",2109,52299240,82.6473558106119
"Africa",2110,104586807,62.0662749647275
"America",2110,379637543,45.0068979242878
"Asia",2110,50806472,83.1426492787637
"Africa",2111,103528754,62.4500316996926
"America",2111,377157475,45.3661527851242
"Asia",2111,49313704,83.6379427469155
"Africa",2112,102470701,62.8337884346577
"America",2112,374677407,45.7254076459605
"Asia",2112,47820936,84.1332362150673
"Africa",2113,101412648,63.2175451696228
"America",2113,372197339,46.0846625067968
"Asia",2113,46328168,84.6285296832192
"Africa",2114,100354595,63.6013019045879
"America",2114,369717271,46.4439173676331
"Asia",2114,44835400,85.123823151371
"Africa",2115,99296542,63.985058639553
"America",2115,367240928,46.8026326366693
"Asia",2115,43342632,85.6191166195228
"Africa",2116,98238489,64.3688153745181
"America",2116,364773591,47.1600433248324
"Asia",2116,42234446,85.9868075716984
"Africa",2117,97180436,64.7525721094832
"America",2117,362306254,47.5174540129955
"Asia",2117,42017856,86.0586711246866
"Africa",2118,96122383,65.1363288444483
"America",2118,359838917,47.8748647011586
"Asia",2118,41801266,86.1305346776747
"Africa",2119,95064330,65.5200855794134
"America",2119,357371580,48.2322753893217
"Asia",2119,41584676,86.2023982306629
"Africa",2120,94006297,65.9038350603613
"America",2120,354904243,48.5896860774848
"Asia",2120,41368086,86.274261783651
"Africa",2121,92948679,66.2874340204515
"America",2121,352436906,48.9470967656479
"Asia",2121,41151496,86.3461253366391
"Africa",2122,91891061,66.6710329805417
"America",2122,349969569,49.304507453811
"Asia",2122,40934906,86.4179888896273
"Africa",2123,90833443,67.0546319406319
"America",2123,347502232,49.6619181419741
"Asia",2123,40718316,86.4898524426154
"Africa",2124,89775825,67.4382309007221
"America",2124,345034895,50.0193288301373
"Asia",2124,40501726,86.5617159956036
"Africa",2125,88718207,67.8218298608123
"America",2125,342567558,50.3767395183004
"Asia",2125,40285136,86.6335795485917
"Africa",2126,87660589,68.2054288209025
"America",2126,340100221,50.7341502064635
"Asia",2126,40068546,86.7054431015798
"Africa",2127,86602971,68.5890277809927
"America",2127,337634001,51.091399089515
"Asia",2127,39851956,86.777306654568
"Africa",2128,85545353,68.9726267410829
"America",2128,335169539,51.4483933142082
"Asia",2128,39635366,86.8491702075561
"Africa",2129,84487735,69.3562257011731
"America",2129,332705077,51.8053875389013
"Asia",2129,39418776,86.9210337605443
"Africa",2130,83430168,69.7398061635194
"America",2130,330240615,52.1623817635945
"Asia",2130,39202186,86.9928973135324
"Africa",2131,82372928,70.1232680226838
"America",2131,327776153,52.5193759882877
"Asia",2131,38985596,87.0647608665206
"Africa",2132,81315688,70.5067298818482
"America",2132,325311691,52.8763702129809
"Asia",2132,38769006,87.1366244195087
"Africa",2133,80258448,70.8901917410127
"America",2133,322847229,53.2333644376741
"Asia",2133,38552416,87.2084879724968
"Africa",2134,79201208,71.2736536001771
"America",2134,320388290,53.5895586179345
"Asia",2134,38335826,87.280351525485
"Africa",2135,78143968,71.6571154593415
"America",2135,317942449,53.9438554630544
"Asia",2135,38119236,87.3522150784731
"Africa",2136,77086728,72.040577318506
"America",2136,315496608,54.2981523081743
"Asia",2136,37902646,87.4240786314613
"Africa",2137,76029488,72.4240391776704
"America",2137,313050767,54.6524491532941
"Asia",2137,37686056,87.4959421844494
"Africa",2138,74972248,72.8075010368348
"America",2138,310604926,55.006745998414
"Asia",2138,37469466,87.5678057374376
"Africa",2139,73915008,73.1909628959992
"America",2139,308159085,55.3610428435339
"Asia",2139,37252876,87.6396692904257
"Africa",2140,72857768,73.5744247551637
"America",2140,305713348,55.7153246235404
"Asia",2140,37036286,87.7115328434138
"Africa",2141,71800528,73.9578866143281
"America",2141,303270802,56.0691441653096
"Asia",2141,36819696,87.783396396402
"Africa",2142,70743288,74.3413484734925
"America",2142,300828256,56.4229637070787
"Asia",2142,36693398,87.8253014844268
"Africa",2143,69686048,74.724810332657
"America",2143,298385710,56.7767832488478
"Asia",2143,36581706,87.8623603696955
"Africa",2144,68628808,75.1082721918214
"America",2144,295943164,57.130602790617
"Asia",2144,36470014,87.8994192549642
"Africa",2145,67571568,75.4917340509858
"America",2145,293500618,57.4844223323861
"Asia",2145,36358322,87.936478140233
"Africa",2146,66514328,75.8751959101503
"America",2146,291058072,57.8382418741553
"Asia",2146,36258277,87.9696726051607
"Africa",2147,65457088,76.2586577693147
"America",2147,288615526,58.1920614159244
"Asia",2147,36160778,88.0020223191493
"Africa",2148,64399848,76.6421196284791
"America",2148,286172980,58.5458809576935
"Asia",2148,36063279,88.0343720331379
"Africa",2149,63342608,77.0255814876435
"America",2149,283730434,58.8997004994627
"Asia",2149,35965780,88.0667217471265
"Africa",2150,62285368,77.409043346808
"America",2150,281287888,59.2535200412318
"Asia",2150,35868281,88.0990714611151
"Africa",2151,61228128,77.7925052059724
"America",2151,278845342,59.607339583001
"Asia",2151,35770782,88.1314211751037
"Africa",2152,60170888,78.1759670651368
"America",2152,276402796,59.9611591247701
"Asia",2152,35676587,88.1626746372844
"Africa",2153,59113648,78.5594289243013
"America",2153,273960250,60.3149786665392
"Asia",2153,35585037,88.1930505007872
"Africa",2154,58056408,78.9428907834657
"America",2154,271517704,60.6687982083084
"Asia",2154,35493487,88.2234263642899
"Africa",2155,56999168,79.3263526426301
"America",2155,269075158,61.0226177500775
"Asia",2155,35401937,88.2538022277927
"Africa",2156,55941928,79.7098145017946
"America",2156,266632612,61.3764372918467
"Asia",2156,35310387,88.2841780912955
"Africa",2157,54911920,80.0833992910896
"America",2157,264190066,61.7302568336158
"Asia",2157,35218837,88.3145539547982
"Africa",2158,54714817,80.1548887190594
"America",2158,261747520,62.084076375385
"Asia",2158,35127287,88.344929818301
"Africa",2159,54517714,80.2263781470293
"America",2159,259304974,62.4378959171541
"Asia",2159,35035737,88.3753056818038
"Africa",2160,54320611,80.2978675749992
"America",2160,256862428,62.7917154589232
"Asia",2160,34944187,88.4056815453065
"Africa",2161,54123508,80.3693570029691
"America",2161,254444926,63.141907205513
"Asia",2161,34852637,88.4360574088093
"Africa",2162,53926405,80.440846430939
"America",2162,252205901,63.4662453344611
"Asia",2162,34761087,88.4664332723121
"Africa",2163,53729302,80.5123358589089
"America",2163,249966876,63.7905834634092
"Asia",2163,34669537,88.4968091358148
"Africa",2164,53532199,80.5838252868788
"America",2164,247727851,64.1149215923573
"Asia",2164,34577987,88.5271849993176
"Africa",2165,53335096,80.6553147148487
"America",2165,245488826,64.4392597213054
"Asia",2165,34486437,88.5575608628204
"Africa",2166,53137993,80.7268041428186
"America",2166,243249801,64.7635978502535
"Asia",2166,34394887,88.5879367263232
"Africa",2167,52940890,80.7982935707885
"America",2167,241010776,65.0879359792016
"Asia",2167,34303337,88.6183125898259
"Africa",2168,52743787,80.8697829987584
"America",2168,238771751,65.4122741081497
"Asia",2168,34211787,88.6486884533287
"Africa",2169,52546684,80.9412724267282
"America",2169,236532726,65.7366122370978
"Asia",2169,34120237,88.6790643168315
"Africa",2170,52349581,81.0127618546981
"America",2170,234293701,66.0609503660459
"Asia",2170,34028687,88.7094401803342
"Africa",2171,52152478,81.084251282668
"America",2171,232054676,66.385288494994
"Asia",2171,33937137,88.739816043837
"Africa",2172,51955375,81.1557407106379
"America",2172,229815651,66.7096266239421
"Asia",2172,33845587,88.7701919073398
"Africa",2173,51758272,81.2272301386078
"America",2173,227576626,67.0339647528902
"Asia",2173,33754037,88.8005677708425
"Africa",2174,51561169,81.2987195665777
"America",2174,225337601,67.3583028818383
"Asia",2174,33662487,88.8309436343453
"Africa",2175,51364066,81.3702089945476
"America",2175,223098922,67.6825908903131
"Asia",2175,33570937,88.8613194978481
"Africa",2176,51166963,81.4416984225175
"America",2176,220860325,68.0068670205255
"Asia",2176,33479387,88.8916953613508
"Africa",2177,50969860,81.5131878504874
"America",2177,218621728,68.3311431507379
"Asia",2177,33387837,88.9220712248536
"Africa",2178,50772757,81.5846772784572
"America",2178,216383131,68.6554192809503
"Asia",2178,33296287,88.9524470883564
"Africa",2179,50575654,81.6561667064271
"America",2179,214144534,68.9796954111627
"Asia",2179,33204737,88.9828229518591
"Africa",2180,50378551,81.727656134397
"America",2180,211905937,69.3039715413751
"Asia",2180,33113187,89.0131988153619
"Africa",2181,50181448,81.7991455623669
"America",2181,209667340,69.6282476715875
"Asia",2181,33021637,89.0435746788647
"Africa",2182,49984345,81.8706349903368
"America",2182,207428743,69.9525238017999
"Asia",2182,32930087,89.0739505423674
"Africa",2183,49787242,81.9421244183067
"America",2183,205190146,70.2767999320123
"Asia",2183,32838537,89.1043264058702
"Africa",2184,49590139,82.0136138462766
"America",2184,202951549,70.6010760622247
"Asia",2184,32746987,89.134702269373
"Africa",2185,49393036,82.0851032742465
"America",2185,200712952,70.9253521924371
"Asia",2185,32655437,89.1650781328757
"Africa",2186,49195933,82.1565927022164
"America",2186,198474355,71.2496283226495
"Asia",2186,32563887,89.1954539963785
"Africa",2187,48998830,82.2280821301863
"America",2187,196235758,71.5739044528619
"Asia",2187,32475722,89.2247067326507
"Africa",2188,48830161,82.2892585218508
"America",2188,193997161,71.8981805830743
"Asia",2188,32394941,89.2515094921222
"Africa",2189,48685727,82.3416448581288
"America",2189,191758564,72.2224567132867
"Asia",2189,32314160,89.2783122515937
"Africa",2190,48541293,82.3940311944068
"America",2190,189520213,72.5466972087117
"Asia",2190,32233379,89.3051150110653
"Africa",2191,48396859,82.4464175306848
"America",2191,187281876,72.8709356761408
"Asia",2191,32152598,89.3319177705368
"Africa",2192,48252425,82.4988038669628
"America",2192,185047736,73.1945661793322
"Asia",2192,32071817,89.3587205300083
"Africa",2193,48107991,82.5511902032408
"America",2193,182832669,73.5154338276499
"Asia",2193,31991036,89.3855232894798
"Africa",2194,47963557,82.6035765395188
"America",2194,180617602,73.8363014759677
"Asia",2194,31910255,89.4123260489513
"Africa",2195,47819123,82.6559628757968
"America",2195,178402535,74.1571691242854
"Asia",2195,31829474,89.4391288084228
"Africa",2196,47674771,82.7083194706041
"America",2196,176187468,74.4780367726032
"Asia",2196,31748693,89.4659315678943
"Africa",2197,47531040,82.7604508281763
"America",2197,173972401,74.798904420921
"Asia",2197,31667912,89.4927343273659
"Africa",2198,47387309,82.8125821857484
"America",2198,171757334,75.1197720692387
"Asia",2198,31587131,89.5195370868374
"Africa",2199,47243578,82.8647135433205
"America",2199,169542267,75.4406397175565
"Asia",2199,31506350,89.5463398463089
"Africa",2200,47099847,82.9168449008927
"America",2200,167327200,75.7615073658742
"Asia",2200,31425569,89.5731426057804
"Africa",2201,46956116,82.9689762584648
"America",2201,165112133,76.082375014192
"Asia",2201,31344788,89.5999453652519
"Africa",2202,46812385,83.0211076160369
"America",2202,162897066,76.4032426625097
"Asia",2202,31264007,89.6267481247234
"Africa",2203,46668654,83.0732389736091
"America",2203,160681999,76.7241103108275
"Asia",2203,31183226,89.6535508841949
"Africa",2204,46524923,83.1253703311812
"America",2204,158466932,77.0449779591453
"Asia",2204,31102445,89.6803536436665
"Africa",2205,46381192,83.1775016887534
"America",2205,156251865,77.365845607463
"Asia",2205,31021664,89.707156403138
"Africa",2206,46237461,83.2296330463255
"America",2206,154036798,77.6867132557808
"Asia",2206,30940883,89.7339591626095
"Africa",2207,46093730,83.2817644038976
"America",2207,151821731,78.0075809040985
"Asia",2207,30860102,89.760761922081
"Africa",2208,45949999,83.3338957614697
"America",2208,149606664,78.3284485524163
"Asia",2208,30779321,89.7875646815525
"Africa",2209,45806268,83.3860271190419
"America",2209,147391597,78.649316200734
"Asia",2209,30698540,89.814367441024
"Africa",2210,45662624,83.438126921639
"America",2210,145176530,78.9701838490518
"Asia",2210,30617759,89.8411702004955
"Africa",2211,45519599,83.4900022124027
"America",2211,142961463,79.2910514973696
"Asia",2211,30536978,89.867972959967
"Africa",2212,45376574,83.5418775031664
"America",2212,140746396,79.6119191456873
"Asia",2212,30456197,89.8947757194386
"Africa",2213,45233549,83.5937527939301
"America",2213,138531329,79.9327867940051
"Asia",2213,30375416,89.9215784789101
"Africa",2214,45090524,83.6456280846938
"America",2214,136316267,80.2536537180385
"Asia",2214,30294635,89.9483812383816
"Africa",2215,44947499,83.6975033754574
"America",2215,134101576,80.5744669001773
"Asia",2215,30213854,89.9751839978531
"Africa",2216,44804474,83.7493786662211
"America",2216,131886885,80.895280082316
"Asia",2216,30133073,90.0019867573246
"Africa",2217,44661449,83.8012539569848
"America",2217,129672194,81.2160932644547
"Asia",2217,30052292,90.0287895167961
"Africa",2218,44518424,83.8531292477485
"America",2218,127457503,81.5369064465935
"Asia",2218,29971511,90.0555922762676
"Africa",2219,44375399,83.9050045385122
"America",2219,125242812,81.8577196287322
"Asia",2219,29890730,90.0823950357392
"Africa",2220,44232374,83.9568798292758
"America",2220,123028121,82.1785328108709
"Asia",2220,29809949,90.1091977952107
"Africa",2221,44089349,84.0087551200395
"America",2221,120813430,82.4993459930097
"Asia",2221,29729168,90.1360005546822
"Africa",2222,43946324,84.0606304108032
"America",2222,118598739,82.8201591751484
"Asia",2222,29648387,90.1628033141537
"Africa",2223,43803299,84.1125057015669
"America",2223,116384048,83.1409723572872
"Asia",2223,29567606,90.1896060736252
"Africa",2224,43660274,84.1643809923305
"America",2224,114169357,83.4617855394259
"Asia",2224,29486825,90.2164088330967
"Africa",2225,43517249,84.2162562830942
"America",2225,111954666,83.7825987215646
"Asia",2225,29406044,90.2432115925682
"Africa",2226,43374224,84.2681315738579
"America",2226,109739975,84.1034119037034
"Asia",2226,29325263,90.2700143520398
"Africa",2227,43231199,84.3200068646216
"America",2227,107525284,84.4242250858421
"Asia",2227,29244482,90.2968171115113
"Africa",2228,43088174,84.3718821553853
"America",2228,105310593,84.7450382679808
"Asia",2228,29168060,90.3221735750897
"Africa",2229,42945149,84.423757446149
"America",2229,103095902,85.0658514501196
"Asia",2229,29091744,90.347494868362
"Africa",2230,42802124,84.4756327369126
"America",2230,100881221,85.3866631836897
"Asia",2230,29015428,90.3728161616343
"Africa",2231,42659099,84.5275080276763
"America",2231,98666571,85.7074704266972
"Asia",2231,28939112,90.3981374549066
"Africa",2232,42516074,84.57938331844
"America",2232,96451921,86.0282776697047
"Asia",2232,28862796,90.4234587481788
"Africa",2233,42373049,84.6312586092037
"America",2233,94237271,86.3490849127123
"Asia",2233,28786480,90.4487800414511
"Africa",2234,42230024,84.6831338999673
"America",2234,92022621,86.6698921557198
"Asia",2234,28710164,90.4741013347234
"Africa",2235,42086999,84.735009190731
"America",2235,89807971,86.9906993987273
"Asia",2235,28633848,90.4994226279957
"Africa",2236,41943974,84.7868844814947
"America",2236,87593321,87.3115066417348
"Asia",2236,28557532,90.524743921268
"Africa",2237,41800949,84.8387597722584
"America",2237,85378671,87.6323138847423
"Asia",2237,28481216,90.5500652145402
"Africa",2238,41657924,84.8906350630221
"America",2238,83561141,87.8955955718637
"Asia",2238,28404900,90.5753865078125
"Africa",2239,41514899,84.9425103537857
"America",2239,83179447,87.9508865658413
"Asia",2239,28328584,90.6007078010848
"Africa",2240,41371874,84.9943856445494
"America",2240,82797753,88.0061775598189
"Asia",2240,28252268,90.6260290943571
"Africa",2241,41228849,85.0462609353131
"America",2241,82416059,88.0614685537965
"Asia",2241,28175952,90.6513503876294
"Africa",2242,41085824,85.0981362260768
"America",2242,82034365,88.1167595477742
"Asia",2242,28099636,90.6766716809016
"Africa",2243,40942799,85.1500115168405
"America",2243,81652671,88.1720505417518
"Asia",2243,28023320,90.7019929741739
"Africa",2244,40799774,85.2018868076041
"America",2244,81270977,88.2273415357294
"Asia",2244,27947004,90.7273142674462
"Africa",2245,40656749,85.2537620983678
"America",2245,80889283,88.282632529707
"Asia",2245,27870688,90.7526355607185
"Africa",2246,40513724,85.3056373891315
"America",2246,80507589,88.3379235236846
"Asia",2246,27794372,90.7779568539908
"Africa",2247,40370699,85.3575126798952
"America",2247,80125895,88.3932145176622
"Asia",2247,27718056,90.803278147263
"Africa",2248,40227674,85.4093879706589
"America",2248,79744201,88.4485055116398
"Asia",2248,27641740,90.8285994405353
"Africa",2249,40084649,85.4612632614225
"America",2249,79362507,88.5037965056174
"Asia",2249,27565424,90.8539207338076
"Africa",2250,39941624,85.5131385521862
"America",2250,78980813,88.559087499595
"Asia",2250,27489108,90.8792420270799
"Africa",2251,39798599,85.5650138429499
"America",2251,78599119,88.6143784935726
"Asia",2251,27412792,90.9045633203522
"Africa",2252,39655574,85.6168891337136
"America",2252,78217425,88.6696694875502
"Asia",2252,27336476,90.9298846136244
"Africa",2253,39512549,85.6687644244773
"America",2253,77835731,88.7249604815278
"Asia",2253,27260160,90.9552059068967
"Africa",2254,39369524,85.7206397152409
"America",2254,77454037,88.7802514755055
"Asia",2254,27183844,90.980527200169
"Africa",2255,39226499,85.7725150060046
"America",2255,77072343,88.8355424694831
"Asia",2255,27107528,91.0058484934413
"Africa",2256,39083474,85.8243902967683
"America",2256,76690649,88.8908334634607
"Asia",2256,27031212,91.0311697867136
"Africa",2257,38940449,85.876265587532
"America",2257,76343179,88.9411668762924
"Asia",2257,26954896,91.0564910799858
"Africa",2258,38797424,85.9281408782957
"America",2258,76022306,88.9876475312426
"Asia",2258,26878580,91.0818123732581
"Africa",2259,38654399,85.9800161690593
"America",2259,75701433,89.0341281861929
"Asia",2259,26802264,91.1071336665304
"Africa",2260,38511374,86.031891459823
