"area_cont","area_ctry","area_name","area_code","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100","C2110","C2120","C2130","C2140","C2150"
"America","Dominican Rep.","Dominican Rep.","DOM",3244973,1665577,2566176,3506725,5543638,6606127,7689116,9946300,12275626,13481754,14705397,17239838,19922995,22816095,25998252,29568203,31637771
"America","Ecuador","Ecuador","ECU",34207231,13559885,22390796,31930965,52504229,63526822,74920399,98452733,122728503,135185576,147863453,173755071,200152586,226846601,253815727,281130303,308854110
"America","El Salvador","El Salvador","SLV",381637,232066,359070,488555,749825,882814,1016396,1287292,1555185,1687549,1819775,2081151,2334802,2578903,2815793,3058184,3104670
"America","French Guiana","French Guiana","GUF",2734470,2919897,4240492,5361488,7310382,8257093,9275216,11417570,13698816,14841024,15992289,18319243,20667352,23039232,25446444,27908950,30439365
"America","Grenada","Grenada","GRD",51558,7720,12624,18234,29894,35705,41611,53522,65756,71862,78076,90737,103841,117211,130980,145029,159544
"America","Guadeloupe","Guadeloupe","GLP",61815,46504,69407,92587,138757,161594,184720,227544,269818,291428,313489,358153,404028,450052,498524,549857,604051
"America","Guatemala","Guatemala","GTM",16649349,13841867,20999787,28423658,44261939,52650192,61362802,79625351,99169652,109697288,117270134,117270134,117270134,117270134,117270134,117270134,117270134
"America","Guyana","Guyana","GUY",12847812,14438268,19494095,24211638,34223297,39093778,43880621,53557294,63594476,68752439,73943048,84464294,95082517,105878078,116779843,127786105,138831966
"America","Haiti","Haiti","HTI",811394,599104,905444,1186850,1753321,2064805,2392845,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372,2749372
"America","Honduras","Honduras","HND",17862606,13374405,20940992,28550909,43586156,50894141,58062927,72020269,85914641,93433170,102108497,122428503,128519818,128519818,128519818,128519818,128519818
"America","Jamaica","Jamaica","JAM",799088,387619,595558,811041,1267265,1506304,1750722,2251267,2760985,3019057,3279679,3803584,4332562,4868626,5414785,5974591,6547970
"America","Martinique","Martinique","MTQ",76152,44114,62529,80834,119069,139997,162242,210645,261700,287588,313961,366428,419308,474339,530149,585881,642961
"America","Mexico","Mexico","MEX",39994737,31990306,47378852,63188597,96341262,113691347,131413577,167823181,206125417,226705515,249719000,266721634,266721634,266721634,266721634,266721634,266721634
"America","Montserrat","Montserrat","MSR",1110,272,513,740,1197,1464,1704,2186,2722,3002,3307,3866,4441,5021,5577,6140,6674
"America","Nicaragua","Nicaragua","NIC",33338632,20275455,31543553,42188653,62376726,72528496,82762541,103531614,127495877,143475011,162691668,173263658,173263658,173263658,173263658,173263658,173263658
"America","Panama","Panama","PAN",6524044,4704834,7132208,9564046,14484151,17045525,19684487,25252996,31150520,34223918,37382891,43936635,50786302,57935860,65376573,73149446,81235966
"America","Paraguay","Paraguay","PRY",18518936,10803463,15763096,20371200,29135593,33480385,37745015,45940450,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778,51447778
"America","Peru","Peru","PER",121861695,101571982,154339125,208266708,316270788,370632840,425408566,535112961,644688449,699422456,754104643,863373981,972163962,1080332740,1188384501,1296250729,1404188985
"America","Puerto Rico","Puerto Rico","PRI",1031894,269071,447302,651054,1110618,1354979,1607410,2130205,2670456,2950394,3235165,3819842,4428653,5061147,5717107,6399427,7111579
"America","Saint Kitts and N.","Saint Kitts and N.","KNA",6301,447,1113,1883,3839,4837,5897,8223,10672,11906,13192,15773,18437,21062,23824,26596,29422
"America","Saint Lucia","Saint Lucia","LCA",50618,26250,41523,55802,82216,95630,108846,135527,162128,175885,189536,217461,246703,276489,307083,338403,370487
"America","Saint Martin","Saint Martin","MAF",2931,319,613,966,1682,2036,2346,2930,3694,4022,4423,5125,5125,5125,5125,5125,5125
"America","Saint Vincent","Saint Vincent","VCT",12342,3266,6168,9519,17310,21096,24993,32782,40510,44484,48639,57344,66506,76112,85947,95938,106338
"America","Sint Maarten","Sint Maarten","SXM",728,205,336,424,509,555,600,707,800,800,800,800,800,800,800,800,800
"America","Suriname","Suriname","SUR",12300973,12397206,17791500,23048704,33482244,38558487,43474240,53120910,62902173,67905442,72996313,83343363,93820453,104315671,114788400,125224051,135717543
"America","Trinidad and Tobago","Trinidad and Tobago","TTO",569447,68962,106326,146006,231326,275946,321674,413587,508733,557002,604819,703070,804368,907457,1011133,1116655,1222732
"America","Venezuela","Venezuela","VEN",95678433,55526115,89541005,126303250,203365650,243063641,283682485,368611037,458646182,505247450,552584797,649164242,748591759,850238303,954180115,1060357185,1168510070
"America","Virgin Isl. UK","Virgin Isl. UK","VGB",16778,4738,7475,10459,17774,21790,25968,35015,45666,51776,53002,53002,53002,53002,53002,53002,53002
"America","Virgin Isl. US","Virgin Isl. US","VIR",31242,10947,17200,23226,34904,40005,45246,55018,64713,69573,74246,83760,93233,102708,112093,121763,131327
"Africa","Angola","Angola","AGO",34218117,21893770,33242481,45662011,71748321,85084213,98516840,125092602,151568781,164796727,178021298,204495881,231874515,262074477,299855692,366502531,366502531
