"area_cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100","T100_110"
"Africa",0.1054621801,0.1142753646,0.1363971027,0.1357281445,0.1338684683,0.1343064025,0.1386120869,0.1439078029,0.1507870435,0.150758895
"America",0.1938537875,0.2023367197,0.196614341,0.2025287694,0.2141890569,0.2210140992,0.2229880666,0.2251025705,0.2334003144,0.2394335989
"Asia",0.1672657639,0.1541423208,0.179072186,0.1975839402,0.2143230954,0.2350423055,0.2506824805,0.2428541466,0.2436980141,0.2232145357
"All continents",0.4665817315,0.4707544051,0.5120836297,0.5358408541,0.5623806206,0.5903628072,0.612282634,0.61186452,0.627885372,0.6134070296
