"cont","iso3","Mean","Sd","CI_low","CI_high"
"Africa","AGO",-0.7,0.472,-1.61,0.202
"Africa","BDI",-1.88,0.363,-2.55,-1.18
"Africa","BEN",NA,NA,NA,NA
"Africa","CAF",NA,NA,NA,NA
"Africa","CIV",-0.171,0.0828,-0.34,-0.0167
"Africa","CMR",-0.814,0.118,-1.03,-0.576
"Africa","COD",-0.293,0.0702,-0.425,-0.157
"Africa","COG",-0.448,0.106,-0.649,-0.215
"Africa","COM",NA,NA,NA,NA
"Africa","ETH",-0.209,0.0731,-0.348,-0.0689
"Africa","GAB",-0.27,0.103,-0.491,-0.0864
"Africa","GHA",-0.808,0.0782,-0.96,-0.655
"Africa","GIN",-1.22,0.0773,-1.37,-1.07
"Africa","GNB",-1.69,0.943,-3.63,-0.217
"Africa","GNQ",-0.238,0.0965,-0.432,-0.0517
"Africa","KEN",-0.472,0.0672,-0.605,-0.344
"Africa","LBR",-0.835,0.112,-1.06,-0.62
"Africa","MDG",-0.465,0.0831,-0.624,-0.296
"Africa","MUS",-0.439,0.0869,-0.609,-0.276
"Africa","MWI",NA,NA,NA,NA
"Africa","MYT",-0.455,0.133,-0.705,-0.193
"Africa","NGA",-0.15,0.0767,-0.288,0.0033
"Africa","REU",-0.537,0.136,-0.795,-0.263
"Africa","RWA",-0.567,0.312,-1.16,0.0935
"Africa","SLE",-0.0184,0.124,-0.259,0.217
"Africa","SSD",-0.375,0.116,-0.599,-0.151
"Africa","TGO",-1.63,0.241,-2.09,-1.17
"Africa","TZA",-0.737,0.0731,-0.88,-0.595
"Africa","UGA",-0.718,0.067,-0.847,-0.585
"Africa","ZMB",-0.279,0.214,-0.668,0.152
"America","ATG",-0.679,0.295,-1.28,-0.0465
"America","BHS",NA,NA,NA,NA
"America","BLZ",-1.05,0.121,-1.29,-0.797
"America","BOL",-0.423,0.0555,-0.522,-0.311
"America","BRB",-1.23,0.337,-1.89,-0.581
"America","COL",-0.33,0.052,-0.431,-0.227
"America","CRI",-0.378,0.0806,-0.545,-0.214
"America","CUB",-0.351,0.0829,-0.501,-0.192
"America","DMA",NA,NA,NA,NA
"America","DOM",-0.483,0.0755,-0.635,-0.328
"America","ECU",-0.953,0.0991,-1.15,-0.763
"America","GLP",-1.42,0.259,-1.93,-0.922
"America","GRD",NA,NA,NA,NA
"America","GTM",-0.259,0.0808,-0.414,-0.091
"America","GUF",-1.1,0.189,-1.46,-0.737
"America","GUY",-0.599,0.205,-0.966,-0.205
"America","HND",-0.13,0.0557,-0.234,-0.027
"America","HTI",NA,NA,NA,NA
"America","JAM",-0.237,0.102,-0.434,-0.0327
"America","KNA",NA,NA,NA,NA
"America","LCA",-0.158,0.116,-0.386,0.0821
"America","MAF",NA,NA,NA,NA
"America","MEX",-0.481,0.0565,-0.591,-0.375
"America","MSR",NA,NA,NA,NA
"America","MTQ",NA,NA,NA,NA
"America","NIC",-0.0815,0.107,-0.32,0.118
"America","PAN",-0.35,0.0818,-0.51,-0.191
"America","PER",-0.819,0.0604,-0.932,-0.699
"America","PRI",NA,NA,NA,NA
"America","PRY",-0.137,0.127,-0.395,0.0909
"America","SLV",-0.221,0.0813,-0.381,-0.051
"America","SUR",-0.47,0.164,-0.803,-0.155
"America","SXM",NA,NA,NA,NA
"America","TTO",-0.22,0.0813,-0.371,-0.0443
"America","VCT",-0.324,0.261,-0.886,0.187
"America","VEN",-0.0908,0.0521,-0.199,0.00167
"America","VGB",NA,NA,NA,NA
"America","VIR",NA,NA,NA,NA
"Asia","AUS-QLD",-0.421,0.163,-0.744,-0.125
"Asia","BGD",-0.128,0.139,-0.385,0.131
"Asia","BRN",-1.47,0.217,-1.89,-1.02
"Asia","BTN",-0.463,0.0931,-0.635,-0.28
"Asia","FJI",-0.435,0.163,-0.74,-0.105
"Asia","IDN",-0.957,0.0739,-1.1,-0.81
"Asia","IND-AND",-0.326,0.203,-0.709,0.0597
"Asia","IND-WEST",-0.463,0.0937,-0.655,-0.28
"Asia","IND-EAST",-0.174,0.0987,-0.364,0.0165
"Asia","KHM",-0.107,0.112,-0.333,0.109
"Asia","LAO",-0.757,0.0705,-0.897,-0.627
"Asia","LKA",-0.752,0.0743,-0.896,-0.6
"Asia","MMR",-0.682,0.0878,-0.851,-0.508
"Asia","MYS",-1.39,0.0842,-1.54,-1.22
"Asia","NCL",-0.0123,0.0973,-0.204,0.189
"Asia","PHL",-0.121,0.0668,-0.251,0.0175
"Asia","PNG",-0.334,0.11,-0.548,-0.116
"Asia","SGP",-1.49,0.566,-2.64,-0.354
"Asia","SLB",NA,NA,NA,NA
"Asia","THA",-0.818,0.0695,-0.96,-0.688
"Asia","TLS",-0.0644,0.0704,-0.208,0.0673
"Asia","VNM",-0.949,0.102,-1.15,-0.763
"Asia","VUT",-0.749,0.152,-1.05,-0.466
"Brazil","BRA-AC",-0.447,0.0965,-0.623,-0.255
"Brazil","BRA-AL",-0.373,0.1,-0.572,-0.178
"Brazil","BRA-AM",-0.593,0.0591,-0.713,-0.479
"Brazil","BRA-AP",-0.0499,0.129,-0.281,0.195
"Brazil","BRA-BA",-0.201,0.0862,-0.372,-0.0317
"Brazil","BRA-CE",-0.387,0.108,-0.593,-0.173
"Brazil","BRA-ES",-1.01,0.116,-1.24,-0.794
"Brazil","BRA-GO",NA,NA,NA,NA
"Brazil","BRA-MA",-0.341,0.0791,-0.502,-0.19
"Brazil","BRA-MG",-0.317,0.0914,-0.496,-0.13
"Brazil","BRA-MS",-0.916,0.156,-1.23,-0.619
"Brazil","BRA-MT",-0.743,0.067,-0.87,-0.61
"Brazil","BRA-PA",-0.929,0.0555,-1.03,-0.817
"Brazil","BRA-PB",-0.706,0.144,-0.998,-0.43
"Brazil","BRA-PE",-0.644,0.0855,-0.815,-0.477
"Brazil","BRA-PI",NA,NA,NA,NA
"Brazil","BRA-PR",-0.218,0.0907,-0.386,-0.0388
"Brazil","BRA-RJ",-0.283,0.0755,-0.432,-0.134
"Brazil","BRA-RN",-0.501,0.13,-0.773,-0.262
"Brazil","BRA-RO",-1.48,0.097,-1.67,-1.29
"Brazil","BRA-RR",-0.445,0.109,-0.654,-0.228
"Brazil","BRA-RS",-0.627,0.164,-0.946,-0.307
"Brazil","BRA-SC",-0.576,0.143,-0.872,-0.301
"Brazil","BRA-SE",-0.377,0.28,-0.896,0.139
"Brazil","BRA-SP",-0.302,0.0887,-0.469,-0.116
"Brazil","BRA-TO",-0.421,0.106,-0.621,-0.188
