"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Africa","AGO",1.2,-0.7,NA,-0.327,-0.996,-0.375,NA,-0.674,-0.352,6.01
"Africa","BDI",3.9,-1.88,-0.131,-0.238,-0.434,-0.604,-0.485,-0.459,-0.0907,27.9
"Africa","BEN",10.1,NA,NA,NA,-2.04,NA,NA,-0.595,NA,417
"Africa","CAF",0.298,NA,-0.109,NA,-1.22,-0.629,-0.15,-0.171,-0.955,11.2
"Africa","CIV",0.637,-0.171,NA,-0.15,-0.372,NA,NA,-0.218,-0.0467,6.83
"Africa","CMR",0.662,-0.814,NA,-0.231,-0.782,-0.525,-0.0581,-0.875,-0.338,5.38
"Africa","COD",-1.08,-0.293,NA,-0.0876,-2.28,-2,NA,-0.572,-0.27,4.51
"Africa","COG",-0.557,-0.448,NA,-0.066,-1.44,-0.866,-0.11,-1.13,-0.266,10.3
"Africa","COM",-0.462,NA,NA,-0.0406,-0.431,-1.08,NA,-0.0584,NA,8.6
"Africa","ETH",0.898,-0.209,NA,-0.402,-0.728,-0.453,-0.0607,NA,NA,4.82
"Africa","GAB",-0.492,-0.27,-0.19,-0.104,-0.532,-0.548,-0.024,-0.813,-0.477,8.4
"Africa","GHA",1.23,-0.808,-0.353,-0.152,-0.528,-0.206,-0.00696,-0.279,-0.478,8.79
"Africa","GIN",1.16,-1.22,NA,-0.262,-0.806,-0.33,-0.147,-0.112,NA,5.27
"Africa","GNB",3.05,-1.69,NA,-0.0511,-1.19,-0.173,NA,-0.283,-0.387,52.2
"Africa","GNQ",-0.715,-0.238,-0.0465,-0.285,-0.35,-0.583,-0.0136,-0.699,-0.061,3.06
"Africa","KEN",-1.05,-0.472,-0.31,-0.278,-0.615,-0.992,NA,-0.626,-0.308,9.37
"Africa","LBR",-0.263,-0.835,-0.608,-0.206,-1,-0.471,NA,-0.343,-0.312,2.96
"Africa","MDG",-0.00579,-0.465,-0.64,-0.0466,-0.724,-0.555,NA,NA,-0.0509,3.48
"Africa","MUS",-0.642,-0.439,-0.273,-0.424,-0.282,-0.29,-0.0745,-0.0574,-0.166,2.81
"Africa","MWI",-1.02,NA,-0.443,-0.485,-0.192,NA,-0.303,-0.61,NA,18.4
"Africa","MYT",0.0537,-0.455,-0.0841,-0.143,-0.269,-0.315,NA,NA,-0.102,0.788
"Africa","NGA",2.62,-0.15,NA,-0.334,-0.603,-0.134,NA,-0.902,-0.141,11.8
"Africa","REU",0.347,-0.537,-0.225,NA,-0.647,-0.99,-0.128,NA,NA,3.94
"Africa","RWA",2.56,-0.567,NA,-0.0484,-0.378,-0.592,-0.179,-0.806,-0.471,15
"Africa","SLE",0.0794,-0.0184,-0.371,-0.0489,-1.06,-0.339,NA,-0.178,NA,2.48
"Africa","SSD",8.06,-0.375,-0.223,-0.0686,-0.65,NA,-0.202,-0.799,-0.669,39.7
"Africa","TGO",-2.12,-1.63,NA,-1.19,-0.118,-0.238,NA,-0.0703,-0.0454,7.41
"Africa","TZA",0.417,-0.737,-0.753,-0.288,-0.358,-0.179,-0.0894,-0.57,-0.238,7.62
"Africa","UGA",0.0145,-0.718,NA,NA,-0.835,-0.624,-0.0257,-0.142,-0.137,6.21
"Africa","ZMB",2.6,-0.279,-0.134,-0.315,-1.26,NA,-0.228,-0.613,-0.744,36.1
"America","ATG",0.52,-0.679,-0.192,-0.0294,-0.905,NA,-5,NA,-0.0239,10
"America","BHS",-0.794,NA,-0.101,-0.0637,-0.328,-0.155,-0.543,NA,-0.222,12.4
"America","BLZ",-0.72,-1.05,-0.133,-0.201,-1.33,-0.0286,NA,-0.35,-0.374,8.15
"America","BOL",-0.762,-0.423,-0.541,-0.396,-0.654,-0.801,NA,-0.417,-0.302,8.67
"America","BRB",-0.948,-1.23,NA,-0.189,-0.181,NA,-0.403,-0.0303,NA,3.75
"America","COL",-1.54,-0.33,-0.421,-0.262,-1.61,-0.693,-0.0871,-0.407,-0.417,5.17
"America","CRI",-0.635,-0.378,-0.439,-0.378,-0.82,-0.22,NA,-0.154,-0.0862,3.01
"America","CUB",-1.09,-0.351,NA,-0.113,-0.192,-0.212,-0.162,NA,-0.151,8.11
"America","DMA",-0.636,NA,NA,-0.102,NA,NA,NA,NA,NA,5.44
"America","DOM",-0.152,-0.483,-0.0255,-0.123,-0.264,-0.253,NA,0.00374,NA,3.64
"America","ECU",-0.831,-0.953,-0.0963,-0.39,-1.35,-0.802,-0.123,-0.7,-0.166,4.04
"America","GLP",-0.612,-1.42,NA,-0.317,-0.382,-0.855,NA,-0.0959,NA,7
"America","GRD",-0.508,NA,NA,-0.136,-0.259,NA,NA,NA,NA,8.33
"America","GTM",-0.718,-0.259,-0.173,-0.229,-1.36,-0.219,-0.0159,-0.1,-0.0696,2.62
"America","GUF",-0.312,-1.1,-0.663,NA,-0.938,-0.272,NA,-0.706,-0.671,8.8
"America","GUY",-0.629,-0.599,-0.769,-0.159,-0.609,-0.597,-0.203,-0.545,-0.465,11
"America","HND",-0.476,-0.13,-0.0513,-0.248,-0.531,NA,-0.00643,NA,NA,2.35
"America","HTI",-0.0958,NA,NA,-0.0684,-0.224,NA,NA,NA,NA,4.61
"America","JAM",-0.248,-0.237,-0.201,-0.307,-0.338,-0.556,NA,-0.0332,-0.175,2.79
"America","KNA",-3.68,NA,NA,-0.587,-0.492,-0.407,-0.0573,NA,-0.061,14
"America","LCA",-0.762,-0.158,-0.17,-0.189,-0.219,-0.188,-0.0448,NA,NA,1.66
"America","MAF",-6.92,NA,-0.588,-0.203,-1.31,-0.68,-1.45,NA,-0.0782,114
"America","MEX",-0.582,-0.481,-0.151,-0.391,-3.22,-0.763,NA,-0.239,-0.0908,4.22
"America","MSR",-3.02,NA,-0.185,-0.181,NA,-0.247,-1.36,NA,NA,30.1
"America","MTQ",-0.577,NA,-0.265,-0.234,-0.585,-0.915,-0.0911,-0.136,NA,1.25
"America","NIC",-0.924,-0.0815,-0.108,-0.127,-0.456,NA,NA,NA,0.0043,3.13
"America","PAN",-0.622,-0.35,-0.49,-0.123,-1.08,-0.0397,-0.0159,-0.334,NA,3.68
"America","PER",-0.122,-0.819,-0.687,-0.247,-1.51,-0.515,-0.285,-0.58,-0.623,6.34
"America","PRI",-1.31,NA,NA,-0.0442,NA,NA,NA,NA,NA,6.82
"America","PRY",-0.94,-0.137,NA,-0.0639,-0.409,NA,NA,-0.0498,NA,9
"America","SLV",-0.356,-0.221,NA,-0.338,-0.435,NA,NA,NA,NA,2.35
