"cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa",1.254164657,1.182927514,1.846588387,2.554715792,4.080647301,4.895705144,5.737916486,7.262656057,8.824090872,9.621626092,10.427831918,12.06087383
"America",2.911701476,2.848372702,4.257184053,5.683960259,8.624211903,10.142713735,11.706850042,14.848504187,18.043664276,19.676962832,21.3543915,24.734117446
"Asia",2.72837988,2.318648662,3.719051617,5.314595781,8.950878745,10.887712779,12.788277867,16.145818859,19.32964245,20.959355558,22.467604957,25.392198499
"TOTAL",6.894246013,6.349948878,9.822824057,13.553271832,21.655737949,25.926131658,30.233044395,38.256979103,46.197397598,50.257944482,54.249828375,62.187189775
