"cont","iso3","mod","D","AUC","OA","EA","FOM","Sen","Spe","TSS","K","nfor","ndefor"
"Africa","AGO","icar",31,83,76,50,61,75,76,51,51,10000,10000
"Africa","AGO","glm",13,74,68,50,52,68,68,37,37,10000,10000
"Africa","AGO","rf",77,75,69,50,52,69,69,37,37,10000,10000
"Africa","BDI","icar",32,86,78,50,64,78,78,57,57,10000,9990
"Africa","BDI","glm",23,81,74,50,58,73,74,47,47,10000,9990
"Africa","BDI","rf",87,92,84,50,72,84,84,68,68,10000,9990
"Africa","BEN","icar",NA,96,93,51,85,92,93,85,85,953,776
"Africa","BEN","glm",5,72,64,51,43,60,68,28,28,953,776
"Africa","BEN","rf",84,75,69,50,50,66,72,38,38,953,776
"Africa","CAF","icar",47,90,83,50,71,83,83,67,67,10000,10000
"Africa","CAF","glm",30,86,80,50,67,80,80,60,60,10000,10000
"Africa","CAF","rf",85,89,83,50,70,83,83,65,65,10000,10000
"Africa","CIV","icar",37,85,77,50,62,77,77,54,54,10000,9999
"Africa","CIV","glm",11,71,65,50,48,65,65,30,30,10000,9999
"Africa","CIV","rf",78,75,68,50,52,68,68,36,36,10000,9999
"Africa","CMR","icar",38,87,79,50,66,79,79,58,58,18860,18858
"Africa","CMR","glm",23,81,74,50,59,74,74,48,48,18860,18858
"Africa","CMR","rf",81,83,76,50,61,76,76,52,52,18860,18858
"Africa","COD","icar",49,91,84,50,72,84,84,68,68,50000,50000
"Africa","COD","glm",40,89,82,50,70,82,82,65,65,50000,50000
"Africa","COD","rf",86,89,82,50,70,82,82,64,64,50000,50000
"Africa","COG","icar",45,90,82,50,70,82,82,65,65,21823,21823
"Africa","COG","glm",24,83,75,50,60,75,75,50,50,21823,21823
"Africa","COG","rf",84,89,81,50,68,81,81,62,62,21823,21823
"Africa","COM","icar",20,78,71,50,55,71,71,42,42,9995,10000
"Africa","COM","glm",13,73,66,50,50,66,67,33,33,9995,10000
"Africa","COM","rf",78,77,69,50,53,69,70,39,39,9995,10000
"Africa","ETH","icar",26,82,74,50,59,74,74,48,48,10000,10000
"Africa","ETH","glm",13,75,69,50,53,69,69,38,38,10000,10000
"Africa","ETH","rf",77,74,68,50,52,68,68,36,36,10000,10000
"Africa","GAB","icar",44,89,83,50,71,83,83,66,66,23256,23256
"Africa","GAB","glm",23,82,74,50,59,74,74,49,49,23256,23256
"Africa","GAB","rf",84,89,82,50,70,82,82,65,65,23256,23256
"Africa","GHA","icar",37,87,80,50,67,80,80,60,60,9999,10000
"Africa","GHA","glm",14,75,69,50,53,69,69,38,38,9999,10000
"Africa","GHA","rf",81,85,77,50,63,77,77,55,55,9999,10000
"Africa","GIN","icar",31,83,74,50,59,74,74,49,49,9999,10000
"Africa","GIN","glm",24,79,72,50,56,72,72,43,43,9999,10000
"Africa","GIN","rf",81,81,72,50,56,72,72,44,44,9999,10000
