"cont","iso3","for2000","for2005","for2010","for2015","for2020","andef","pdef","for2030","for2035","for2040","for2050","for2055","for2060","for2070","for2080","for2085","for2090","for2100","yrdis"
"Asia","SLB",2829532,2828910,2826829,2820566,2805710,2112,0.1,2784590,2774030,2763470,2742350,2731790,2721230,2700110,2678990,2668430,2657870,2636750,3348
"Asia","THA",7766792,7257932,6804313,6475915,6163917,64040,1,5523517,5203317,4883117,4242717,3922517,3602317,2961917,2321517,2001317,1681117,1040717,2116
"Asia","TLS",137115,108217,92028,83222,77024,1500,1.8,62024,54524,47024,32024,24524,17024,2024,0,0,0,0,2071
"Asia","VNM",12172485,10899155,9738889,8940943,8321678,141721,1.6,6904468,6195863,5487258,4070048,3361443,2652838,1235628,0,0,0,0,2078
"Asia","VUT",1256068,1255953,1255942,1254827,1246846,910,0.1,1237746,1233196,1228646,1219546,1214996,1210446,1201346,1192246,1187696,1183146,1174046,3390
"Brazil","BRA-AC",14278452,13914698,13645759,13409906,13164062,48170,0.4,12682365,12441516,12200668,11684047,11412400,11116065,10497016,9850794,9518556,9171011,8443321,2148
"Brazil","BRA-AL",119159,108524,102860,96337,91168,1169,1.2,79476,73630,67784,21169,0,0,0,0,0,0,0,2053
"Brazil","BRA-AM",149432844,148766881,148105580,147483630,146494193,161139,0.1,144882806,144077113,143271419,141625109,140788618,139927437,138178699,136402788,135505705,134593315,132735935,2242
"Brazil","BRA-AP",11765391,11673501,11601615,11529281,11469172,13244,0.1,11336730,11270508,11204287,11036921,10939902,10818193,10548399,10251432,10093822,9920904,9542468,2157
"Brazil","BRA-BA",2779113,2437986,2271700,2172367,2042422,22928,1.1,1813145,1698507,1583868,1319668,1174231,1004105,637477,243675,37647,0,0,2086
"Brazil","BRA-CE",61866,56286,52030,44560,41283,1075,2.3,30536,25162,19789,0,0,0,0,0,0,0,0,2047
"Brazil","BRA-ES",581144,505075,483598,461973,435291,4831,1,386984,362831,338677,255447,200495,120855,0,0,0,0,0,2067
"Brazil","BRA-GO",721708,612605,532281,451670,376678,15560,3.4,221075,143273,65471,0,0,0,0,0,0,0,0,2044
"Brazil","BRA-MA",5846020,4928593,4156256,3651872,3280925,87533,2.3,2405594,1967928,1530263,620009,151545,0,0,0,0,0,0,2057
"Brazil","BRA-MG",2142588,1721027,1477296,1201227,1055468,42183,3.3,633639,422724,211810,0,0,0,0,0,0,0,0,2045
"Brazil","BRA-MS",1007676,913437,851923,798440,749904,10202,1.3,647885,596875,545866,408923,327115,220619,0,0,0,0,0,2070
"Brazil","BRA-MT",42256904,37248746,34846092,33231165,31677709,316838,0.9,28509327,26925135,25340944,22137638,20522649,18882970,15577236,12244330,10568749,8877861,5463486,2115
"Brazil","BRA-PA",101374041,96923006,93016769,90872128,88499908,451686,0.5,83983048,81724618,79466188,74914404,72625176,70311259,65657047,60975662,58625843,56260716,51497863,2176
"Brazil","BRA-PB",48496,44410,42194,40107,38771,342,0.8,35348,33636,31925,0,0,0,0,0,0,0,0,2049
"Brazil","BRA-PE",146735,131785,123829,115810,111918,1191,1,100006,94050,88095,41260,4506,0,0,0,0,0,0,2056
"Brazil","BRA-PI",112319,94800,80871,65894,54536,2634,3.9,28201,15033,1865,0,0,0,0,0,0,0,0,2041
"Brazil","BRA-PR",3979808,3582171,3296499,3103820,2995095,30140,1,2693691,2542989,2392287,2055960,1874460,1668270,1229515,763587,521496,264097,0,2096
"Brazil","BRA-RJ",980804,916860,875424,825560,809122,6630,0.8,742820,709669,676518,575293,511344,422706,219053,0,0,0,0,2080
"Brazil","BRA-RN",32823,28482,26096,24049,22707,339,1.4,19318,17624,15929,0,0,0,0,0,0,0,0,2047
"Brazil","BRA-RO",17154684,15321978,14343407,13694402,12963814,137959,1,11584221,10894425,10204628,8790112,8069518,7324234,5807290,4263173,3481987,2685494,1059909,2107
"Brazil","BRA-RR",16774626,16465954,16276524,16121569,15547987,72854,0.5,14819450,14455181,14090913,13327452,12932386,12512630,11646741,10753680,10298022,9827057,8852527,2146
"Brazil","BRA-RS",3397571,3172061,2926115,2792675,2709303,21681,0.8,2492491,2384085,2275679,2023943,1884739,1720846,1366682,985346,785551,570448,107643,2103
"Brazil","BRA-SC",3784817,3416274,3170608,3043788,2956185,21442,0.7,2741762,2634550,2527339,2277992,2139982,1977284,1625509,1246562,1047961,834053,373637,2107
"Brazil","BRA-SE",78504,70730,65056,60586,57315,774,1.3,49575,45705,41835,0,0,0,0,0,0,0,0,2050
"Brazil","BRA-SP",3662981,3438270,3336232,3210489,3158400,17783,0.5,2980568,2891652,2802736,2589981,2470267,2325864,2010680,1668324,1488019,1292406,868581,2114
"Brazil","BRA-TO",1820217,1625992,1406680,1189737,957966,44871,3.8,509252,284895,60538,0,0,0,0,0,0,0,0,2042
