"cont","T10_20","T20_30","T30_40","T40_50","T50_60","T60_70","T70_80","T80_90","T90_100"
"Africa",0.1197769666,0.1321445316,0.1593509024,0.1596821694,0.1540418352,0.1508660488,0.1674122227,0.17130744,0.1722936121
"America",0.2156236675,0.2213083075,0.221430119,0.2315613883,0.2454311544,0.2487368855,0.2515019349,0.2589265913,0.2699134834
"Asia",0.2078113279,0.19246896,0.2318954692,0.26168465,0.284665707,0.3097627959,0.3059527291,0.297221366,0.2663950159
"TOTAL",0.543211962,0.5459217991,0.6126764906,0.6529282077,0.6841386966,0.7093657302,0.7248668867,0.7274553973,0.708602111400001
