"area_cont","C2020","C2030","C2035","C2040","C2050","C2055","C2060","C2070","C2080","C2085","C2090","C2100"
"Africa",1.197769666,1.321445316,2.144361093,2.91495434,4.511776034,5.26520216,6.052194386,7.560854874,9.234977101,10.112408125,10.948051501,12.670987622
"America",2.156236675,2.213083075,3.31169258,4.427384265,6.742998148,8.000355149,9.197309692,11.684678547,14.199697896,15.479866479,16.788963809,19.488098643
"Asia",2.078113279,1.9246896,3.038411525,4.243644292,6.860490792,8.245305554,9.707147862,12.804775821,15.864303112,17.345917732,18.836516772,21.500466931
"All continents",5.43211962,5.459217991,8.494465198,11.585982897,18.115264974,21.510862863,24.95665194,32.050309242,39.298978109,42.938192336,46.573532082,53.659553196
