"cont","iso3","int","pa","alt","slope","ddefor","dedge","driver","droad","dtown","Vrho"
"Africa","REU",-1.01,-0.391,NA,-0.301,-0.207,-3.82,NA,-0.0699,NA,2.23
"Africa","RWA",-3.08,-0.808,-0.524,-0.139,-1.79,-6.26,-0.0241,-0.278,-0.0317,3.46
"Africa","SEN",0.698,-0.0804,NA,-0.0476,-0.626,-0.474,NA,NA,NA,8.3
"Africa","SLE",-0.577,-0.231,NA,NA,-1.75,-1.26,NA,-0.116,-0.0151,1.12
"Africa","SSD",1.15,NA,-0.283,NA,-0.284,-0.533,NA,-0.0662,-0.125,3.79
"Africa","TGO",1.3,-0.751,-0.123,-0.117,-0.406,-0.53,NA,-0.173,NA,2.97
"Africa","TZA",-0.274,-0.553,-0.253,-0.0459,-0.977,-3.09,-0.0819,-0.248,NA,5.32
"Africa","UGA",-1.65,-0.952,NA,NA,-3.01,-2.61,NA,-0.079,-0.109,4.83
"Africa","ZMB",-0.422,-0.196,NA,-0.0505,-1.16,-0.499,NA,-0.00755,-0.102,8.34
"America","ATG",0.599,-0.259,-0.247,NA,-0.719,-1.09,NA,NA,NA,10
"America","BHS",-1.01,NA,NA,-0.0496,-1.89,-0.616,NA,NA,-0.0827,6.93
"America","BLZ",-1.3,-0.828,-0.0204,-0.323,-1.56,-1.71,NA,-0.169,-0.301,6.64
"America","BOL",-0.717,-0.204,-0.303,-0.122,-0.684,-3.43,-0.0467,-0.333,NA,5.08
"America","BRB",-0.477,-0.277,-0.484,-0.0669,-0.308,-1.56,NA,NA,NA,0.727
"America","COL",-3.48,-0.535,-0.687,-0.31,-4.21,-3.72,NA,-0.817,-0.286,5.32
"America","CRI",-2.99,NA,-0.0308,-0.37,-2.33,-6.03,-0.0314,-0.0602,-0.0856,2.09
"America","CUB",-0.308,-0.0773,-0.131,-0.0636,-0.681,-0.93,NA,-0.147,NA,5.7
"America","DMA",-1.04,NA,-0.258,-0.221,-0.809,-2.36,NA,NA,-0.228,2.16
"America","DOM",-0.211,-0.357,-0.392,-0.0288,-1.11,-1.41,-0.0208,NA,NA,2.67
"America","ECU",-4.29,-0.867,-0.124,-0.359,-1.11,-11.5,NA,-0.455,-0.159,2.47
"America","GLP",-3.98,NA,-0.52,NA,-2.12,-7.09,-0.0118,-0.0387,-0.092,3.11
"America","GRD",-0.599,-0.287,-0.991,NA,-1.61,-1.9,NA,-0.232,NA,5.78
"America","GTM",-0.312,-0.172,-0.377,-0.234,-0.796,-1.16,-0.15,-0.156,-0.00229,2.7
"America","GUF",-1.94,-1.07,-0.635,-0.0249,-1.43,-3.16,NA,-0.894,-0.73,21.4
"America","GUY",-1.75,-0.475,-0.553,-0.181,-0.736,-3.92,NA,-0.221,-0.391,9.98
"America","HND",-1.05,-0.403,-0.776,-0.286,-0.529,-1.35,-0.000544,NA,NA,3.58
"America","HTI",-0.0874,-0.152,NA,-0.131,-0.437,-0.916,-0.0894,-0.124,-0.0277,2.84
"America","JAM",-1.32,-0.0434,-0.323,-0.0904,-1.95,-3.47,0.00108,-0.0672,-0.119,2.57
"America","KNA",-1.33,-0.137,-0.924,-0.405,-0.0321,-1.22,NA,NA,NA,5.78
