"mod","D","AUC","OA","FOM","TSS"
"glm",28.2797337068331,83.0558862715423,75.6990039840998,61.2336165466921,51.6708701633004
"icar",38.5908512199474,86.8225329683908,79.1173708239651,65.5031193008416,58.0655011675845
"rf",75.9240321203632,83.9781249936892,76.7102913300809,62.4343649584631,53.2298652733463
