"cont","year","fc","perc"
"Asia",2066,144627559,53.7630650758007
"Africa",2067,158695065,42.8853647603208
"America",2067,500198105,29.2253567949061
"Asia",2067,142324358,54.4993905416433
"Africa",2068,157342376,43.3721999295665
"America",2068,497451413,29.6139951051098
"Asia",2068,140021157,55.2357160074858
"Africa",2069,155989687,43.8590350988122
"America",2069,494704794,30.002623086308
"Asia",2069,137717956,55.9720414733284
"Africa",2070,154650712,44.3409345751447
"America",2070,491958177,30.3912507845198
"Asia",2070,135414755,56.708366939171
"Africa",2071,153313288,44.8222758438274
"America",2071,489311360,30.7657574588387
"Asia",2071,133111554,57.4446924050136
"Africa",2072,151975864,45.3036171125102
"America",2072,486740851,31.1294670681154
"Asia",2072,130887987,58.1555591539891
"Africa",2073,150638440,45.7849583811929
"America",2073,484180926,31.4916791130947
"Asia",2073,128764486,58.8344351457251
"Africa",2074,149301016,46.2662996498757
"America",2074,481621001,31.8538911580739
"Asia",2074,126640985,59.513311137461
"Africa",2075,147964191,46.7474253373965
"America",2075,479061076,32.2161032030532
"Asia",2075,124517484,60.1921871291969
"Africa",2076,146627781,47.2284016656816
"America",2076,476502498,32.5781246566578
"Asia",2076,122393983,60.8710631209329
"Africa",2077,145291371,47.7093779939666
"America",2077,473944829,32.9400174929206
"Asia",2077,120270482,61.5499391126688
"Africa",2078,143954961,48.1903543222517
"America",2078,471417851,33.2975677606033
"Asia",2078,118146981,62.2288151044047
"Africa",2079,142618551,48.6713306505367
"America",2079,468924991,33.6502905624225
"Asia",2079,116063341,62.8949476710579
"Africa",2080,141282141,49.1523069788218
"America",2080,466432143,34.003011666323
"Asia",2080,114081561,63.5285159448202
"Africa",2081,139945731,49.6332833071069
"America",2081,463939295,34.3557327702235
"Asia",2081,112099781,64.1620842185825
"Africa",2082,138645291,50.1013139686217
"America",2082,461446447,34.708453874124
"Asia",2082,110118001,64.7956524923447
"Africa",2083,137395989,50.5509399732753
"America",2083,458953684,35.0611629511003
"Asia",2083,108136221,65.429220766107
"Africa",2084,136193064,50.9838748134085
"America",2084,456461155,35.4138389186619
"Asia",2084,106154441,66.0627890398693
"Africa",2085,135043342,51.3976617995194
"America",2085,453968626,35.7665148862235
"Asia",2085,104172661,66.6963573136315
"Africa",2086,133898223,51.8097921577699
"America",2086,451476097,36.1191908537851
"Asia",2086,102190881,67.3299255873938
"Africa",2087,132753159,52.2219027214228
"America",2087,448983568,36.4718668213467
"Asia",2087,100209101,67.963493861156
"Africa",2088,131608095,52.6340132850757
"America",2088,446491039,36.8245427889083
"Asia",2088,98227321,68.5970621349183
"Africa",2089,130463031,53.0461238487287
"America",2089,444003492,37.176513837221
"Asia",2089,96245541,69.2306304086806
"Africa",2090,129317967,53.4582344123816
"America",2090,441517655,37.5282429321184
"Asia",2090,94329017,69.8433365628974
"Africa",2091,128172903,53.8703449760345
"America",2091,439031818,37.8799720270157
"Asia",2091,92577884,70.4031677812659
"Africa",2092,127027839,54.2824555396874
"America",2092,436545981,38.2317011219131
"Asia",2092,90826751,70.9629989996343
"Africa",2093,125882775,54.6945661033404
"America",2093,434060144,38.5834302168104
"Asia",2093,89075618,71.5228302180027
"Africa",2094,124737711,55.1066766669933
"America",2094,431574307,38.9351593117078
"Asia",2094,87324485,72.0826614363711
"Africa",2095,123592647,55.5187872306462
"America",2095,429088470,39.2868884066051
"Asia",2095,85573352,72.6424926547395
"Africa",2096,122447583,55.9308977942992
"America",2096,426602633,39.6386175015025
"Asia",2096,83822219,73.2023238731079
"Africa",2097,121302519,56.3430083579521
"America",2097,424116796,39.9903465963998
"Asia",2097,82071086,73.7621550914763
"Africa",2098,120157455,56.755118921605
"America",2098,421630959,40.3420756912972
"Asia",2098,80319953,74.3219863098447
"Africa",2099,119012391,57.1672294852579
"America",2099,419145122,40.6938047861946
"Asia",2099,78568836,74.8818124130679
"Africa",2100,117867327,57.5793400489109
"America",2100,416659285,41.0455338810919
"Asia",2100,76817875,75.4415886436258
"Africa",2101,116722263,57.9914506125638
"America",2101,414173448,41.3972629759893
