"cont","T19_35","T35_50","T50_85","T85_100"
"Africa",0.12137519875,0.147071189933333,0.152710448057143,0.159299719333333
"America",0.2791190104375,0.2872930714,0.313282671057143,0.338257637733333
"Asia",0.2555997245,0.360709587266667,0.347536323028572,0.3002411634
"TOTAL",0.6560939336875,0.7950738486,0.813529442142857,0.797798520466667
